Year,Developing country participation,Institution,Observation status,Unit multiplier,Unit measure,Value
2000,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.69492
2000,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.2987
2000,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2000,Voting rights in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),2.17391
2000,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.54945
2000,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.57471
2000,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.5618
2000,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.5291
2000,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2000,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.71429
2005,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.5625
2005,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.2987
2005,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2005,Voting rights in international organisations,Inter-American Development Bank,Undefined,Units,Percentage (%),2.12766
2005,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.54348
2005,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.5618
2005,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.55249
2005,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52356
2005,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.66667
2005,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.67114
2010,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.49254
2010,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.2987
2010,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85185
2010,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.16667
