Year,Age,Sex,Citizenship,Disability status,Ethnicity,Household income,Region,Urban or rural,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013/14,,,,,,,,Rural,Undefined,Units,Percentage (%),,28.8728294741659
2013/14,,,,,,,,Urban,Undefined,Units,Percentage (%),,25.25211794619614
2013/14,,,,,,,East,,Undefined,Units,Percentage (%),E12000006,27.18944109374118
2013/14,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,24.729051377064216
2013/14,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,31.768032911172767
2013/14,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,22.01834907126129
2013/14,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,25.827504246033257
2013/14,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,23.85652657079653
2013/14,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,28.17124480588758
2013/14,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,24.592197786579312
2013/14,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,21.813423773139924
2013/14,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,24.89369142233019
2013/14,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,26.030426274003915
2013/14,,Female,,,,,,,Undefined,Units,Percentage (%),,23.628771
2013/14,,Male,,,,,,,Undefined,Units,Percentage (%),,28.45861
2013/14,,,,,,,,,Undefined,Units,Percentage (%),,25.984206
2013/14,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,24.252010730693552
2013/14,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,24.68555123903845
2013/14,35 to 49,,,,,,,,Undefined,Units,Percentage (%),,27.654932895387024
2013/14,50 to 64,,,,,,,,Undefined,Units,Percentage (%),,26.41958562140737
2013/14,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,24.53552599240511
2013/14,75 and over,,,,,,,,Undefined,Units,Percentage (%),,26.28038273506233
2013/14,,,,,White,,,,Undefined,Units,Percentage (%),,24.21854212982676
2013/14,,,,,Asian,,,,Undefined,Units,Percentage (%),,39.34464884940749
2013/14,,,,,Black,,,,Undefined,Units,Percentage (%),,50.34984303756295
2013/14,,,,,Mixed,,,,Undefined,Units,Percentage (%),,31.821631006898965
2013/14,,,,,Other,,,,Undefined,Units,Percentage (%),,32.194613888953555
2013/14,,,,,,Band A1,,,Undefined,Units,Percentage (%),,24.072505614124683
2013/14,,,,,,Band A2,,,Undefined,Units,Percentage (%),,23.03288272062457
2013/14,,,,,,Band A3,,,Undefined,Units,Percentage (%),,25.479782957749
2013/14,,,,,,Band A4,,,Undefined,Units,Percentage (%),,25.60306844742862
2013/14,,,,,,Band A5,,,Undefined,Units,Percentage (%),,25.203065143804626
2013/14,,,,,,Band A6,,,Undefined,Units,Percentage (%),,26.990254649789343
2013/14,,,,,,Band A7,,,Undefined,Units,Percentage (%),,32.2312118679158
2013/14,,,,,,Band A8,,,Undefined,Units,Percentage (%),,26.67059842333257
2013/14,,,,,,No income,,,Undefined,Units,Percentage (%),,25.57116535105273
2014/15,,,,,,,,Rural,Undefined,Units,Percentage (%),,31.74766610979064
2014/15,,,,,,,,Urban,Undefined,Units,Percentage (%),,23.81741944551077
2014/15,,,,,,,East,,Undefined,Units,Percentage (%),E12000006,27.144164697419367
2014/15,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,29.54147547962606
2014/15,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,32.03815860211649
2014/15,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,15.555603202176496
2014/15,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,20.50268001825125
2014/15,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,26.17382100094618
2014/15,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,25.71096824963126
2014/15,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,22.318676452952616
2014/15,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,22.867671414891745
2014/15,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,22.678664863378643
2014/15,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,26.5131241678536
2014/15,,Female,,,,,,,Undefined,Units,Percentage (%),,23.536612
2014/15,,Male,,,,,,,Undefined,Units,Percentage (%),,27.413253
2014/15,,,,,,,,,Undefined,Units,Percentage (%),,25.436388
2014/15,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,23.19798897859682
2014/15,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,22.35599568946252
2014/15,35 to 49,,,,,,,,Undefined,Units,Percentage (%),,27.958841514650597
2014/15,50 to 64,,,,,,,,Undefined,Units,Percentage (%),,26.43196787552324
2014/15,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,26.763739328337437
2014/15,75 and over,,,,,,,,Undefined,Units,Percentage (%),,25.001585008129588
2014/15,,,,,White,,,,Undefined,Units,Percentage (%),,24.19549790173709
2014/15,,,,,Asian,,,,Undefined,Units,Percentage (%),,43.91867085569739
2014/15,,,,,Mixed,,,,Undefined,Units,Percentage (%),,18.20429704774321
2014/15,,,,,,Band A1,,,Undefined,Units,Percentage (%),,25.21490015489713
2014/15,,,,,,Band A2,,,Undefined,Units,Percentage (%),,26.01442074999059
2014/15,,,,,,Band A3,,,Undefined,Units,Percentage (%),,20.990124141749725
2014/15,,,,,,Band A4,,,Undefined,Units,Percentage (%),,24.31576721912988
2014/15,,,,,,Band A5,,,Undefined,Units,Percentage (%),,25.50145677670729
2014/15,,,,,,Band A6,,,Undefined,Units,Percentage (%),,23.389559804647604
2014/15,,,,,,Band A7,,,Undefined,Units,Percentage (%),,31.709200585490983
2014/15,,,,,,Band A8,,,Undefined,Units,Percentage (%),,38.50615712827186
2014/15,,,,,,No income,,,Undefined,Units,Percentage (%),,25.07009748732008
2015/16,,,,,,,,Rural,Undefined,Units,Percentage (%),,28.99466101806953
2015/16,,,,,,,,Urban,Undefined,Units,Percentage (%),,27.524637125621364
2015/16,,,,,,,East,,Undefined,Units,Percentage (%),E12000006,24.163798277765537
2015/16,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,32.435903745234675
2015/16,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,35.94091064038291
2015/16,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,23.39878559390612
2015/16,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,23.705219228071453
2015/16,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,28.07935643161657
2015/16,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,26.546498287513405
2015/16,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,24.58770391718941
2015/16,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,27.181481826222605
2015/16,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,22.8164915360862
2015/16,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,30.24908250949801
2015/16,,Female,,,,,,,Undefined,Units,Percentage (%),,26.80685
2015/16,,Male,,,,,,,Undefined,Units,Percentage (%),,28.896533
2015/16,,,,,,,,,Undefined,Units,Percentage (%),,27.804348
2015/16,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,25.475174024502824
2015/16,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,23.141251407738235
2015/16,35 to 49,,,,,,,,Undefined,Units,Percentage (%),,32.74616483180837
2015/16,50 to 64,,,,,,,,Undefined,Units,Percentage (%),,30.32573194497885
2015/16,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,26.34988710387723
2015/16,75 and over,,,,,,,,Undefined,Units,Percentage (%),,23.24021606192517
2015/16,,,,,White,,,,Undefined,Units,Percentage (%),,24.94193315277676
2015/16,,,,,Asian,,,,Undefined,Units,Percentage (%),,45.31814444166066
2015/16,,,,,Black,,,,Undefined,Units,Percentage (%),,59.55775472936361
2015/16,,,,,Mixed,,,,Undefined,Units,Percentage (%),,34.37978085263337
2015/16,,,,,Other,,,,Undefined,Units,Percentage (%),,28.199735692825307
2015/16,,,,,,Band A1,,,Undefined,Units,Percentage (%),,38.46905232619953
2015/16,,,,,,Band A2,,,Undefined,Units,Percentage (%),,25.571432898600747
2015/16,,,,,,Band A3,,,Undefined,Units,Percentage (%),,21.759271182292306
2015/16,,,,,,Band A4,,,Undefined,Units,Percentage (%),,30.66513078166478
2015/16,,,,,,Band A5,,,Undefined,Units,Percentage (%),,24.14182500027687
2015/16,,,,,,Band A6,,,Undefined,Units,Percentage (%),,30.76267995271612
2015/16,,,,,,Band A7,,,Undefined,Units,Percentage (%),,28.38250325754008
2015/16,,,,,,Band A8,,,Undefined,Units,Percentage (%),,34.7510939569
