Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,GeoCode,Value
2010/11,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2073.0
2011/12,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2073.0
2012/13,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2061.0
2013/14,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2122.0
2014/15,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2125.0
2015/16,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2091.0
2016/17,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2066.0
2017/18,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2202.0
2018/19,Estimated prevalence,Barking and Dagenham,,Units,Number,E09000002,2119.666667
2010/11,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,30.1495417269658
2011/12,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,25.8080077182827
2012/13,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,28.6268801552644
2013/14,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,32.2808671065033
2014/15,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,32.7058823529412
2015/16,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,33.2376853180297
2016/17,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,33.8818973862536
2017/18,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,25.6584922797457
2018/19,Met need (%),Barking and Dagenham,,Units,Percentage (%),E09000002,16.88944803
2010/11,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,625.0
2011/12,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,535.0
2012/13,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,590.0
2013/14,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,685.0
2014/15,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,695.0
2015/16,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,695.0
2016/17,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,700.0
2017/18,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,565.0
2018/19,Number of people in treatment,Barking and Dagenham,,Units,Count,E09000002,358.0
