Year,Region,Local Authority,Gender,Ethnicity,Free School Meals,Learning category,Learning sub-category (higher),Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012/13,,,Boys,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,66.0
2012/13,,,Girls,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,78.6
2012/13,London,Barking and Dagenham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000002,64.8
2012/13,London,Barnet,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000003,78.5
2012/13,Yorkshire and The Humber,Barnsley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000016,69.5
2012/13,South West,Bath and North East Somerset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000022,74.1
2012/13,East of England,Bedford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000055,69.0
2012/13,London,Bexley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000004,80.3
2012/13,West Midlands,Birmingham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000025,69.2
2012/13,North West,Blackburn with Darwen,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000008,58.0
2012/13,North West,Blackpool,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000009,75.2
2012/13,North West,Bolton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000001,68.4
2012/13,South West,Bournemouth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000028,77.4
2012/13,South East,Bracknell Forest,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000036,77.1
2012/13,Yorkshire and The Humber,Bradford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000032,66.6
2012/13,London,Brent,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000005,73.6
2012/13,South East,Brighton and Hove,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000043,71.0
2012/13,South West,"Bristol, City of",,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,69.3
2012/13,London,Bromley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000006,77.2
2012/13,South East,Buckinghamshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,74.9
2012/13,North West,Bury,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000002,69.5
2012/13,Yorkshire and The Humber,Calderdale,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000033,68.6
