Year,Country income classification,Observation status,Unit multiplier,Units,Value
2015,Developing countries,Definition differs,Units,Percentage (%),18.172711167864176
2016,Developing countries,Definition differs,Units,Percentage (%),17.971461691505933
2017,Developing countries,Definition differs,Units,Percentage (%),17.64616293733133
2018,Developing countries,Definition differs,Units,Percentage (%),17.37478366104077
2019,Developing countries,Definition differs,Units,Percentage (%),17.879456286513562
2020,Developing countries,Definition differs,Units,Percentage (%),19.808525717738092
2015,Developing countries excluding China,Definition differs,Units,Percentage (%),11.05959371599687
2016,Developing countries excluding China,Definition differs,Units,Percentage (%),10.847845510497594
2017,Developing countries excluding China,Definition differs,Units,Percentage (%),10.764914803014335
2018,Developing countries excluding China,Definition differs,Units,Percentage (%),10.716242808582132
2019,Developing countries excluding China,Definition differs,Units,Percentage (%),10.864129966747136
2020,Developing countries excluding China,Definition differs,Units,Percentage (%),10.368093373588964
2015,Least developed countries,Definition differs,Units,Percentage (%),0.992599120527324
2016,Least developed countries,Definition differs,Units,Percentage (%),0.9474572274129851
2017,Least developed countries,Definition differs,Units,Percentage (%),0.9526405887334068
2018,Least developed countries,Definition differs,Units,Percentage (%),0.8380288104935782
2019,Least developed countries,Definition differs,Units,Percentage (%),0.8679914103714487
2020,Least developed countries,Definition differs,Units,Percentage (%),0.7688183732984997
