Year,Series,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
1990,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1085.4
1991,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1062.8
1992,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,965.2
1993,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,933.9
1994,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,927.7
1995,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,866.5
1996,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,941.9
1997,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1145.5
1998,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1331.5
1999,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1393.5
2000,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1365.7
2001,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1427.9
2002,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1344.5
2003,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1309.6
2004,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1464.4
2005,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1365.5
2006,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1352.2
2007,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1302.6
2008,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1156.1
2009,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1012.6
2010,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,954.3
2011,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,964.9
2012,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,952.0
2013,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1024.1
2014,Material footprint,Million metric tonnes,,Undefined,Units,Million metric tonnes,1112.4
