Year,Series,IHR core capacity,Observation status,Unit multiplier,Units,Value
2018,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),93.0
2018,Average of International Health Regulations (IHR) core capacities,Legislation and financing,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,IHR Coordination and National IHR Focal Point Functions,Normal value,Units,Percentage (%),90.0
2018,Average of International Health Regulations (IHR) core capacities,Zoonotic Events and the Human–animal Interface,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Food Safety,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Human Resources,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,National Health Emergency Framework,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Health Service Provision,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Risk Communication,Normal value,Units,Percentage (%),100.0
2018,Average of International Health Regulations (IHR) core capacities,Points of Entry,Normal value,Units,Percentage (%),40.0
2018,Average of International Health Regulations (IHR) core capacities,Chemical Events,Normal value,Units,Percentage (%),80.0
2018,Average of International Health Regulations (IHR) core capacities,Radiation Emergencies,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),93.0
2019,Average of International Health Regulations (IHR) core capacities,Legislation and financing,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,IHR Coordination and National IHR Focal Point Functions,Normal value,Units,Percentage (%),90.0
2019,Average of International Health Regulations (IHR) core capacities,Zoonotic Events and the Human–animal Interface,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Food Safety,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Human Resources,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,National Health Emergency Framework,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Health Service Provision,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Risk Communication,Normal value,Units,Percentage (%),100.0
2019,Average of International Health Regulations (IHR) core capacities,Points of Entry,Normal value,Units,Percentage (%),40.0
2019,Average of International Health Regulations (IHR) core capacities,Chemical Events,Normal value,Units,Percentage (%),80.0
2019,Average of International Health Regulations (IHR) core capacities,Radiation Emergencies,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),95.0
2020,Average of International Health Regulations (IHR) core capacities,Legislation and financing,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,IHR Coordination and National IHR Focal Point Functions,Normal value,Units,Percentage (%),90.0
2020,Average of International Health Regulations (IHR) core capacities,Zoonotic Events and the Human–animal Interface,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Food Safety,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Human Resources,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,National Health Emergency Framework,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Health Service Provision,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Risk Communication,Normal value,Units,Percentage (%),100.0
2020,Average of International Health Regulations (IHR) core capacities,Points of Entry,Normal value,Units,Percentage (%),60.0
2020,Average of International Health Regulations (IHR) core capacities,Chemical Events,Normal value,Units,Percentage (%),80.0
2020,Average of International Health Regulations (IHR) core capacities,Radiation Emergencies,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,,Normal value,Units,Percentage (%),93.0
2021,Average of International Health Regulations (IHR) core capacities,IHR Coordination and National IHR Focal Point Functions,Normal value,Units,Percentage (%),73.0
2021,Average of International Health Regulations (IHR) core capacities,Zoonotic Events and the Human–animal Interface,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Food Safety,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Laboratory,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Surveillance,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Human Resources,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,National Health Emergency Framework/Management,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Health Service Provision,Normal value,Units,Percentage (%),100.0
2021,Average of International Health Regulations (IHR) core capacities,Risk Communication,Normal value,Units,Percentage (%),80.0
2021,Average of International Health Regulations (IHR) core capacities,Points of Entry,Normal value,Units,Percentage (%),67.0
2021,Average of International Health Regulations (IHR) core capacities,Chemical Events,Normal value,Units,Percentage (%),100.0
