Year,Country,Sex,Cause of death,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2013,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,37
2014,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,28
2015,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,16
2016,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,13
2017,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,14
2018,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,23
2019,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,15
2020,England,Female,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,11
2013,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,3
2014,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,4
2015,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,1
2016,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,1
2017,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2019,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2013,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,40
2014,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,32
2015,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,17
2016,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,14
2017,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,14
2018,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,25
2019,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,15
2020,,Female,Exposure to excessive natural cold,Normal value,Deaths,,,13
2013,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,47
2014,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,30
2015,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,13
2016,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,22
2017,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,38
2018,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,24
2019,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,21
2020,England,Male,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,18
2013,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,3
2014,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2015,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2016,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,4
2017,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2018,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2019,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,4
2020,Wales,Male,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,1
2013,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,50
2014,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,32
2015,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,15
2016,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,26
2017,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,40
2018,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,26
2019,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,25
2020,,Male,Exposure to excessive natural cold,Normal value,Deaths,,,19
2013,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,84
2014,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,58
2015,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,29
2016,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,35
2017,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,52
2018,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,47
2019,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,36
2020,England,,Exposure to excessive natural cold,Normal value,Deaths,,E92000001,29
2013,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,6
2014,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,6
2015,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,3
2016,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,5
2017,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,2
2018,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,4
2019,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,4
2020,Wales,,Exposure to excessive natural cold,Normal value,Deaths,,W92000004,3
2013,,,Exposure to excessive natural cold,Normal value,Deaths,,,90
2014,,,Exposure to excessive natural cold,Normal value,Deaths,,,64
2015,,,Exposure to excessive natural cold,Normal value,Deaths,,,32
2016,,,Exposure to excessive natural cold,Normal value,Deaths,,,40
2017,,,Exposure to excessive natural cold,Normal value,Deaths,,,54
2018,,,Exposure to excessive natural cold,Normal value,Deaths,,,51
2019,,,Exposure to excessive natural cold,Normal value,Deaths,,,40
2020,,,Exposure to excessive natural cold,Normal value,Deaths,,,32
2013,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,0
2014,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,0
2015,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,2
2016,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,0
2017,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,2
2018,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,1
2019,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,0
2020,England,Female,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,3
2013,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2013,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,0
2014,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,0
2015,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,2
2016,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,0
2017,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,2
2018,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,1
2019,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,0
2020,,Female,Exposure to excessive natural heat,Normal value,Deaths,,,3
2013,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,1
2014,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,0
2015,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,1
2016,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,2
2017,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,6
2018,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,3
2019,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,1
2020,England,Male,Exposure to excessive natural heat,Normal value,Deaths,,E92000001,7
2013,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Exposure to excessive natural heat,Normal value,Deaths,,W92000004,0
2013,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,1
2014,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,0
2015,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,1
2016,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,2
2017,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,6
2018,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,3
2019,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,1
2020,,Male,Exposure to excessive natural heat,Normal value,Deaths,,,7
