Year,Series,Product,Units,Unit multiplier,Observation status,Value
2014,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,25.353319405742127
2014,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,-1.0987827519575464
2014,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,6.754195823111144
2014,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,-2.4024193512609906
2014,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-26.52060559180401
2014,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-210.10215148620577
2014,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,-0.5024465856432256
2014,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,34.94437403191682
2014,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-8.30315475546005
2014,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,36.558329033988926
2014,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,-55.65701248005483
2014,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,-4.716687654494971
2014,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,-2.856385485551255
2015,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-6.595614974029607
2015,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,10.001698276779472
2015,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,4.261838245882416
2015,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,11.675892553321452
2015,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,-16.466839336322593
2015,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,-60.6936011696352
2015,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,6.490630113702443
2015,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,-23.477709787404137
2015,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,12.255220673601439
2015,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,10.697106432779043
2015,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,4.5737098326370855
2015,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,16.24570640380408
2015,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,12.059206927147532
2016,Tourism direct GDP growth rate,Accommodation services for visitors,Percentage (%),Units,Normal value,-200.69768292041613
2016,Tourism direct GDP growth rate,Food and beverage serving activities,Percentage (%),Units,Normal value,1.5055640512711046
2016,Tourism direct GDP growth rate,Railway passenger transport services,Percentage (%),Units,Normal value,38.9010272401968
2016,Tourism direct GDP growth rate,Road passenger transport services,Percentage (%),Units,Normal value,-26.061150480875718
2016,Tourism direct GDP growth rate,Water passenger transport services,Percentage (%),Units,Normal value,7.043515518814831
2016,Tourism direct GDP growth rate,Air passenger transport services,Percentage (%),Units,Normal value,1213.215137559693
2016,Tourism direct GDP growth rate,Transport equipment rental services,Percentage (%),Units,Normal value,84.48473213987923
2016,Tourism direct GDP growth rate,Travel agencies and other reservation services,Percentage (%),Units,Normal value,278.2850597488071
2016,Tourism direct GDP growth rate,Cultural activities,Percentage (%),Units,Normal value,-2.2730916339733462
2016,Tourism direct GDP growth rate,Sport and recreation activities,Percentage (%),Units,Normal value,-17.136596253706063
2016,Tourism direct GDP growth rate,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,78.90122256498735
2016,Tourism direct GDP growth rate,Other consumption products,Percentage (%),Units,Normal value,4.109957264297565
2016,Tourism direct GDP growth rate,,Percentage (%),Units,Normal value,1.2003290399208353
2013,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.1949643081807144
2013,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.1646205786542745
2013,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.09692006532764927
2013,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.09809374791447448
2013,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.054749014627793274
2013,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,-0.030413603138482955
2013,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.03133642647282099
2013,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.02551151955790157
2013,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.16351689121063942
2013,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.13725081917436008
2013,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.029592269942235717
2013,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.235081110185212
2013,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.8432247496528396
2014,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.23729630828490636
2014,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.1183715910983099
2014,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.10046127405160317
