Year,Series,Age,Country,Region,Country of birth,Disability status,Sex,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2000 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,19.7
2000 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18.2
2000 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18.8
2000 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,17.2
2001 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,16.4
2001 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,15.5
2001 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18.5
2001 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,17.3
2002 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,15.3
2002 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,17.7
2002 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,17.1
2002 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18
2003 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,16.5
2003 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,19.1
2003 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18
2003 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,17.7
2004 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,19
2004 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18.7
2004 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,17.9
2004 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18.9
2005 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,20.8
2005 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,19.2
2005 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,18.3
2005 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,22.3
2006 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,19
2006 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,20.1
2006 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,21.4
2006 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,21
2007 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,23.4
2007 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,24.1
2007 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,27
2007 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,21.2
2008 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,21.6
2008 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,24.1
2008 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,24.9
2008 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,26.7
2009 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,26.5
2009 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,27.9
2009 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,30
2009 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,27.9
2010 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,28.8
2010 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,30.3
2010 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,30.8
2010 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,34.7
2011 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,34.3
2011 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,32.9
2011 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,35
2011 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,35.7
2012 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,35.5
2012 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,34.2
2012 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,33.1
2012 Q4,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,32.7
2013 Q1,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,34.1
2013 Q2,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,33.8
2013 Q3,Seasonally adjusted,16 to 17,,,,,Female,Percentage (%),Units,Undefined,,33.5
