Year,Beverage,Observation status,Unit multiplier,Unit measure,Value
2016,,Undefined,Units,Litres per capita,9.81
2015,,Undefined,Units,Litres per capita,9.82
2014,,Undefined,Units,Litres per capita,9.69
2013,,Undefined,Units,Litres per capita,9.65
2012,,Undefined,Units,Litres per capita,9.76
2011,,Undefined,Units,Litres per capita,10.02
2010,,Undefined,Units,Litres per capita,10.22
2009,,Undefined,Units,Litres per capita,10.14
2008,,Undefined,Units,Litres per capita,10.78
2007,,Undefined,Units,Litres per capita,11.14
2006,,Undefined,Units,Litres per capita,10.96
2005,,Undefined,Units,Litres per capita,11.37
2004,,Undefined,Units,Litres per capita,11.55
2003,,Undefined,Units,Litres per capita,11.25
2002,,Undefined,Units,Litres per capita,11.31
2001,,Undefined,Units,Litres per capita,11.29
2000,,Undefined,Units,Litres per capita,10.82
2016,Beer,Undefined,Units,Litres per capita,3.44
2015,Beer,Undefined,Units,Litres per capita,3.49
2014,Beer,Undefined,Units,Litres per capita,3.48
2013,Beer,Undefined,Units,Litres per capita,3.38
2012,Beer,Undefined,Units,Litres per capita,3.46
2011,Beer,Undefined,Units,Litres per capita,3.65
2010,Beer,Undefined,Units,Litres per capita,3.76
2009,Beer,Undefined,Units,Litres per capita,3.84
2008,Beer,Undefined,Units,Litres per capita,4.22
2007,Beer,Undefined,Units,Litres per capita,4.45
2006,Beer,Undefined,Units,Litres per capita,4.7
2005,Beer,Undefined,Units,Litres per capita,4.85
2004,Beer,Undefined,Units,Litres per capita,5.09
2003,Beer,Undefined,Units,Litres per capita,5.16
2002,Beer,Undefined,Units,Litres per capita,5.11
2001,Beer,Undefined,Units,Litres per capita,5.06
2000,Beer,Undefined,Units,Litres per capita,4.98
2016,Wine,Undefined,Units,Litres per capita,3.5
2015,Wine,Undefined,Units,Litres per capita,3.48
2014,Wine,Undefined,Units,Litres per capita,3.38
2013,Wine,Undefined,Units,Litres per capita,3.36
2012,Wine,Undefined,Units,Litres per capita,3.3
2011,Wine,Undefined,Units,Litres per capita,3.3
2010,Wine,Undefined,Units,Litres per capita,3.3
2009,Wine,Undefined,Units,Litres per capita,3.23
2008,Wine,Undefined,Units,Litres per capita,3.44
2007,Wine,Undefined,Units,Litres per capita,3.53
2006,Wine,Undefined,Units,Litres per capita,3.25
2005,Wine,Undefined,Units,Litres per capita,3.42
2004,Wine,Undefined,Units,Litres per capita,3.32
2003,Wine,Undefined,Units,Litres per capita,3.04
2002,Wine,Undefined,Units,Litres per capita,3.27
2001,Wine,Undefined,Units,Litres per capita,3.6
2000,Wine,Undefined,Units,Litres per capita,3.25
2016,Spirits,Undefined,Units,Litres per capita,2.21
2015,Spirits,Undefined,Units,Litres per capita,2.13
2014,Spirits,Undefined,Units,Litres per capita,2.07
2013,Spirits,Undefined,Units,Litres per capita,2.09
2012,Spirits,Undefined,Units,Litres per capita,2.16
2011,Spirits,Undefined,Units,Litres per capita,2.17
2010,Spirits,Undefined,Units,Litres per capita,2.25
2009,Spirits,Undefined,Units,Litres per capita,2.16
2008,Spirits,Undefined,Units,Litres per capita,2.28
2007,Spirits,Undefined,Units,Litres per capita,2.35
2006,Spirits,Undefined,Units,Litres per capita,2.25
2005,Spirits,Undefined,Units,Litres per capita,2.45
2004,Spirits,Undefined,Units,Litres per capita,2.51
2003,Spirits,Undefined,Units,Litres per capita,2.45
2002,Spirits,Undefined,Units,Litres per capita,2.32
2001,Spirits,Undefined,Units,Litres per capita,2.03
2000,Spirits,Undefined,Units,Litres per capita,1.96
2016,Other alcoholic beverages,Undefined,Units,Litres per capita,0.66
2015,Other alcoholic beverages,Undefined,Units,Litres per capita,0.73
2014,Other alcoholic beverages,Undefined,Units,Litres per capita,0.76
2013,Other alcoholic beverages,Undefined,Units,Litres per capita,0.83
2012,Other alcoholic beverages,Undefined,Units,Litres per capita,0.84
2011,Other alcoholic beverages,Undefined,Units,Litres per capita,0.9
2010,Other alcoholic beverages,Undefined,Units,Litres per capita,0.91
2009,Other alcoholic beverages,Undefined,Units,Litres per capita,0.92
2008,Other alcoholic beverages,Undefined,Units,Litres per capita,0.83
2007,Other alcoholic beverages,Undefined,Units,Litres per capita,0.8
2006,Other alcoholic beverages,Undefined,Units,Litres per capita,0.75
2005,Other alcoholic beverages,Undefined,Units,Litres per capita,0.65
2004,Other alcoholic beverages,Undefined,Units,Litres per capita,0.62
2003,Other alcoholic beverages,Undefined,Units,Litres per capita,0.6
2002,Other alcoholic beverages,Undefined,Units,Litres per capita,0.61
2001,Other alcoholic beverages,Undefined,Units,Litres per capita,0.61
2000,Other alcoholic beverages,Undefined,Units,Litres per capita,0.63
