Year,Observation status,Unit multiplier,Unit measure,Value
2000,Undefined,Units,Percentage (%),100
2001,Undefined,Units,Percentage (%),100
2002,Undefined,Units,Percentage (%),100
2003,Undefined,Units,Percentage (%),100
2004,Undefined,Units,Percentage (%),100
2005,Undefined,Units,Percentage (%),100
2006,Undefined,Units,Percentage (%),100
2007,Undefined,Units,Percentage (%),100
2008,Undefined,Units,Percentage (%),100
2009,Undefined,Units,Percentage (%),100
2010,Undefined,Units,Percentage (%),100
2011,Undefined,Units,Percentage (%),100
2012,Undefined,Units,Percentage (%),100
2013,Undefined,Units,Percentage (%),100
2014,Undefined,Units,Percentage (%),100
2015,Undefined,Units,Percentage (%),100
2016,Undefined,Units,Percentage (%),100
2017,Undefined,Units,Percentage (%),100.0
