Year,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2005,,,Undefined,Units,Percentage (%),19.0
2005,,15 and under,Undefined,Units,Percentage (%),23.3
2005,,16 to 24,Undefined,Units,Percentage (%),23.4
2005,,25 to 49,Undefined,Units,Percentage (%),14.4
2005,,50 to 64,Undefined,Units,Percentage (%),15.6
2005,,65 to 74,Undefined,Units,Percentage (%),21.4
2005,,75 and over,Undefined,Units,Percentage (%),28.7
2005,Male,,Undefined,Units,Percentage (%),18.6
2005,Male,15 and under,Undefined,Units,Percentage (%),24.4
2005,Male,16 to 24,Undefined,Units,Percentage (%),24.3
2005,Male,25 to 49,Undefined,Units,Percentage (%),13.5
2005,Male,50 to 64,Undefined,Units,Percentage (%),15.8
2005,Male,65 to 74,Undefined,Units,Percentage (%),19.4
2005,Male,75 and over,Undefined,Units,Percentage (%),25.2
2005,Female,,Undefined,Units,Percentage (%),19.4
2005,Female,15 and under,Undefined,Units,Percentage (%),22.3
2005,Female,16 to 24,Undefined,Units,Percentage (%),22.4
2005,Female,25 to 49,Undefined,Units,Percentage (%),15.3
2005,Female,50 to 64,Undefined,Units,Percentage (%),15.4
2005,Female,65 to 74,Undefined,Units,Percentage (%),23.2
2005,Female,75 and over,Undefined,Units,Percentage (%),31.0
2006,,,Undefined,Units,Percentage (%),19.0
2006,,15 and under,Undefined,Units,Percentage (%),24.5
2006,,16 to 24,Undefined,Units,Percentage (%),21.0
2006,,25 to 49,Undefined,Units,Percentage (%),13.8
2006,,50 to 64,Undefined,Units,Percentage (%),15.8
2006,,65 to 74,Undefined,Units,Percentage (%),21.7
2006,,75 and over,Undefined,Units,Percentage (%),31.1
2006,Male,,Undefined,Units,Percentage (%),18.0
2006,Male,15 and under,Undefined,Units,Percentage (%),25.4
2006,Male,16 to 24,Undefined,Units,Percentage (%),19.6
2006,Male,25 to 49,Undefined,Units,Percentage (%),13.0
2006,Male,50 to 64,Undefined,Units,Percentage (%),15.4
2006,Male,65 to 74,Undefined,Units,Percentage (%),18.6
2006,Male,75 and over,Undefined,Units,Percentage (%),27.5
2006,Female,,Undefined,Units,Percentage (%),19.9
2006,Female,15 and under,Undefined,Units,Percentage (%),23.7
2006,Female,16 to 24,Undefined,Units,Percentage (%),22.6
2006,Female,25 to 49,Undefined,Units,Percentage (%),14.5
2006,Female,50 to 64,Undefined,Units,Percentage (%),16.3
2006,Female,65 to 74,Undefined,Units,Percentage (%),24.5
2006,Female,75 and over,Undefined,Units,Percentage (%),33.4
2007,,,Undefined,Units,Percentage (%),18.6
2007,,15 and under,Undefined,Units,Percentage (%),23.2
2007,,16 to 24,Undefined,Units,Percentage (%),19.7
2007,,25 to 49,Undefined,Units,Percentage (%),14.0
2007,,50 to 64,Undefined,Units,Percentage (%),15.3
2007,,65 to 74,Undefined,Units,Percentage (%),22.4
2007,,75 and over,Undefined,Units,Percentage (%),31.2
2007,Male,,Undefined,Units,Percentage (%),17.6
2007,Male,15 and under,Undefined,Units,Percentage (%),23.1
2007,Male,16 to 24,Undefined,Units,Percentage (%),18.4
2007,Male,25 to 49,Undefined,Units,Percentage (%),13.2
2007,Male,50 to 64,Undefined,Units,Percentage (%),15.4
2007,Male,65 to 74,Undefined,Units,Percentage (%),19.1
2007,Male,75 and over,Undefined,Units,Percentage (%),29.0
2007,Female,,Undefined,Units,Percentage (%),19.6
2007,Female,15 and under,Undefined,Units,Percentage (%),23.4
2007,Female,16 to 24,Undefined,Units,Percentage (%),21.0
2007,Female,25 to 49,Undefined,Units,Percentage (%),14.8
2007,Female,50 to 64,Undefined,Units,Percentage (%),15.3
2007,Female,65 to 74,Undefined,Units,Percentage (%),25.3
2007,Female,75 and over,Undefined,Units,Percentage (%),32.7
2008,,,Undefined,Units,Percentage (%),18.7
2008,,15 and under,Undefined,Units,Percentage (%),24.4
2008,,16 to 24,Undefined,Units,Percentage (%),18.8
2008,,25 to 49,Undefined,Units,Percentage (%),13.5
2008,,50 to 64,Undefined,Units,Percentage (%),15.3
2008,,65 to 74,Undefined,Units,Percentage (%),23.9
2008,,75 and over,Undefined,Units,Percentage (%),31.2
2008,Male,,Undefined,Units,Percentage (%),17.4
2008,Male,15 and under,Undefined,Units,Percentage (%),23.5
2008,Male,16 to 24,Undefined,Units,Percentage (%),16.9
2008,Male,25 to 49,Undefined,Units,Percentage (%),12.6
2008,Male,50 to 64,Undefined,Units,Percentage (%),15.0
2008,Male,65 to 74,Undefined,Units,Percentage (%),21.3
2008,Male,75 and over,Undefined,Units,Percentage (%),28.6
2008,Female,,Undefined,Units,Percentage (%),20.0
2008,Female,15 and under,Undefined,Units,Percentage (%),25.4
2008,Female,16 to 24,Undefined,Units,Percentage (%),20.9
2008,Female,25 to 49,Undefined,Units,Percentage (%),14.5
2008,Female,50 to 64,Undefined,Units,Percentage (%),15.5
2008,Female,65 to 74,Undefined,Units,Percentage (%),26.4
2008,Female,75 and over,Undefined,Units,Percentage (%),33.1
2009,,,Undefined,Units,Percentage (%),17.3
2009,,15 and under,Undefined,Units,Percentage (%),20.6
2009,,16 to 24,Undefined,Units,Percentage (%),20.1
2009,,25 to 49,Undefined,Units,Percentage (%),13.7
2009,,50 to 64,Undefined,Units,Percentage (%),14.4
2009,,65 to 74,Undefined,Units,Percentage (%),19.2
2009,,75 and over,Undefined,Units,Percentage (%),25.8
2009,Male,,Undefined,Units,Percentage (%),16.7
2009,Male,15 and under,Undefined,Units,Percentage (%),20.1
2009,Male,16 to 24,Undefined,Units,Percentage (%),19.5
2009,Male,25 to 49,Undefined,Units,Percentage (%),13.4
2009,Male,50 to 64,Undefined,Units,Percentage (%),14.9
2009,Male,65 to 74,Undefined,Units,Percentage (%),16.9
2009,Male,75 and over,Undefined,Units,Percentage (%),24.2
2009,Female,,Undefined,Units,Percentage (%),17.8
2009,Female,15 and under,Undefined,Units,Percentage (%),21.3
2009,Female,16 to 24,Undefined,Units,Percentage (%),20.7
2009,Female,25 to 49,Undefined,Units,Percentage (%),14.0
2009,Female,50 to 64,Undefined,Units,Percentage (%),13.8
2009,Female,65 to 74,Undefined,Units,Percentage (%),21.3
2009,Female,75 and over,Undefined,Units,Percentage (%),27.0
2010,,,Undefined,Units,Percentage (%),17.1
2010,,15 and under,Undefined,Units,Percentage (%),20.0
2010,,16 to 24,Undefined,Units,Percentage (%),21.2
2010,,25 to 49,Undefined,Units,Percentage (%),13.7
2010,,50 to 64,Undefined,Units,Percentage (%),14.3
2010,,65 to 74,Undefined,Units,Percentage (%),17.8
2010,,75 and over,Undefined,Units,Percentage (%),25.5
2010,Male,,Undefined,Units,Percentage (%),16.4
2010,Male,15 and under,Undefined,Units,Percentage (%),20.6
2010,Male,16 to 24,Undefined,Units,Percentage (%),21.0
2010,Male,25 to 49,Undefined,Units,Percentage (%),12.7
2010,Male,50 to 64,Undefined,Units,Percentage (%),15.1
2010,Male,65 to 74,Undefined,Units,Percentage (%),15.4
2010,Male,75 and over,Undefined,Units,Percentage (%),20.6
2010,Female,,Undefined,Units,Percentage (%),17.8
2010,Female,15 and under,Undefined,Units,Percentage (%),19.3
2010,Female,16 to 24,Undefined,Units,Percentage (%),21.3
2010,Female,25 to 49,Undefined,Units,Percentage (%),14.8
2010,Female,50 to 64,Undefined,Units,Percentage (%),13.6
2010,Female,65 to 74,Undefined,Units,Percentage (%),20.0
2010,Female,75 and over,Undefined,Units,Percentage (%),29.0
2011,,,Undefined,Units,Percentage (%),16.2
2011,,15 and under,Undefined,Units,Percentage (%),17.6
2011,,16 to 24,Undefined,Units,Percentage (%),20.1
2011,,25 to 49,Undefined,Units,Percentage (%),12.3
2011,,50 to 64,Undefined,Units,Percentage (%),14.5
2011,,65 to 74,Undefined,Units,Percentage (%),17.3
2011,,75 and over,Undefined,Units,Percentage (%),27.2
2011,Male,,Undefined,Units,Percentage (%),14.8
