Year,Units,Sex,Age,Value
2008,Percentage (%),,,8.5
2009,Percentage (%),,,8.0
2010,Percentage (%),,,7.4
2011,Percentage (%),,,6.9
2012,Percentage (%),,,8.6
2013,Percentage (%),,,7.8
2014,Percentage (%),,,6.5
2015,Percentage (%),,,7.3
2016,Percentage (%),,,9.4
2008,Percentage (%),,17 and under,12.8
2009,Percentage (%),,17 and under,10.9
2010,Percentage (%),,17 and under,7.6
2011,Percentage (%),,17 and under,7.6
2012,Percentage (%),,17 and under,6.8
2013,Percentage (%),,17 and under,6.3
2014,Percentage (%),,17 and under,9.1
2015,Percentage (%),,17 and under,7.8
2016,Percentage (%),,17 and under,12.6
2008,Percentage (%),,18 to 24,5.1
2009,Percentage (%),,18 to 24,7.0
2010,Percentage (%),,18 to 24,12.5
2011,Percentage (%),,18 to 24,9.7
2012,Percentage (%),,18 to 24,14.9
2013,Percentage (%),,18 to 24,13.4
2014,Percentage (%),,18 to 24,5.8
2015,Percentage (%),,18 to 24,10.6
2016,Percentage (%),,18 to 24,21.3
2008,Percentage (%),,25 to 49,5.2
2009,Percentage (%),,25 to 49,5.9
2010,Percentage (%),,25 to 49,5.1
2011,Percentage (%),,25 to 49,4.1
2012,Percentage (%),,25 to 49,7.1
2013,Percentage (%),,25 to 49,5.5
2014,Percentage (%),,25 to 49,5.1
2015,Percentage (%),,25 to 49,4.5
2016,Percentage (%),,25 to 49,7.3
2008,Percentage (%),,50 to 64,6.0
2009,Percentage (%),,50 to 64,6.6
2010,Percentage (%),,50 to 64,4.8
2011,Percentage (%),,50 to 64,5.4
2012,Percentage (%),,50 to 64,8.0
2013,Percentage (%),,50 to 64,8.6
2014,Percentage (%),,50 to 64,3.7
2015,Percentage (%),,50 to 64,7.7
2016,Percentage (%),,50 to 64,6.7
2008,Percentage (%),,65 and over,14.4
2009,Percentage (%),,65 and over,11.3
2010,Percentage (%),,65 and over,11.9
2011,Percentage (%),,65 and over,11.6
2012,Percentage (%),,65 and over,10.9
2013,Percentage (%),,65 and over,10.1
2014,Percentage (%),,65 and over,9.1
2015,Percentage (%),,65 and over,9.8
2016,Percentage (%),,65 and over,8.7
2008,Percentage (%),Male,,7.7
2009,Percentage (%),Male,,7.6
2010,Percentage (%),Male,,7.0
2011,Percentage (%),Male,,6.1
2012,Percentage (%),Male,,8.1
2013,Percentage (%),Male,,7.0
2014,Percentage (%),Male,,5.7
2015,Percentage (%),Male,,6.3
2016,Percentage (%),Male,,8.9
2008,Percentage (%),Male,17 and under,13.3
2009,Percentage (%),Male,17 and under,11.0
2010,Percentage (%),Male,17 and under,7.6
2011,Percentage (%),Male,17 and under,6.9
2012,Percentage (%),Male,17 and under,8.3
2013,Percentage (%),Male,17 and under,4.8
2014,Percentage (%),Male,17 and under,8.7
2015,Percentage (%),Male,17 and under,6.2
2016,Percentage (%),Male,17 and under,9.8
2008,Percentage (%),Male,18 to 24,5.7
2009,Percentage (%),Male,18 to 24,6.8
2010,Percentage (%),Male,18 to 24,14.5
2011,Percentage (%),Male,18 to 24,12.7
2012,Percentage (%),Male,18 to 24,18.2
2013,Percentage (%),Male,18 to 24,12.5
2014,Percentage (%),Male,18 to 24,2.6
2015,Percentage (%),Male,18 to 24,11.0
2016,Percentage (%),Male,18 to 24,27.3
2008,Percentage (%),Male,25 to 49,4.4
2009,Percentage (%),Male,25 to 49,5.2
2010,Percentage (%),Male,25 to 49,5.4
2011,Percentage (%),Male,25 to 49,2.6
2012,Percentage (%),Male,25 to 49,6.4
2013,Percentage (%),Male,25 to 49,5.1
2014,Percentage (%),Male,25 to 49,4.4
2015,Percentage (%),Male,25 to 49,3.1
2016,Percentage (%),Male,25 to 49,7.1
2008,Percentage (%),Male,50 to 64,5.5
2009,Percentage (%),Male,50 to 64,7.2
2010,Percentage (%),Male,50 to 64,4.1
2011,Percentage (%),Male,50 to 64,5.3
2012,Percentage (%),Male,50 to 64,6.7
2013,Percentage (%),Male,50 to 64,10.2
2014,Percentage (%),Male,50 to 64,3.5
2015,Percentage (%),Male,50 to 64,8.5
2016,Percentage (%),Male,50 to 64,6.0
2008,Percentage (%),Male,65 and over,11.5
2009,Percentage (%),Male,65 and over,10.0
2010,Percentage (%),Male,65 and over,9.8
2011,Percentage (%),Male,65 and over,8.8
2012,Percentage (%),Male,65 and over,8.2
2013,Percentage (%),Male,65 and over,7.0
2014,Percentage (%),Male,65 and over,8.2
2015,Percentage (%),Male,65 and over,7.3
2016,Percentage (%),Male,65 and over,7.1
2008,Percentage (%),Female,,9.2
2009,Percentage (%),Female,,8.3
2010,Percentage (%),Female,,7.7
2011,Percentage (%),Female,,7.8
2012,Percentage (%),Female,,9.1
2013,Percentage (%),Female,,8.6
2014,Percentage (%),Female,,7.2
2015,Percentage (%),Female,,8.2
2016,Percentage (%),Female,,9.9
2008,Percentage (%),Female,17 and under,12.2
2009,Percentage (%),Female,17 and under,10.9
2010,Percentage (%),Female,17 and under,7.5
2011,Percentage (%),Female,17 and under,8.3
2012,Percentage (%),Female,17 and under,5.1
2013,Percentage (%),Female,17 and under,7.8
2014,Percentage (%),Female,17 and under,9.6
2015,Percentage (%),Female,17 and under,9.5
2016,Percentage (%),Female,17 and under,16.1
2008,Percentage (%),Female,18 to 24,4.6
2009,Percentage (%),Female,18 to 24,7.1
2010,Percentage (%),Female,18 to 24,10.5
2011,Percentage (%),Female,18 to 24,5.3
2012,Percentage (%),Female,18 to 24,10.8
2013,Percentage (%),Female,18 to 24,14.5
2014,Percentage (%),Female,18 to 24,9.4
2015,Percentage (%),Female,18 to 24,9.9
2016,Percentage (%),Female,18 to 24,14.8
2008,Percentage (%),Female,25 to 49,5.9
2009,Percentage (%),Female,25 to 49,6.5
2010,Percentage (%),Female,25 to 49,4.9
2011,Percentage (%),Female,25 to 49,5.4
2012,Percentage (%),Female,25 to 49,7.7
2013,Percentage (%),Female,25 to 49,5.9
2014,Percentage (%),Female,25 to 49,5.8
2015,Percentage (%),Female,25 to 49,5.8
2016,Percentage (%),Female,25 to 49,7.5
2008,Percentage (%),Female,50 to 64,6.5
2009,Percentage (%),Female,50 to 64,6.1
2010,Percentage (%),Female,50 to 64,5.5
2011,Percentage (%),Female,50 to 64,5.4
2012,Percentage (%),Female,50 to 64,9.2
2013,Percentage (%),Female,50 to 64,7.0
2014,Percentage (%),Female,50 to 64,3.9
2015,Percentage (%),Female,50 to 64,6.8
2016,Percentage (%),Female,50 to 64,7.3
2008,Percentage (%),Female,65 and over,16.6
2009,Percentage (%),Female,65 and over,12.4
2010,Percentage (%),Female,65 and over,13.6
2011,Percentage (%),Female,65 and over,13.9
2012,Percentage (%),Female,65 and over,13.1
2013,Percentage (%),Female,65 and over,12.7
2014,Percentage (%),Female,65 and over,9.8
2015,Percentage (%),Female,65 and over,11.8
2016,Percentage (%),Female,65 and over,10.1
