Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Observation status,Unit multiplier,Units,GeoCode,Value
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,,,,,Undefined,Units,Percentage (%),E92000001,23.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,,,,,Undefined,Units,Percentage (%),E92000001,21.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,,,,,Undefined,Units,Percentage (%),E92000001,20.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,,,,,Undefined,Units,Percentage (%),E92000001,19.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,,,,,Undefined,Units,Percentage (%),E92000001,16.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,,,,,Undefined,Units,Percentage (%),E92000001,8.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,,,,,Undefined,Units,Percentage (%),E92000001,17.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,,,,,Undefined,Units,Percentage (%),E92000001,23.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,,,,,Undefined,Units,Percentage (%),E92000001,20.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,,,,,Undefined,Units,Percentage (%),E92000001,19.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,,,,,Undefined,Units,Percentage (%),E92000001,18.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,,,,,Undefined,Units,Percentage (%),E92000001,16.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,,,,,Undefined,Units,Percentage (%),E92000001,9.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,,,,,Undefined,Units,Percentage (%),E92000001,17.0
