Year,Series,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2009,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.6747223736497068
2010,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.0350446101520467
2011,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,3.092523873153683
2012,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.8344544780470047
2013,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.750661495551516
2014,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.8284033651849265
2015,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.7348141029083357
2016,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.809397566550623
2017,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.7941669077603115
2018,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.7635816755883833
2019,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.6994071473275407
2020,Death rate due to road traffic injuries,Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.2397542136680113
2009,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.8465929743011378
2010,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.5595965001623397
2011,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.5289693307304602
2012,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.3222837034699966
2013,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.396963525946053
2014,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.459271588738478
2015,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.28688110094205
2016,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.4540524379571294
2017,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.3965860914421817
2018,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.4102212037495243
2019,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.363458129113885
2020,Death rate due to road traffic injuries,Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.0068486939929042
2009,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,5.574356127301567
2010,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.565362302105664
2011,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.710682493809491
2012,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.39832463935546
2013,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.148730723417212
2014,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.240711732569971
2015,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.2258515844986135
2016,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.20183278097667
2017,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.229103986150016
2018,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.152020829022042
2019,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.06921256243308
2020,Death rate due to road traffic injuries,Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,3.5018490570184846
2013,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.25727112517526596
2013,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.26661772750157414
2013,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.367399874349243
2013,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.7810311670487211
2013,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,4.846256629398844
2013,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,4.632807810581356
2013,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,2.507664515206378
2013,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.8470038087082448
2013,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.7059181478816026
2013,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,1.9120377958787267
2013,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.4363430747378017
2013,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,5.888519769088335
2014,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.23074029948552605
2014,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.4355425357373539
2014,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.3560762815096352
2014,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.8681262038468842
2014,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,4.257898234901592
2014,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,4.621434211874675
2014,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,2.823092800484635
2014,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.680386002842572
2014,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.5168901305546867
2014,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,2.7426501691663723
2014,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.1622131447822515
2014,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.63689292023622
2015,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.28192289870048926
2015,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.47078903814803574
2015,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.41372719242658584
2015,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.7315492310686033
2015,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,3.9341385203504986
2015,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,4.616625741221639
2015,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,2.396703595773188
2015,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.9739132479535906
2015,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.6467601299305423
2015,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,1.9906477062761805
2015,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.5724830543469235
2015,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.062658897676815
2016,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.4113591692601577
2016,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.337860095513049
2016,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.6668760657513126
2016,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.910531535531308
2016,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,3.569402141978021
2016,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,4.2832286719562
2016,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,3.067958884557261
2016,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.821184874234856
2016,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.614745936613826
2016,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,2.1906159453646064
2016,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.446485415725123
2016,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.850255672867979
2017,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.31268402757873126
2017,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.3312024595094643
2017,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.32499652253720884
2017,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.6464272683132846
2017,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,3.7760500251107327
2017,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,4.3131122019119426
2017,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,3.2157598716438907
2017,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.6230077362036353
2017,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.5227295608334726
2017,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,2.644003777148253
2017,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.338558565693128
2017,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.508331140078652
2018,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.3428006071262445
2018,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.2468645121154931
2018,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.2232694623192913
2018,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.7658383196950292
2018,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,3.699873261888548
2018,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,3.9300400934901067
2018,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,3.1096461222712857
2018,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.519025606985258
2018,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.685321002584105
2018,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,2.7626233347742595
2018,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.852379798269945
2018,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,5.994704053637614
2019,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.1338009587641501
2019,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.04146426920262137
2019,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.2820109890282058
2019,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.810280569775792
2019,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,3.2148672418806052
2019,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,3.7130863755235244
2019,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,2.7773100710470633
2019,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.347295298428645
2019,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.712738577696408
2019,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,2.8869581233732893
2019,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,3.9629950789781287
2019,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.705229865947216
2020,Death rate due to road traffic injuries,Great Britain,,,0-4,Normal value,Units,"Rate per 100,000 population",K03000001,0.30016967773237635
2020,Death rate due to road traffic injuries,Great Britain,,,5-7,Normal value,Units,"Rate per 100,000 population",K03000001,0.2526176450898919
2020,Death rate due to road traffic injuries,Great Britain,,,8-11,Normal value,Units,"Rate per 100,000 population",K03000001,0.24723613183001406
2020,Death rate due to road traffic injuries,Great Britain,,,12-15,Normal value,Units,"Rate per 100,000 population",K03000001,0.5235165259443338
2020,Death rate due to road traffic injuries,Great Britain,,,16-19,Normal value,Units,"Rate per 100,000 population",K03000001,2.8498157646882496
2020,Death rate due to road traffic injuries,Great Britain,,,20-29,Normal value,Units,"Rate per 100,000 population",K03000001,3.3183549792334244
2020,Death rate due to road traffic injuries,Great Britain,,,30-39,Normal value,Units,"Rate per 100,000 population",K03000001,2.628199357220822
2020,Death rate due to road traffic injuries,Great Britain,,,40-49,Normal value,Units,"Rate per 100,000 population",K03000001,2.231861739353621
2020,Death rate due to road traffic injuries,Great Britain,,,50-59,Normal value,Units,"Rate per 100,000 population",K03000001,2.424233677183631
2020,Death rate due to road traffic injuries,Great Britain,,,60-69,Normal value,Units,"Rate per 100,000 population",K03000001,2.1393467804114565
2020,Death rate due to road traffic injuries,Great Britain,,,70-79,Normal value,Units,"Rate per 100,000 population",K03000001,2.7396923965886204
2020,Death rate due to road traffic injuries,Great Britain,,,80 and over,Normal value,Units,"Rate per 100,000 population",K03000001,3.966173085004475
2009,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.6017822768210688
2010,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.9500905466941396
2011,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,3.0014780113773343
2012,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.7872425943609205
2013,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.6547448449542688
2014,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.710036180824071
2015,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.67037430707848
2016,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.710425895662318
2017,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.776008312203128
2018,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.7171787759647335
2019,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.645372877743391
2020,Death rate due to road traffic injuries,England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,2.203354481646004
2009,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,5.076422522051689
2010,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,4.06028660298451
2011,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,4.121259351071351
2012,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,3.7217057321711686
2013,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,3.2184072015775413
2014,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,3.644307796080062
2015,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,3.719995510350246
2016,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,4.0419944173920035
2017,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,3.814181461988329
2018,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,4.079806850287117
2019,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,4.09435376209075
2020,Death rate due to road traffic injuries,England,East Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000004,2.812283392143142
2009,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,4.085931130674511
2010,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.392222546329667
2011,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.3945037696049654
2012,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.1663176944330713
2013,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,2.9906245600169625
2014,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.1243508247122853
2015,Death rate due to road traffic injuries,England,East of England,,,Normal value,Units,"Rate per 100,000 population",E12000006,3.1929058240906394
