Year,Food security level,Age,Age group,Country,Region,Ethnic group,Ethnicity,Highest qualification,Household compositin - children,Number of adults,Number of children,Household composition - adults over State Pension age,Household composition - disabled adults,Household composition - unemployed adults,State support,State support detail,Total gross weekly income,Tenure,Tenure sub-category,Observation status,Units,GeoCode,Value
2019/2020,Low,,,England,,,,,,,,,,,,,,,,,Percentage (%),E92000001,4.0
2019/2020,Very low,,,England,,,,,,,,,,,,,,,,,Percentage (%),E92000001,4.0
2019/2020,,,,England,,,,,,,,,,,,,,,,,Percentage (%),E92000001,8.0
2019/2020,Low,,,Great Britain,,,,,,,,,,,,,,,,,Percentage (%),K03000001,4.0
2019/2020,Very low,,,Great Britain,,,,,,,,,,,,,,,,,Percentage (%),K03000001,4.0
2019/2020,,,,Great Britain,,,,,,,,,,,,,,,,,Percentage (%),K03000001,8.0
2019/2020,Low,,,Northern Ireland,,,,,,,,,,,,,,,,,Percentage (%),N92000002,3.0
2019/2020,Very low,,,Northern Ireland,,,,,,,,,,,,,,,,,Percentage (%),N92000002,4.0
2019/2020,,,,Northern Ireland,,,,,,,,,,,,,,,,,Percentage (%),N92000002,7.0
2019/2020,Low,,,Scotland,,,,,,,,,,,,,,,,,Percentage (%),S92000003,4.0
2019/2020,Very low,,,Scotland,,,,,,,,,,,,,,,,,Percentage (%),S92000003,4.0
2019/2020,,,,Scotland,,,,,,,,,,,,,,,,,Percentage (%),S92000003,8.0
2019/2020,Low,,,Wales,,,,,,,,,,,,,,,,,Percentage (%),W92000004,4.0
2019/2020,Very low,,,Wales,,,,,,,,,,,,,,,,,Percentage (%),W92000004,3.0
2019/2020,,,,Wales,,,,,,,,,,,,,,,,,Percentage (%),W92000004,7.0
2019/2020,Low,,,,,,,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,Low,,,England,East,,,,,,,,,,,,,,,,Percentage (%),E12000006,2.0
2019/2020,Very low,,,England,East,,,,,,,,,,,,,,,,Percentage (%),E12000006,3.0
2019/2020,,,,England,East,,,,,,,,,,,,,,,,Percentage (%),E12000006,5.0
2019/2020,Low,,,England,East Midlands,,,,,,,,,,,,,,,,Percentage (%),E12000004,4.0
2019/2020,Very low,,,England,East Midlands,,,,,,,,,,,,,,,,Percentage (%),E12000004,3.0
2019/2020,,,,England,East Midlands,,,,,,,,,,,,,,,,Percentage (%),E12000004,7.0
2019/2020,Low,,,England,Inner London,,,,,,,,,,,,,,,,Percentage (%),E13000001,5.0
2019/2020,Very low,,,England,Inner London,,,,,,,,,,,,,,,,Percentage (%),E13000001,4.0
2019/2020,,,,England,Inner London,,,,,,,,,,,,,,,,Percentage (%),E13000001,8.0
2019/2020,Low,,,England,London,,,,,,,,,,,,,,,,Percentage (%),E12000007,5.0
2019/2020,Very low,,,England,London,,,,,,,,,,,,,,,,Percentage (%),E12000007,3.0
2019/2020,Very low,,,,,,,,,,,,,,,,,,,,Percentage (%),,4.0
2019/2020,,,,England,London,,,,,,,,,,,,,,,,Percentage (%),E12000007,9.0
2019/2020,Low,,,England,North East,,,,,,,,,,,,,,,,Percentage (%),E12000001,4.0
2019/2020,Very low,,,England,North East,,,,,,,,,,,,,,,,Percentage (%),E12000001,6.0
2019/2020,,,,England,North East,,,,,,,,,,,,,,,,Percentage (%),E12000001,11.0
2019/2020,Low,,,England,North West,,,,,,,,,,,,,,,,Percentage (%),E12000002,5.0
2019/2020,Very low,,,England,North West,,,,,,,,,,,,,,,,Percentage (%),E12000002,5.0
2019/2020,,,,England,North West,,,,,,,,,,,,,,,,Percentage (%),E12000002,10.0
2019/2020,Low,,,England,Outer London,,,,,,,,,,,,,,,,Percentage (%),E13000002,6.0
