Year,Units,Age,Sex,Region,Police Force Area,GeoCode,Value
2007/08,"Rate per 100,000 population",,,,,,1.34038152149
2007/08,"Rate per 100,000 population",,Male,,,,1.9873112054354798
2007/08,"Rate per 100,000 population",,Female,,,,0.7179372472337758
2007/08,"Rate per 100,000 population",Under 1,Male,,,,2.88350634371395
2007/08,"Rate per 100,000 population",Under 1,Female,,,,3.0321406913280695
2007/08,"Rate per 100,000 population",Under 1,,,,,2.9559562518474705
2007/08,"Rate per 100,000 population",1 to 4,Male,,,,0.923432089265102
2007/08,"Rate per 100,000 population",1 to 4,Female,,,,0.6465168902537571
2007/08,"Rate per 100,000 population",1 to 4,,,,,0.7883637510347271
2007/08,"Rate per 100,000 population",5 to 15,Male,,,,0.436657387697178
2007/08,"Rate per 100,000 population",5 to 15,Female,,,,0.171482465917859
2007/08,"Rate per 100,000 population",5 to 15,,,,,0.307129594728539
2007/08,"Rate per 100,000 population",16 to 24,Male,,,,4.04721753794266
2007/08,"Rate per 100,000 population",16 to 24,Female,,,,1.03487205218263
2007/08,"Rate per 100,000 population",16 to 24,,,,,2.55802055718338
2007/08,"Rate per 100,000 population",25 to 34,Male,,,,3.2158836689037997
2007/08,"Rate per 100,000 population",25 to 34,Female,,,,0.972789682870563
2007/08,"Rate per 100,000 population",25 to 34,,,,,2.09091289256889
2007/08,"Rate per 100,000 population",35 to 44,Male,,,,2.7399941285839997
2007/08,"Rate per 100,000 population",35 to 44,Female,,,,0.7230657989877071
2007/08,"Rate per 100,000 population",35 to 44,,,,,1.72401233518684
2007/08,"Rate per 100,000 population",45 to 54,Male,,,,1.94086082886174
2007/08,"Rate per 100,000 population",45 to 54,Female,,,,0.758959943780744
2007/08,"Rate per 100,000 population",45 to 54,,,,,1.34539944201328
2007/08,"Rate per 100,000 population",55 to 64,Male,,,,1.3574517788932
2007/08,"Rate per 100,000 population",55 to 64,Female,,,,0.520498453813416
2007/08,"Rate per 100,000 population",55 to 64,,,,,0.93257483913084
2007/08,"Rate per 100,000 population",65 to 74,Male,,,,0.610615312353217
2007/08,"Rate per 100,000 population",65 to 74,Female,,,,0.4282288454950321
2007/08,"Rate per 100,000 population",65 to 74,,,,,0.515209892029927
2007/08,"Rate per 100,000 population",75 and over,Male,,,,0.5510316537072181
2007/08,"Rate per 100,000 population",75 and over,Female,,,,0.89924541580326
2007/08,"Rate per 100,000 population",75 and over,,,,,0.763540921021236
2008/09,"Rate per 100,000 population",,,,,,1.16516963338183
2008/09,"Rate per 100,000 population",,Male,,,,1.6459712716707098
2008/09,"Rate per 100,000 population",,Female,,,,0.701814692275741
2008/09,"Rate per 100,000 population",Under 1,Male,,,,2.77700638711469
2008/09,"Rate per 100,000 population",Under 1,Female,,,,1.74774249927177
2008/09,"Rate per 100,000 population",Under 1,,,,,2.27466590844469
2008/09,"Rate per 100,000 population",1 to 4,Male,,,,0.524344569288389
2008/09,"Rate per 100,000 population",1 to 4,Female,,,,0.6280913872968511
2008/09,"Rate per 100,000 population",1 to 4,,,,,0.5749990416682629
2008/09,"Rate per 100,000 population",5 to 15,Male,,,,0.24764053600418198
2008/09,"Rate per 100,000 population",5 to 15,Female,,,,0.17313518972731198
2008/09,"Rate per 100,000 population",5 to 15,,,,,0.211273557001605
2008/09,"Rate per 100,000 population",16 to 24,Male,,,,3.16474955876087
2008/09,"Rate per 100,000 population",16 to 24,Female,,,,0.8347503478126441
2008/09,"Rate per 100,000 population",16 to 24,,,,,2.00898676522459
2008/09,"Rate per 100,000 population",25 to 34,Male,,,,2.6224258819632302
2008/09,"Rate per 100,000 population",25 to 34,Female,,,,0.8
2008/09,"Rate per 100,000 population",25 to 34,,,,,1.7109111981897398
2008/09,"Rate per 100,000 population",35 to 44,Male,,,,2.1433322657732
2008/09,"Rate per 100,000 population",35 to 44,Female,,,,0.8753373696112041
2008/09,"Rate per 100,000 population",35 to 44,,,,,1.50517633813847
2008/09,"Rate per 100,000 population",45 to 54,Male,,,,2.0924004017408704
2008/09,"Rate per 100,000 population",45 to 54,Female,,,,0.823926835297025
2008/09,"Rate per 100,000 population",45 to 54,,,,,1.45318663068299
2008/09,"Rate per 100,000 population",55 to 64,Male,,,,1.03467736878409
2008/09,"Rate per 100,000 population",55 to 64,Female,,,,0.365141187925998
2008/09,"Rate per 100,000 population",55 to 64,,,,,0.69489483924766
2008/09,"Rate per 100,000 population",65 to 74,Male,,,,0.734585188926128
2008/09,"Rate per 100,000 population",65 to 74,Female,,,,0.7144358058415631
2008/09,"Rate per 100,000 population",65 to 74,,,,,0.7240652975250129
2008/09,"Rate per 100,000 population",75 and over,Male,,,,0.42042042042041994
2008/09,"Rate per 100,000 population",75 and over,Female,,,,0.9743170037803499
2008/09,"Rate per 100,000 population",75 and over,,,,,0.7563402585738249
2009/10,"Rate per 100,000 population",,,,,,1.07720968293826
2009/10,"Rate per 100,000 population",,Male,,,,1.48220250868305
2009/10,"Rate per 100,000 population",,Female,,,,0.6865029256407061
2009/10,"Rate per 100,000 population",Under 1,Male,,,,2.52030243629235
2009/10,"Rate per 100,000 population",Under 1,Female,,,,3.2286469034341003
2009/10,"Rate per 100,000 population",Under 1,,,,,2.8661507595299502
2009/10,"Rate per 100,000 population",1 to 4,Male,,,,0.436681222707423
2009/10,"Rate per 100,000 population",1 to 4,Female,,,,0.7617886798202181
2009/10,"Rate per 100,000 population",1 to 4,,,,,0.595526110097889
2009/10,"Rate per 100,000 population",5 to 15,Male,,,,0.193098121431132
2009/10,"Rate per 100,000 population",5 to 15,Female,,,,0.0869212493480906
2009/10,"Rate per 100,000 population",5 to 15,,,,,0.14131279587366596
2009/10,"Rate per 100,000 population",16 to 24,Male,,,,2.76620968477368
2009/10,"Rate per 100,000 population",16 to 24,Female,,,,0.6158014656074879
2009/10,"Rate per 100,000 population",16 to 24,,,,,1.6978967495219799
2009/10,"Rate per 100,000 population",25 to 34,Male,,,,2.37763384438796
2009/10,"Rate per 100,000 population",25 to 34,Female,,,,0.874986328338619
2009/10,"Rate per 100,000 population",25 to 34,,,,,1.6265052007162
2009/10,"Rate per 100,000 population",35 to 44,Male,,,,1.89620758483033
2009/10,"Rate per 100,000 population",35 to 44,Female,,,,1.1564391516165502
2009/10,"Rate per 100,000 population",35 to 44,,,,,1.5237481727410098
2009/10,"Rate per 100,000 population",45 to 54,Male,,,,1.66194420226678
2009/10,"Rate per 100,000 population",45 to 54,Female,,,,0.563350054993695
2009/10,"Rate per 100,000 population",45 to 54,,,,,1.10839269542179
2009/10,"Rate per 100,000 population",55 to 64,Male,,,,1.24933629009588
2009/10,"Rate per 100,000 population",55 to 64,Female,,,,0.48474566001151204
2009/10,"Rate per 100,000 population",55 to 64,,,,,0.8612204724409441
2009/10,"Rate per 100,000 population",65 to 74,Male,,,,0.5354513408593989
2009/10,"Rate per 100,000 population",65 to 74,Female,,,,0.41023957991466997
2009/10,"Rate per 100,000 population",65 to 74,,,,,0.47021608566482104
2009/10,"Rate per 100,000 population",75 and over,Male,,,,0.766690257136117
2009/10,"Rate per 100,000 population",75 and over,Female,,,,0.893724499708568
2009/10,"Rate per 100,000 population",75 and over,,,,,0.8432690731067429
2010/11,"Rate per 100,000 population",,,,,,1.1366023669340202
2010/11,"Rate per 100,000 population",,Male,,,,1.5782147906490702
2010/11,"Rate per 100,000 population",,Female,,,,0.709755787511123
2010/11,"Rate per 100,000 population",Under 1,Male,,,,2.76014352746342
2010/11,"Rate per 100,000 population",Under 1,Female,,,,2.02780996523754
2010/11,"Rate per 100,000 population",Under 1,,,,,2.40282685512367
2010/11,"Rate per 100,000 population",1 to 4,Male,,,,0.6397952655150351
2010/11,"Rate per 100,000 population",1 to 4,Female,,,,0.521687285735579
2010/11,"Rate per 100,000 population",1 to 4,,,,,0.582135710387484
2010/11,"Rate per 100,000 population",5 to 15,Male,,,,0.41492628143066496
2010/11,"Rate per 100,000 population",5 to 15,Female,,,,0.232247575915926
2010/11,"Rate per 100,000 population",5 to 15,,,,,0.32579288071731
2010/11,"Rate per 100,000 population",16 to 24,Male,,,,2.4887556221889
2010/11,"Rate per 100,000 population",16 to 24,Female,,,,0.67538527660097
2010/11,"Rate per 100,000 population",16 to 24,,,,,1.5927431587888998
2010/11,"Rate per 100,000 population",25 to 34,Male,,,,2.26843100189035
2010/11,"Rate per 100,000 population",25 to 34,Female,,,,1.04960034448421
2010/11,"Rate per 100,000 population",25 to 34,,,,,1.65797242104411
2010/11,"Rate per 100,000 population",35 to 44,Male,,,,2.2332191346275803
2010/11,"Rate per 100,000 population",35 to 44,Female,,,,1.15020128522491
2010/11,"Rate per 100,000 population",35 to 44,,,,,1.6876999420640302
2010/11,"Rate per 100,000 population",45 to 54,Male,,,,1.80855873826431
2010/11,"Rate per 100,000 population",45 to 54,Female,,,,0.497395219770151
