Year,Series,Sex,Age,Country,Deprivation level,Household income (£),Region,Socio-economic classification,Urban or rural,Working status,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2008,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,95
2009,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,97
2010,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,97
2011,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,98
2012,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,98
2013,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,97
2014,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,100
2015,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,98
2016,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,99
2017,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,100
2018,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,99
2019,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,98
2020,Percentage of individuals who use a mobile telephone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,98
2008,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,94
2009,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98
2010,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98
2011,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,99
2012,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98
2013,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,99
2014,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,99
2015,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98
2016,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,97
2017,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,100
2018,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98
2019,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,100
2020,Percentage of individuals who use a mobile telephone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,99
2008,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,91
2009,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,96
2010,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,96
2011,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2012,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,97
2013,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2014,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2015,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2016,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2017,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2018,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,98
2019,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,99
2020,Percentage of individuals who use a mobile telephone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,99
2015,Percentage of individuals who use a mobile telephone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,82
2016,Percentage of individuals who use a mobile telephone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,84
2017,Percentage of individuals who use a mobile telephone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,85
2018,Percentage of individuals who use a mobile telephone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,96
2019,Percentage of individuals who use a mobile telephone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,86
2020,Percentage of individuals who use a mobile telephone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,87
2008,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,79
2009,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,84
2010,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,88
2011,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,91
2012,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,91
2013,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,93
2014,Percentage of individuals who use a mobile telephone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,92
2008,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,56
2009,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,64
2010,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,63
2011,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,64
2012,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,71
2013,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,69
2014,Percentage of individuals who use a mobile telephone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,72
2016,Percentage of individuals who use a mobile telephone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,88
2017,Percentage of individuals who use a mobile telephone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,85
2018,Percentage of individuals who use a mobile telephone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,80
2019,Percentage of individuals who use a mobile telephone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,83
2020,Percentage of individuals who use a mobile telephone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,88
2015,Percentage of individuals who use a mobile telephone,,,,,Under 11.5K,,,,,Percentage (%),Units,Normal value,,83
2016,Percentage of individuals who use a mobile telephone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,92
2017,Percentage of individuals who use a mobile telephone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,88
2018,Percentage of individuals who use a mobile telephone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,91
2019,Percentage of individuals who use a mobile telephone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,91
2020,Percentage of individuals who use a mobile telephone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,90
2015,Percentage of individuals who use a mobile telephone,,,,,11.5K- 17.5K,,,,,Percentage (%),Units,Normal value,,92
2016,Percentage of individuals who use a mobile telephone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,95
2017,Percentage of individuals who use a mobile telephone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,95
2018,Percentage of individuals who use a mobile telephone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,96
2019,Percentage of individuals who use a mobile telephone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,95
2020,Percentage of individuals who use a mobile telephone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,95
