Year,Unit measure,Unit multiplier,Observation status,Value
1972,Percentage change (%),Units,Undefined,4.0
1973,Percentage change (%),Units,Undefined,4.86
1974,Percentage change (%),Units,Undefined,-2.71
1975,Percentage change (%),Units,Undefined,-1.1
1976,Percentage change (%),Units,Undefined,3.52
1977,Percentage change (%),Units,Undefined,2.35
1978,Percentage change (%),Units,Undefined,3.65
1979,Percentage change (%),Units,Undefined,2.69
1980,Percentage change (%),Units,Undefined,-1.6
1981,Percentage change (%),Units,Undefined,1.89
1982,Percentage change (%),Units,Undefined,4.05
1983,Percentage change (%),Units,Undefined,4.99
1984,Percentage change (%),Units,Undefined,0.13
1985,Percentage change (%),Units,Undefined,2.89
1986,Percentage change (%),Units,Undefined,2.5
1987,Percentage change (%),Units,Undefined,3.24
1988,Percentage change (%),Units,Undefined,2.39
1989,Percentage change (%),Units,Undefined,-0.03
1990,Percentage change (%),Units,Undefined,0.28
1991,Percentage change (%),Units,Undefined,1.59
1992,Percentage change (%),Units,Undefined,2.82
1993,Percentage change (%),Units,Undefined,3.49
1994,Percentage change (%),Units,Undefined,3.08
1995,Percentage change (%),Units,Undefined,1.21
1996,Percentage change (%),Units,Undefined,1.58
1997,Percentage change (%),Units,Undefined,2.46
1998,Percentage change (%),Units,Undefined,2.3
1999,Percentage change (%),Units,Undefined,1.8
2000,Percentage change (%),Units,Undefined,2.26
2001,Percentage change (%),Units,Undefined,1.99
2002,Percentage change (%),Units,Undefined,1.65
2003,Percentage change (%),Units,Undefined,2.33
2004,Percentage change (%),Units,Undefined,1.24
2005,Percentage change (%),Units,Undefined,2.0
2006,Percentage change (%),Units,Undefined,1.53
2007,Percentage change (%),Units,Undefined,1.71
2008,Percentage change (%),Units,Undefined,-1.19
2009,Percentage change (%),Units,Undefined,-2.7
2010,Percentage change (%),Units,Undefined,1.46
2011,Percentage change (%),Units,Undefined,1.13
2012,Percentage change (%),Units,Undefined,0.35
2013,Percentage change (%),Units,Undefined,0.86
2014,Percentage change (%),Units,Undefined,0.57
2015,Percentage change (%),Units,Undefined,0.62
2016,Percentage change (%),Units,Undefined,0.37
2017,Percentage change (%),Units,Undefined,0.61
