Year,Series,Seasonally adjusted or not,Age,Sex,Units,Unit multiplier,Observation status,Value
2001 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,8.139493544
2002 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.280449444
2002 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,8.512485323
2002 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.16752894
2002 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.455280479
2003 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.794716698
2003 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,8.525181114
2003 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.956410829
2003 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.218189673
2004 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.556588535
2004 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.648541458
2004 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.828834952
2004 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.98877971
2005 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,8.163522654
2005 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.464424439
2005 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.243248368
2005 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.916421934
2006 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.531062504
2006 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.285952303
2006 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.571743521
2006 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.787237807
2007 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.76363845
2007 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.702456462
2007 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,7.67639847
2007 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.288548135
2008 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.125739962
2008 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.497591044
2008 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,Female,Percentage (%),Units,Normal value,6.842332139
