Year,Series,Sector,Age,Sex,Country,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2010,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.0954928512929
2013,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.108015505327
2012,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.111521773239
2015,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.114216157141
2014,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.120336139479
2011,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.139034200243
2009,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.17694699325
2007,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.181998249675
2008,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.191452598139
2005,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.214155503763
2006,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.227084506511
2004,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.254161554768
2000,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.259110873226
2002,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.278603865174
2001,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.282616612755
2003,Public sector employment,Public sector,16 to 17,Female,,,Undefined,Units,Percentage (%),,0.290260586442
2000,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.397365786507
2001,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.487535597147
2004,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.562384411405
2002,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.604393832085
2005,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.615717207781
2003,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.625374657007
2006,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.659074096552
2007,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.659214590391
2008,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.80272193151
2010,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,0.98989671159
2009,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.06518807469
2016,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.10361839515
2015,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.13155830943
2014,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.15692039748
2011,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.15735182356
2013,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.17054729681
2012,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.17357451994
2000,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.20002584652
2011,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.20207514734
2012,Public sector employment,Public sector,65 and over,Female,,,Undefined,Units,Percentage (%),,1.22008542738
2010,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.22405618047
2001,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.22864818807
2002,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.24366475261
2003,Public sector employment,,16 to 17,Female,,,Undefined,Units,Percentage (%),,1.2524594351
