Year,Units,Subject,Sex,Special Educational Needs,Free School Meals,Ethnicity,Ethnic group,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016,Attainment at age 7,Reading,,,,,,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 7,Reading,Boys,,,,,,Percentage (%),Units,Undefined,,70.0
2016,Attainment at age 7,Reading,Girls,,,,,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 7,Maths,,,,,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 7,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,72.0
2016,Attainment at age 7,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 7,Reading,,,,,,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 7,Reading,Boys,,,,,,Percentage (%),Units,Undefined,,71.0
2017,Attainment at age 7,Reading,Girls,,,,,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 7,Maths,,,,,,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 7,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Reading,,,,,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 7,Reading,Boys,,,,,,Percentage (%),Units,Undefined,,71.0
2018,Attainment at age 7,Reading,Girls,,,,,,Percentage (%),Units,Undefined,,80.0
2018,Attainment at age 7,Maths,,,,,,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 7,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,77.0
2016,Attainment at age 7,Reading,,Special educational needs,,,,,Percentage (%),Units,Undefined,,30.0
2016,Attainment at age 7,Reading,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,30.0
2016,Attainment at age 7,Reading,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,28.0
