Year,Country,Sustainably managed status,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2004,England,Certified,Undefined,percentage (%),Units,E92000001,2.28886093883
2005,England,Certified,Undefined,percentage (%),Units,E92000001,2.63754840819618
2006,England,Certified,Undefined,percentage (%),Units,E92000001,2.71334624242573
2007,England,Certified,Undefined,percentage (%),Units,E92000001,2.79227298981775
2008,England,Certified,Undefined,percentage (%),Units,E92000001,2.64956466964026
2009,England,Certified,Undefined,percentage (%),Units,E92000001,2.70506283319533
2010,England,Certified,Undefined,percentage (%),Units,E92000001,2.74091304794759
2011,England,Certified,Undefined,percentage (%),Units,E92000001,2.57246076503212
2012,England,Certified,Undefined,percentage (%),Units,E92000001,2.72406083633505
2013,England,Certified,Undefined,percentage (%),Units,E92000001,2.72226099953019
2014,England,Certified,Undefined,percentage (%),Units,E92000001,2.68007056250179
2015,England,Certified,Undefined,percentage (%),Units,E92000001,2.72944127977301
2016,England,Certified,Undefined,percentage (%),Units,E92000001,2.58757209087594
2017,England,Certified,Undefined,percentage (%),Units,E92000001,2.58520360425319
2018,England,Certified,Undefined,percentage (%),Units,E92000001,2.54899927006012
2019,England,Certified,Undefined,percentage (%),Units,E92000001,2.49309416745222
2020,England,Certified,Undefined,percentage (%),Units,E92000001,2.48123095200541
2021,England,Certified,Undefined,percentage (%),Units,E92000001,2.42842125583627
2004,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.72125231855757
2005,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.60024847765351
2006,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.59879846158515
2007,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.65139230551102
2008,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.67187159388734
2009,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.7168660199508
2010,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.65089028884074
2011,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.60057473126888
2012,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.68025311422489
2013,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.68956366739978
2014,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.70087959279721
2015,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.72132481936099
2016,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.73149958211262
2017,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.73755484921406
2018,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.73754686634474
2019,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.74970235882669
2020,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.75966358815256
2021,Northern Ireland,Certified,Undefined,percentage (%),Units,N92000002,4.74170914524989
2004,Scotland,Certified,Undefined,percentage (%),Units,S92000003,8.5994385640525
2005,Scotland,Certified,Undefined,percentage (%),Units,S92000003,9.22574699661634
2006,Scotland,Certified,Undefined,percentage (%),Units,S92000003,9.29853965221003
2007,Scotland,Certified,Undefined,percentage (%),Units,S92000003,9.81128648888503
2008,Scotland,Certified,Undefined,percentage (%),Units,S92000003,9.88443617477252
2009,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.0223305333333
2010,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.1726619449936
2011,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.1638007512724
2012,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.3686974032778
2013,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.3168579606011
2014,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.5488234170137
2015,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.4404660122188
2016,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.3508159610862
2017,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.7919068177273
2018,Scotland,Certified,Undefined,percentage (%),Units,S92000003,10.6911487454698
2019,Scotland,Certified,Undefined,percentage (%),Units,S92000003,11.1012826362027
2020,Scotland,Certified,Undefined,percentage (%),Units,S92000003,11.0613494842549
2021,Scotland,Certified,Undefined,percentage (%),Units,S92000003,11.3742895961716
2004,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.10772653151965
2005,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.32896039800173
2006,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.32370975800606
2007,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.39393013337511
2008,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.26732861774288
2009,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.4493899737463
2010,Wales,Certified,Undefined,percentage (%),Units,W92000004,6.43664482568042
