Year,Units,Country,Region,Country of Birth,Site of disease,GeoCode,Value
2000,"Incidence rate per 100,000",,,,,,11.4
2000,"Incidence rate per 100,000",England,,,,E12000006,12.3
2000,"Incidence rate per 100,000",Wales,,,,W92000004,6.3
2000,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.4
2000,"Incidence rate per 100,000",Scotland,,,,S92000003,8.0
2001,"Incidence rate per 100,000",,,,,,11.4
2001,"Incidence rate per 100,000",England,,,,E12000006,12.5
2001,"Incidence rate per 100,000",Wales,,,,W92000004,6.3
2001,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.4
2001,"Incidence rate per 100,000",Scotland,,,,S92000003,6.9
2002,"Incidence rate per 100,000",,,,,,12.3
2002,"Incidence rate per 100,000",England,,,,E12000006,13.4
2002,"Incidence rate per 100,000",Wales,,,,W92000004,5.3
2002,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.9
2002,"Incidence rate per 100,000",Scotland,,,,S92000003,7.8
2003,"Incidence rate per 100,000",,,,,,12.1
2003,"Incidence rate per 100,000",England,,,,E12000006,13.3
2003,"Incidence rate per 100,000",Wales,,,,W92000004,5.6
2003,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.3
2003,"Incidence rate per 100,000",Scotland,,,,S92000003,7.2
2004,"Incidence rate per 100,000",,,,,,12.7
2004,"Incidence rate per 100,000",England,,,,E12000006,13.8
2004,"Incidence rate per 100,000",Wales,,,,W92000004,6.3
2004,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,4.7
2004,"Incidence rate per 100,000",Scotland,,,,S92000003,7.7
2005,"Incidence rate per 100,000",,,,,,13.7
2005,"Incidence rate per 100,000",England,,,,E12000006,15.1
2005,"Incidence rate per 100,000",Wales,,,,W92000004,6.2
2005,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,4.3
2005,"Incidence rate per 100,000",Scotland,,,,S92000003,7.1
2006,"Incidence rate per 100,000",,,,,,13.7
2006,"Incidence rate per 100,000",England,,,,E12000006,15.1
2006,"Incidence rate per 100,000",Wales,,,,W92000004,6.1
2006,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.5
2006,"Incidence rate per 100,000",Scotland,,,,S92000003,7.4
2007,"Incidence rate per 100,000",,,,,,13.5
2007,"Incidence rate per 100,000",England,,,,E12000006,14.7
2007,"Incidence rate per 100,000",Wales,,,,W92000004,6.8
2007,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.9
2007,"Incidence rate per 100,000",Scotland,,,,S92000003,7.9
2008,"Incidence rate per 100,000",,,,,,13.7
2008,"Incidence rate per 100,000",England,,,,E12000006,15.1
2008,"Incidence rate per 100,000",Wales,,,,W92000004,5.6
2008,"Incidence rate per 100,000",Northern Ireland,,,,N92000002,3.7
2008,"Incidence rate per 100,000",Scotland,,,,S92000003,8.6
2009,"Incidence rate per 100,000",,,,,,14.2
