Year,Units,Type of sexual assault,Age,Place of occurrence,Ethnicity,Ethnic group,Disability status,Region,Household income,Highest qualification,Relationship with perpetrator,Frequency of sexual assault,GeoCode,Value
2004/05,Percentage (%),,,,,,,,,,,,,4.19096231225
2005/06,Percentage (%),,,,,,,,,,,,,5.01776424034617
2006/07,Percentage (%),,,,,,,,,,,,,4.79379517868384
2007/08,Percentage (%),,,,,,,,,,,,,4.45549788356678
2008/09,Percentage (%),,,,,,,,,,,,,3.7315378054756403
2009/10,Percentage (%),,,,,,,,,,,,,3.35459817399144
2010/11,Percentage (%),,,,,,,,,,,,,3.81998096821363
2011/12,Percentage (%),,,,,,,,,,,,,4.18977866652331
2012/13,Percentage (%),,,,,,,,,,,,,3.01801724297058
2013/14,Percentage (%),,,,,,,,,,,,,2.22999072351882
2014/15,Percentage (%),,,,,,,,,,,,,2.7067654275647794
2015/16,Percentage (%),,,,,,,,,,,,,3.2298650308392296
2016/17,Percentage (%),,,,,,,,,,,,,3.07941902878173
2004/05,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.997931323073977
2005/06,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,1.34774142853638
2006/07,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,1.15178529299341
2007/08,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,1.2331254842177901
2008/09,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,1.00774779890549
2009/10,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.8492419520932809
2010/11,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,1.21962590084547
2011/12,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,1.2725244952606598
2012/13,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.99524676159148
2013/14,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.7052737039066501
2014/15,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.677535170256067
2015/16,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.7159421917137501
2016/17,Percentage (%),Rape or assault by penetration (including attempts),,,,,,,,,,,,0.868450676632067
2004/05,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.7310585242543142
2005/06,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,1.11290076113486
2006/07,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.932245449268687
2007/08,Percentage (%),Rape or assault by penetration (excluding attempts),,,,,,,,,,,,0.8769474818340541
