Year,Age,Sex,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2009/10,,Female,"Rate per 100,000 population",Units,Undefined,,0.6865029256407065
2009/10,,Male,"Rate per 100,000 population",Units,Undefined,,1.471141295931686
2009/10,,,"Rate per 100,000 population",Units,Undefined,,1.0717783736125268
2010/11,,Female,"Rate per 100,000 population",Units,Undefined,,0.7062246641901722
2010/11,,Male,"Rate per 100,000 population",Units,Undefined,,1.5782147906490775
2010/11,,,"Rate per 100,000 population",Units,Undefined,,1.134806786575523
2011/12,,Female,"Rate per 100,000 population",Units,Undefined,,0.5957909124362593
2011/12,,Male,"Rate per 100,000 population",Units,Undefined,,1.2808683853459972
2011/12,,,"Rate per 100,000 population",Units,Undefined,,0.9346459917039042
2012/13,,Female,"Rate per 100,000 population",Units,Undefined,,0.5813852286375741
2012/13,,Male,"Rate per 100,000 population",Units,Undefined,,1.3468134394023739
2012/13,,,"Rate per 100,000 population",Units,Undefined,,0.9581388771036627
2013/14,,Female,"Rate per 100,000 population",Units,Undefined,,0.6366995047896585
2013/14,,Male,"Rate per 100,000 population",Units,Undefined,,1.201460462538748
2013/14,,,"Rate per 100,000 population",Units,Undefined,,0.9148660268258737
2014/15,,Female,"Rate per 100,000 population",Units,Undefined,,0.631995247120961
2014/15,,Male,"Rate per 100,000 population",Units,Undefined,,1.127427153627076
2014/15,,,"Rate per 100,000 population",Units,Undefined,,0.8779164200575055
2015/16,,Female,"Rate per 100,000 population",Units,Undefined,,0.5796001345490571
2015/16,,Male,"Rate per 100,000 population",Units,Undefined,,1.2922499637276992
2015/16,,,"Rate per 100,000 population",Units,Undefined,,0.932877510954271
2016/17,,Female,"Rate per 100,000 population",Units,Undefined,,0.5821379958796138
2016/17,,Male,"Rate per 100,000 population",Units,Undefined,,1.7444103785412135
2016/17,,,"Rate per 100,000 population",Units,Undefined,,1.1561937806126925
2017/18,,Female,"Rate per 100,000 population",Units,Undefined,,0.7334303121095871
2017/18,,Male,"Rate per 100,000 population",Units,Undefined,,1.647068787829388
2017/18,,,"Rate per 100,000 population",Units,Undefined,,1.184789851730189
2018/19,,Female,"Rate per 100,000 population",Units,Undefined,,0.7324278028523749
2018/19,,Male,"Rate per 100,000 population",Units,Undefined,,1.4239138318544655
2018/19,,,"Rate per 100,000 population",Units,Undefined,,1.0758543454932672
2019/20,,Female,"Rate per 100,000 population",Units,Undefined,,0.5888746409320242
2019/20,,Male,"Rate per 100,000 population",Units,Undefined,,1.6846757368473877
2019/20,,,"Rate per 100,000 population",Units,Undefined,,1.1322372334784212
2020/21,,,"Rate per 100,000 population",Units,Undefined,,0.9946462579096982
2020/21,,Female,"Rate per 100,000 population",Units,Undefined,,0.5866097476245786
2020/21,,Male,"Rate per 100,000 population",Units,Undefined,,1.4079577092825908
2009/10,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,3.2286469034341065
2009/10,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,2.520302436292355
2009/10,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.866150759529951
2010/11,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,2.0278099652375436
2010/11,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,2.760143527463428
2010/11,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.402826855123675
2011/12,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,2.579535683576956
2011/12,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,1.364256480218281
2011/12,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.096729102599944
2012/13,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,3.360403248389807
2012/13,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,2.6673779674579885
2012/13,Under 1,,"Rate per 100,000 population",Units,Undefined,,3.005464480874317
2013/14,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,2.3123459038237533
2013/14,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,2.1920330558584826
2013/14,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.2505826899245633
2014/15,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,2.645743733261996
2014/15,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,4.194114818087259
2014/15,Under 1,,"Rate per 100,000 population",Units,Undefined,,3.582621705241949
2015/16,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,1.7691913026555561
2015/16,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,1.6788805224676184
2015/16,Under 1,,"Rate per 100,000 population",Units,Undefined,,1.7228532172130264
2016/17,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,2.045282555785082
2016/17,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,3.886761966368404
2016/17,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.9895451335899597
2017/18,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,2.691548537591961
2017/18,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,2.2754293450745484
2017/18,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.478271391126622
2018/19,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,3.9858349557725625
2018/19,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,4.36500776971383
2018/19,Under 1,,"Rate per 100,000 population",Units,Undefined,,4.329670034353692
2019/20,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,
2019/20,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,3.8949560319386394
2019/20,Under 1,,"Rate per 100,000 population",Units,Undefined,,2.6178494213012864
2020/21,Under 1,Female,"Rate per 100,000 population",Units,Undefined,,3.2518844670486544
2020/21,Under 1,Male,"Rate per 100,000 population",Units,Undefined,,4.941321803582458
2020/21,Under 1,,"Rate per 100,000 population",Units,Undefined,,4.118394333089397
2009/10,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.761788679820218
2009/10,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.43668122270742354
2009/10,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.5955261100978896
2010/11,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.521687285735579
2010/11,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.6397952655150353
2010/11,1 to 4,,"Rate per 100,000 population",Units,Undefined,,0.5821357103874841
2011/12,1 to 4,Female,"Rate per 100,000 population",Units,Undefined,,0.5136106831022087
2011/12,1 to 4,Male,"Rate per 100,000 population",Units,Undefined,,0.7699307062364387
