Year,Neonatal period,Age,Birthweight (grams),Country,Region,Country of birth,Ethnic group,Sex,Units,Unit multiplier,Observation status,GeoCode,Value
2005,,19 and under,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,4.6
2005,,20 to 24,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.6
2005,,25 to 29,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2005,,30 to 34,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2005,,35 to 39,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.2
2005,,40 and over,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.7
2005,,,Under 2500,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,33.3
2005,,,Under 1500,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,166.1
2005,,,Under 1000,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,354.1
2005,,,1000 to 1499,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,40.8
2005,,,1500 to 1999,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,12.7
2005,,,2000 to 2499,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,4.8
2005,,,2500 to 2999,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,1.7
2005,,,3000 to 3499,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.7
2005,,,3500 to 3999,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.6
2005,,,4000 and over,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,0.5
2005,,,Not stated,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,34.3
2005,,,,England and Wales,,,,,"Rate per 1,000 live births",Units,Normal value,K04000001,3.4
2005,,,,England and Wales,,,,Female,"Rate per 1,000 live births",Units,Normal value,K04000001,3.0
2005,,,,England and Wales,,,,Male,"Rate per 1,000 live births",Units,Normal value,K04000001,3.8
2005,,,,England,,,,,"Rate per 1,000 live births",Units,Normal value,E92000001,3.5
2005,,,,England,,,,Female,"Rate per 1,000 live births",Units,Normal value,E92000001,3.1
2005,,,,England,,,,Male,"Rate per 1,000 live births",Units,Normal value,E92000001,3.8
2005,,,,England,East,,,,"Rate per 1,000 live births",Units,Normal value,E12000006,2.6
2005,,,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Normal value,E12000004,3.5
2005,,,,England,London,,,,"Rate per 1,000 live births",Units,Normal value,E12000007,3.4
2005,,,,England,North East,,,,"Rate per 1,000 live births",Units,Normal value,E12000001,2.9
2005,,,,England,North West,,,,"Rate per 1,000 live births",Units,Normal value,E12000002,3.8
2005,,,,England,South East,,,,"Rate per 1,000 live births",Units,Normal value,E12000008,2.7
2005,,,,England,South West,,,,"Rate per 1,000 live births",Units,Normal value,E12000009,3.2
2005,,,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Normal value,E12000005,4.9
2005,,,,England,Yorkshire and The Humber,,,,"Rate per 1,000 live births",Units,Normal value,E12000003,4.0
2005,,,,Northern Ireland,,,,,"Rate per 1,000 live births",Units,Normal value,N92000002,4.9
2005,,,,Northern Ireland,,,,Female,"Rate per 1,000 live births",Units,Normal value,N92000002,4.2
2005,,,,Northern Ireland,,,,Male,"Rate per 1,000 live births",Units,Normal value,N92000002,5.7
2005,,,,Scotland,,,,,"Rate per 1,000 live births",Units,Normal value,S92000003,3.5
2005,,,,Scotland,,,,Female,"Rate per 1,000 live births",Units,Normal value,S92000003,3.2
2005,,,,Scotland,,,,Male,"Rate per 1,000 live births",Units,Normal value,S92000003,3.8
