Year,Corruption offence type,Observation status,Unit multiplier,Unit measure,Value
2017 Q3,,Undefined,Units,Number,30.0
2017 Q3,"Offering, promising or giving bribes",Undefined,Units,Number,4.0
2017 Q3,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2017 Q3,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2017 Q3,Misconduct in a public office,Undefined,Units,Number,25.0
2017 Q4,,Undefined,Units,Number,30.0
2017 Q4,"Offering, promising or giving bribes",Undefined,Units,Number,1.0
2017 Q4,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2017 Q4,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2017 Q4,Misconduct in a public office,Undefined,Units,Number,28.0
2018 Q1,,Undefined,Units,Number,36.0
2018 Q1,"Offering, promising or giving bribes",Undefined,Units,Number,3.0
2018 Q1,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,3.0
2018 Q1,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2018 Q1,Misconduct in a public office,Undefined,Units,Number,30.0
2018 Q2,,Undefined,Units,Number,42.0
2018 Q2,"Offering, promising or giving bribes",Undefined,Units,Number,5.0
2018 Q2,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2018 Q2,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,1.0
2018 Q2,Misconduct in a public office,Undefined,Units,Number,35.0
2018 Q3,,Undefined,Units,Number,40.0
2018 Q3,"Offering, promising or giving bribes",Undefined,Units,Number,1.0
2018 Q3,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,0.0
2018 Q3,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2018 Q3,Misconduct in a public office,Undefined,Units,Number,39.0
2018 Q4,,Undefined,Units,Number,33.0
2018 Q4,"Offering, promising or giving bribes",Undefined,Units,Number,2.0
2018 Q4,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,0.0
2018 Q4,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2018 Q4,Misconduct in a public office,Undefined,Units,Number,31.0
2019 Q1,,Undefined,Units,Number,22.0
2019 Q1,"Offering, promising or giving bribes",Undefined,Units,Number,2.0
2019 Q1,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2019 Q1,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2019 Q1,Misconduct in a public office,Undefined,Units,Number,19.0
2019 Q2,,Undefined,Units,Number,41.0
2019 Q2,"Offering, promising or giving bribes",Undefined,Units,Number,6.0
2019 Q2,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2019 Q2,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2019 Q2,Misconduct in a public office,Undefined,Units,Number,34.0
2019 Q3,,Undefined,Units,Number,22.0
2019 Q3,"Offering, promising or giving bribes",Undefined,Units,Number,0.0
2019 Q3,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,0.0
2019 Q3,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2019 Q3,Misconduct in a public office,Undefined,Units,Number,22.0
2019 Q4,,Undefined,Units,Number,21.0
2019 Q4,"Offering, promising or giving bribes",Undefined,Units,Number,0.0
2019 Q4,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,0.0
2019 Q4,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2019 Q4,Misconduct in a public office,Undefined,Units,Number,21.0
2020 Q1,,Undefined,Units,Number,36.0
2020 Q1,"Offering, promising or giving bribes",Undefined,Units,Number,2.0
2020 Q1,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2020 Q1,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2020 Q1,Misconduct in a public office,Undefined,Units,Number,33.0
2020 Q2,,Undefined,Units,Number,24.0
2020 Q2,"Offering, promising or giving bribes",Undefined,Units,Number,0.0
2020 Q2,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,0.0
2020 Q2,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2020 Q2,Misconduct in a public office,Undefined,Units,Number,24.0
2020 Q3,,Undefined,Units,Number,29.0
2020 Q3,"Offering, promising or giving bribes",Undefined,Units,Number,2.0
2020 Q3,"Requesting, agreeing to receive and accepting bribes",Undefined,Units,Number,1.0
2020 Q3,Commercial organisation - failure to prevent associate bribing another with intent to obtain or retain business or advantage,Undefined,Units,Number,0.0
2020 Q3,Misconduct in a public office,Undefined,Units,Number,26.0
