Year,Units,Sector,Waste type,Household Waste disposal routes,Observation status,Unit measure,Unit multiplier,Value
2007,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,100
2009,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,76.7
2017,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),,Household,,estimate,Kg per person,Units,68.5
2007,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2009,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,10.7
2012,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,11.6
2017,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Hospitality and Food Serivces,Supply chain,,estimate,Kg per person,Units,12.2
2007,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2009,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2011,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,16.9
2012,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,13.8
2017,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Manufacture,Supply chain,,estimate,Kg per person,Units,11.6
2007,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2009,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,4.7
2011,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2012,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2015,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,4
2017,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,
2018,Food (Kilogrammes per person),Retail,Supply chain,,estimate,Kg per person,Units,4.2
2007,Food (Kilogrammes per person),,Supply chain,,estimate,Kg per person,Units,32.3
