Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2000,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,896.1
2001,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,955.2
2002,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,895.1
2003,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,866.9
2004,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,875.5
2005,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,871.3
2006,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,842.1
2007,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,858.7
2008,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,806.0
2009,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,677.0
2010,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,722.0
2011,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,676.0
2012,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,647.0
2013,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,746.0
2014,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,753.0
2015,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,790.0
2016,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,740.0
2000,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),15.217513131282256
2001,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),16.158882140984222
2002,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),15.077730069720394
2003,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),14.536350938264524
2004,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),14.603739090981882
2005,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),14.42232091277914
2006,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),13.844158278135893
2007,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),14.003793271590743
2008,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),13.037050456296766
2009,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),10.873667895375075
2010,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),11.504234418693585
2011,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),10.681819259193713
2012,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),10.156188682207047
2013,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),11.637030716457353
2014,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),11.656924182002824
2015,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),12.133312855168176
2016,Material footprint per capita (tonnes),,Undefined,Units,Material footprint per capita (tonnes),11.272222653816335
2000,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),596.0457839788003
2001,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),617.004839405629
2002,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),565.0491443144731
2003,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),529.8352431808695
2004,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),522.6831346182204
2005,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),504.14488914656425
2006,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),474.03209300283373
2007,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),471.90627162170995
2008,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),444.1931391448786
2009,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),389.6519492957487
2010,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),407.6053973277571
2011,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),375.8472547860756
2012,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),354.4809237761916
2013,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),400.15984937682884
2014,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),393.65015636223336
2015,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),403.4894173408515
2016,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),370.8384657711085
2000,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,190.9
2001,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,184.5
2002,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,193.0
2003,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,184.6
2004,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,188.9
2005,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,188.5
2006,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,183.6
2007,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,184.9
2008,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,192.4
2009,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,183.5
2010,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,184.0
2011,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,180.2
2012,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,176.2
2013,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,186.8
2014,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,198.7
2015,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,202.6
2016,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,189.6
2000,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,123.1
2001,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,159.2
2002,Material footprint (Million metric tonnes),Metal Ores excluding precious metals,Undefined,Units,Million metric tonnes,121.3
