Year,Occupation minor group,Occupation unit group,Country,Region,Observation status,GeoCode,Value
2004,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,52.4267041982
2005,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,56.2955731783193
2006,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,59.4637572509575
2007,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,59.3779341909512
2008,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,60.4783545073892
2009,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,65.3865760058474
2010,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,65.2650653950856
2011,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,69.9848281930933
2012,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,72.8356928801384
2013,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,73.7376456685084
2014,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,76.6447204652023
2015,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,76.4705483028929
2016,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,77.0015208676254
2017,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,84.7967986301198
2018,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,80.9054790695644
2019,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,85.4831279584966
2020,221 Health Professionals (not including Veterinarians),,,,Normal Value,K02000001,91.4115563228905
2004,222 Therapy Professionals,,,,Normal Value,K02000001,17.9815421971416
2005,222 Therapy Professionals,,,,Normal Value,K02000001,18.1251551397411
2006,222 Therapy Professionals,,,,Normal Value,K02000001,19.2677698363622
2007,222 Therapy Professionals,,,,Normal Value,K02000001,18.2814238473102
2008,222 Therapy Professionals,,,,Normal Value,K02000001,19.4261844780354
2009,222 Therapy Professionals,,,,Normal Value,K02000001,19.8681391597232
2010,222 Therapy Professionals,,,,Normal Value,K02000001,21.4310334366187
2011,222 Therapy Professionals,,,,Normal Value,K02000001,20.0362976177111
2012,222 Therapy Professionals,,,,Normal Value,K02000001,20.7204988365911
2013,222 Therapy Professionals,,,,Normal Value,K02000001,21.7297525737745
2014,222 Therapy Professionals,,,,Normal Value,K02000001,22.2302198723552
2015,222 Therapy Professionals,,,,Normal Value,K02000001,20.7341313936343
2016,222 Therapy Professionals,,,,Normal Value,K02000001,21.2192123775672
2017,222 Therapy Professionals,,,,Normal Value,K02000001,25.1816207360517
2018,222 Therapy Professionals,,,,Normal Value,K02000001,28.5690417254015
2019,222 Therapy Professionals,,,,Normal Value,K02000001,30.4056449883899
2020,222 Therapy Professionals,,,,Normal Value,K02000001,33.0792960666168
2004,223 Nursing and Midwifery Professionals,,,,Normal Value,K02000001,91.8259645596147
2005,223 Nursing and Midwifery Professionals,,,,Normal Value,K02000001,93.8204377461669
2006,223 Nursing and Midwifery Professionals,,,,Normal Value,K02000001,94.5468808267228
2007,223 Nursing and Midwifery Professionals,,,,Normal Value,K02000001,97.1638923124656
2008,223 Nursing and Midwifery Professionals,,,,Normal Value,K02000001,93.8473957881444
2009,223 Nursing and Midwifery Professionals,,,,Normal Value,K02000001,92.7875828017147
