Year,Age,Sex,Nationality,Unit measure,Unit multiplier,Observation status,Value
2009,,Female,,Percentage (%),Units,Undefined,18.8762479684
2009,15 to 17,Female,,Percentage (%),Units,Undefined,21.052631578947366
2009,18 to 20,Female,,Percentage (%),Units,Undefined,25.340599455040874
2009,21 to 24,Female,,Percentage (%),Units,Undefined,20.81967213114754
2009,25 to 29,Female,,Percentage (%),Units,Undefined,19.50354609929078
2009,30 to 39,Female,,Percentage (%),Units,Undefined,19.036334913112167
2009,40 to 49,Female,,Percentage (%),Units,Undefined,16.584766584766587
2009,50 to 59,Female,,Percentage (%),Units,Undefined,12.23021582733813
2009,60 and over,Female,,Percentage (%),Units,Undefined,8.695652173913043
2010,,Female,,Percentage (%),Units,Undefined,18.420435903445043
2010,15 to 17,Female,,Percentage (%),Units,Undefined,17.857142857142858
2010,18 to 20,Female,,Percentage (%),Units,Undefined,22.78820375335121
2010,21 to 24,Female,,Percentage (%),Units,Undefined,21.900161030595815
2010,25 to 29,Female,,Percentage (%),Units,Undefined,17.761557177615572
2010,30 to 39,Female,,Percentage (%),Units,Undefined,17.91530944625407
2010,40 to 49,Female,,Percentage (%),Units,Undefined,17.861482381530987
2010,50 to 59,Female,,Percentage (%),Units,Undefined,12.944983818770226
2010,60 and over,Female,,Percentage (%),Units,Undefined,11.11111111111111
2011,,Female,,Percentage (%),Units,Undefined,17.8494623655914
2011,15 to 17,Female,,Percentage (%),Units,Undefined,30.434782608695656
2011,18 to 20,Female,,Percentage (%),Units,Undefined,23.14540059347181
2011,21 to 24,Female,,Percentage (%),Units,Undefined,18.374558303886925
2011,25 to 29,Female,,Percentage (%),Units,Undefined,18.341708542713565
2011,30 to 39,Female,,Percentage (%),Units,Undefined,17.535545023696685
2011,40 to 49,Female,,Percentage (%),Units,Undefined,16.50602409638554
2011,50 to 59,Female,,Percentage (%),Units,Undefined,14.473684210526317
2011,60 and over,Female,,Percentage (%),Units,Undefined,14.285714285714285
2012,,Female,,Percentage (%),Units,Undefined,15.352898374969682
2012,15 to 17,Female,,Percentage (%),Units,Undefined,33.33333333333333
2012,18 to 20,Female,,Percentage (%),Units,Undefined,20.557491289198605
2012,21 to 24,Female,,Percentage (%),Units,Undefined,15.77981651376147
2012,25 to 29,Female,,Percentage (%),Units,Undefined,13.598901098901099
2012,30 to 39,Female,,Percentage (%),Units,Undefined,15.590551181102363
2012,40 to 49,Female,,Percentage (%),Units,Undefined,15.402843601895736
2012,50 to 59,Female,,Percentage (%),Units,Undefined,13.256484149855908
2012,60 and over,Female,,Percentage (%),Units,Undefined,8.974358974358974
2013,,Female,,Percentage (%),Units,Undefined,15.598235141448221
2013,15 to 17,Female,,Percentage (%),Units,Undefined,0.0
2013,18 to 20,Female,,Percentage (%),Units,Undefined,22.872340425531913
2013,21 to 24,Female,,Percentage (%),Units,Undefined,15.835140997830802
2013,25 to 29,Female,,Percentage (%),Units,Undefined,18.507462686567163
2013,30 to 39,Female,,Percentage (%),Units,Undefined,15.342250196695515
2013,40 to 49,Female,,Percentage (%),Units,Undefined,14.251781472684085
2013,50 to 59,Female,,Percentage (%),Units,Undefined,11.890243902439025
2013,60 and over,Female,,Percentage (%),Units,Undefined,8.235294117647058
2014,,Female,,Percentage (%),Units,Undefined,17.663527615169254
2014,15 to 17,Female,,Percentage (%),Units,Undefined,0.0
2014,18 to 20,Female,,Percentage (%),Units,Undefined,26.785714285714285
2014,21 to 24,Female,,Percentage (%),Units,Undefined,20.575221238938052
2014,25 to 29,Female,,Percentage (%),Units,Undefined,18.023255813953487
2014,30 to 39,Female,,Percentage (%),Units,Undefined,18.361375274323336
2014,40 to 49,Female,,Percentage (%),Units,Undefined,16.768665850673194
2014,50 to 59,Female,,Percentage (%),Units,Undefined,9.67741935483871
2014,60 and over,Female,,Percentage (%),Units,Undefined,11.458333333333332
2015,,Female,,Percentage (%),Units,Undefined,16.03483606557377
2015,15 to 17,Female,,Percentage (%),Units,Undefined,0.0
2015,18 to 20,Female,,Percentage (%),Units,Undefined,22.807017543859647
2015,21 to 24,Female,,Percentage (%),Units,Undefined,19.672131147540984
2015,25 to 29,Female,,Percentage (%),Units,Undefined,17.655571635311144
2015,30 to 39,Female,,Percentage (%),Units,Undefined,15.609044493070751
2015,40 to 49,Female,,Percentage (%),Units,Undefined,15.834348355663824
2015,50 to 59,Female,,Percentage (%),Units,Undefined,10.471204188481675
2015,60 and over,Female,,Percentage (%),Units,Undefined,8.823529411764707
