Year,Country,Region,Sex,Sector,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012,,,,,Undefined,Units,Percentage (%),,0.384630854713
2012,,,Male,,Undefined,Units,Percentage (%),,0.267513791535719
2012,,,Female,,Undefined,Units,Percentage (%),,0.518748198612496
2012,,,,Agriculture,Undefined,Units,Percentage (%),,3.52675626951207
2012,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.34750472350809
2012,,,Male,Agriculture,Undefined,Units,Percentage (%),,1.68442108939656
2012,,,Female,Agriculture,Undefined,Units,Percentage (%),,8.73187633859989
2012,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.24424558980741
2012,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.464608971855293
2012,England,,,,Undefined,Units,Percentage (%),E92000001,0.390183379167676
2012,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.370705463343546
2012,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.318845920631068
2012,Wales,,,,Undefined,Units,Percentage (%),W92000004,0.411969875033537
2012,,North East,,,Undefined,Units,Percentage (%),E12000001,0.239490436649809
2012,,North West,,,Undefined,Units,Percentage (%),E12000002,0.340245610238213
2012,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.32840048178387
2012,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.417919612184245
2012,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.287266239947107
2012,,East,,,Undefined,Units,Percentage (%),E12000007,0.534042415312261
2012,,London,,,Undefined,Units,Percentage (%),E12000007,0.270919308149012
2012,,South East,,,Undefined,Units,Percentage (%),E12000008,0.513055871029756
2012,,South West,,,Undefined,Units,Percentage (%),E12000009,0.474277272741807
2012,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.264802936891535
2012,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.535041964290009
2012,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.485531171101185
2012,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.264859085157101
2012,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.251262957822211
2012,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.391860514206105
2012,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.481103946300733
2012,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.350114986639784
2012,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.36474058244636
2012,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,2.94463784575628
2012,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.205297549252244
2012,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,4.97461181838252
2012,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.237510156276476
2012,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,4.77149321266968
2012,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.311396959000815
2012,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,5.28815587718314
2012,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.213791997784652
2012,,North East,,Agriculture,Undefined,Units,Percentage (%),E12000001,3.47477064220183
2012,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.328279010630794
2012,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.288089184180303
2012,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,3.52193995381062
2012,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.346952895583356
2012,,East Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000004,4.784618119334
2012,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.274560904738837
2012,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,1.22740595994138
2012,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.493933900032736
2012,,East,,Agriculture,Undefined,Units,Percentage (%),E12000007,4.04909130857842
2012,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.271069523742333
2012,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.487831002449121
2012,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,3.35452455025024
2012,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.449639958373303
2012,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,1.8244674919148
2013,,,,,Undefined,Units,Percentage (%),,0.403320462838702
2013,,,Male,,Undefined,Units,Percentage (%),,0.327901636601523
2013,,,Female,,Undefined,Units,Percentage (%),,0.489237524720862
2013,,,,Agriculture,Undefined,Units,Percentage (%),,4.18945261695428
2013,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.361132909882119
2013,,,Male,Agriculture,Undefined,Units,Percentage (%),,1.92703281265679
2013,,,Female,Agriculture,Undefined,Units,Percentage (%),,10.366793383335
