Year,Series,Units,Decent homes criteria,Sub-national area,Region,Urbanisation sub-category,Age of oldest person,Age of youngest person,Deprivation decile,Disability status (household),Ethnicity of household reference person (hrp),Household composition,Income quintile (household),Length of residence,Poverty status,Workless households,Observation status,GeoCode,Value
2020,Dwellings (%),Percentage (%),,,,,,,,,,,,,,,Normal value,,15.0
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,,,,,,,,,,,,,Normal value,,9.2
2020,Dwellings (%),Percentage (%),,,East,,,,,,,,,,,,Normal value,E12000006,13.4
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,East,,,,,,,,,,,,Normal value,E12000006,7.5
2020,Dwellings (%),Percentage (%),,,East Midlands,,,,,,,,,,,,Normal value,E12000004,18.5
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,East Midlands,,,,,,,,,,,,Normal value,E12000004,12.9
2020,Dwellings (%),Percentage (%),,,London,,,,,,,,,,,,Normal value,E12000007,12.0
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,London,,,,,,,,,,,,Normal value,E12000007,5.3
2020,Dwellings (%),Percentage (%),,,North East,,,,,,,,,,,,Normal value,E12000001,13.4
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,North East,,,,,,,,,,,,Normal value,E12000001,7.7
2020,Dwellings (%),Percentage (%),,,North West,,,,,,,,,,,,Normal value,E12000002,17.0
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,North West,,,,,,,,,,,,Normal value,E12000002,12.3
2020,Dwellings (%),Percentage (%),,,South East,,,,,,,,,,,,Normal value,E12000008,9.5
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,South East,,,,,,,,,,,,Normal value,E12000008,4.6
2020,Dwellings (%),Percentage (%),,,South West,,,,,,,,,,,,Normal value,E12000009,19.4
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,South West,,,,,,,,,,,,Normal value,E12000009,11.5
2020,Dwellings (%),Percentage (%),,,West Midlands,,,,,,,,,,,,Normal value,E12000005,15.3
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,West Midlands,,,,,,,,,,,,Normal value,E12000005,9.6
2020,Dwellings (%),Percentage (%),,,Yorkshire and The Humber,,,,,,,,,,,,Normal value,E12000003,20.5
2020,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,Yorkshire and The Humber,,,,,,,,,,,,Normal value,E12000003,14.7
2008,Dwellings (%),Percentage (%),,,,City centre,,,,,,,,,,,Normal value,,45.9
2008,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,,City centre,,,,,,,,,,,Normal value,,28.5
2008,Dwellings (%),Percentage (%),Repair,,,City centre,,,,,,,,,,,Normal value,,11.9
2008,Dwellings (%),Percentage (%),Modern facilities and services,,,City centre,,,,,,,,,,,Normal value,,10.1
2008,Dwellings (%),Percentage (%),Thermal comfort,,,City centre,,,,,,,,,,,Normal value,,19.3
2008,Dwellings (%),Percentage (%),,,,Other urban centre,,,,,,,,,,,Normal value,,37.5
2008,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,,Other urban centre,,,,,,,,,,,Normal value,,22.9
2008,Dwellings (%),Percentage (%),Repair,,,Other urban centre,,,,,,,,,,,Normal value,,8.5
2008,Dwellings (%),Percentage (%),Modern facilities and services,,,Other urban centre,,,,,,,,,,,Normal value,,4.6
2008,Dwellings (%),Percentage (%),Thermal comfort,,,Other urban centre,,,,,,,,,,,Normal value,,14.2
2008,Dwellings (%),Percentage (%),,,,Suburban residential,,,,,,,,,,,Normal value,,28.6
2008,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,,Suburban residential,,,,,,,,,,,Normal value,,17.6
2008,Dwellings (%),Percentage (%),Repair,,,Suburban residential,,,,,,,,,,,Normal value,,5.3
2008,Dwellings (%),Percentage (%),Modern facilities and services,,,Suburban residential,,,,,,,,,,,Normal value,,2.6
2008,Dwellings (%),Percentage (%),Thermal comfort,,,Suburban residential,,,,,,,,,,,Normal value,,10.9
2008,Dwellings (%),Percentage (%),,,,Rural residential,,,,,,,,,,,Normal value,,33.5
2008,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,,Rural residential,,,,,,,,,,,Normal value,,25.6
2008,Dwellings (%),Percentage (%),Repair,,,Rural residential,,,,,,,,,,,Normal value,,4.6
2008,Dwellings (%),Percentage (%),Modern facilities and services,,,Rural residential,,,,,,,,,,,Normal value,,2.2
2008,Dwellings (%),Percentage (%),Thermal comfort,,,Rural residential,,,,,,,,,,,Normal value,,12.6
2008,Dwellings (%),Percentage (%),,,,Village centre,,,,,,,,,,,Normal value,,47.4
2008,Dwellings (%),Percentage (%),Minimum Standard (HHSRS),,,Village centre,,,,,,,,,,,Normal value,,38.5
2008,Dwellings (%),Percentage (%),Repair,,,Village centre,,,,,,,,,,,Normal value,,9.1
2008,Dwellings (%),Percentage (%),Modern facilities and services,,,Village centre,,,,,,,,,,,Normal value,,4.4
2008,Dwellings (%),Percentage (%),Thermal comfort,,,Village centre,,,,,,,,,,,Normal value,,20.5
