Year,Flow of Official Development Assistance (ODA),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,Agriculture (311),Agrarian reform (31164),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural alternative development (31165),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural co-operatives (31194),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural development (31120),Undefined,Thousands,GBP (£),22278.18
2009,Bilateral,Agriculture (311),Agricultural education/training (31181),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural extension (31166),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural financial services (31193),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural inputs (31150),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Agricultural land resources (31130),Undefined,Thousands,GBP (£),6453.61
2009,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),Undefined,Thousands,GBP (£),27890.98
2009,Bilateral,Agriculture (311),Agricultural research (31182),Undefined,Thousands,GBP (£),8242.8
2009,Bilateral,Agriculture (311),Agricultural services (31191),Undefined,Thousands,GBP (£),95.52
2009,Bilateral,Agriculture (311),Agricultural water resources (31140),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Food crop production (31161),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Industrial crops/export crops (31162),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),Livestock (31163),Undefined,Thousands,GBP (£),1103.56
2009,Bilateral,Agriculture (311),Livestock/veterinary services (31195),Undefined,Thousands,GBP (£),2115.56
2009,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Agriculture (311),,Undefined,Thousands,GBP (£),68180.2099999999
2009,Bilateral,Other multisector (430),Rural development (43040),Undefined,Thousands,GBP (£),92111.27
2009,Bilateral,Other multisector (430),,Undefined,Thousands,GBP (£),92111.27
2009,Bilateral,,,Undefined,Thousands,GBP (£),160291.48
2010,Bilateral,Agriculture (311),Agrarian reform (31164),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural alternative development (31165),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural co-operatives (31194),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural development (31120),Undefined,Thousands,GBP (£),17041.622343
2010,Bilateral,Agriculture (311),Agricultural education/training (31181),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural extension (31166),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural financial services (31193),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural inputs (31150),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Agricultural land resources (31130),Undefined,Thousands,GBP (£),7097.77187999999
2010,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),Undefined,Thousands,GBP (£),31739.324848
2010,Bilateral,Agriculture (311),Agricultural research (31182),Undefined,Thousands,GBP (£),12934.00357
2010,Bilateral,Agriculture (311),Agricultural services (31191),Undefined,Thousands,GBP (£),323.8047
2010,Bilateral,Agriculture (311),Agricultural water resources (31140),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Food crop production (31161),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Industrial crops/export crops (31162),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Livestock (31163),Undefined,Thousands,GBP (£),861.622519999999
2010,Bilateral,Agriculture (311),Livestock/veterinary services (31195),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Agriculture (311),,Undefined,Thousands,GBP (£),69998.149861
2010,Bilateral,Other multisector (430),Rural development (43040),Undefined,Thousands,GBP (£),95971.12055999991
