Year,Series,Region,Local Authority,County,Observation status,Units,Unit multiplier,GeoCode,Value
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),England,,,Undefined,Percentage (%),Units,,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Knowsley,,Undefined,Percentage (%),Units,E08000011,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Liverpool,,Undefined,Percentage (%),Units,E08000012,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,St. Helens,,Undefined,Percentage (%),Units,E08000013,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Sefton,,Undefined,Percentage (%),Units,E08000014,4.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Wirral,,Undefined,Percentage (%),Units,E08000015,4.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Barnsley,,Undefined,Percentage (%),Units,E08000016,5.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Doncaster,,Undefined,Percentage (%),Units,E08000017,5.6
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Rotherham,,Undefined,Percentage (%),Units,E08000018,5.7
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Sheffield,,Undefined,Percentage (%),Units,E08000019,5.5
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Newcastle upon Tyne,,Undefined,Percentage (%),Units,E08000021,4.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,North Tyneside,,Undefined,Percentage (%),Units,E08000022,4.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,South Tyneside,,Undefined,Percentage (%),Units,E08000023,5.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North East,Sunderland,,Undefined,Percentage (%),Units,E08000024,5.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),North West,Wigan,,Undefined,Percentage (%),Units,E08000010,5.2
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Birmingham,,Undefined,Percentage (%),Units,E08000025,6.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Dudley,,Undefined,Percentage (%),Units,E08000027,5.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Sandwell,,Undefined,Percentage (%),Units,E08000028,6.9
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Solihull,,Undefined,Percentage (%),Units,E08000029,6.0
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Walsall,,Undefined,Percentage (%),Units,E08000030,6.4
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),West Midlands,Wolverhampton,,Undefined,Percentage (%),Units,E08000031,5.8
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Bradford,,Undefined,Percentage (%),Units,E08000032,5.3
2010,all-cause adult mortality attributable to ambient anthropogenic particulate air pollution (PM2.5),Yorkshire and The Humber,Calderdale,,Undefined,Percentage (%),Units,E08000033,5.0
