Year,Series,Age,Sex,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2004/05,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,12.8
2004/05,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.95
2004/05,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.91
2004/05,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,1.12
2004/05,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,2.31
2004/05,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.28
2004/05,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.78
2005/06,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,11.87
2005/06,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,2.49
2005/06,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,4.42
2005/06,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,1.1
2005/06,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,4.28
2005/06,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.3
2005/06,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.75
2006/07,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,11.53
2006/07,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,3.19
2006/07,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,3.61
2006/07,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,1
