Year,Country,Region,Age,Country of Birth,Units,FGM Type,GeoCode,Value
2015,,,,,"Newly recorded cases per 1,000,000 population",,,205.42535495799999
2015,England,,Under 1,,"Newly recorded cases per 1,000,000 population",,E92000001,728.122250177
2015,England,,1 to 4,,"Newly recorded cases per 1,000,000 population",,E92000001,252.30403153700001
2015,England,,5 to 9,,"Newly recorded cases per 1,000,000 population",,E92000001,355.190356399
2015,England,,10 to 14,,"Newly recorded cases per 1,000,000 population",,E92000001,90.78138885969999
2015,England,,15 to 17,,"Newly recorded cases per 1,000,000 population",,E92000001,14.161050357799999
2015,England,,18 and over,,"Newly recorded cases per 1,000,000 population",,E92000001,2.17577329023
2015,England,,Not recorded,,"Newly recorded cases per 1,000,000 population",,E92000001,120.545990475
2015,England,,Not stated or unknown,,"Newly recorded cases per 1,000,000 population",,E92000001,36.1710025215
2016,,,,,"Newly recorded cases per 1,000,000 population",,E92000001,192.76188593700002
2016,England,,Under 1,,"Newly recorded cases per 1,000,000 population",,E92000001,917.4452677930001
2016,England,,1 to 4,,"Newly recorded cases per 1,000,000 population",,E92000001,263.84204557099997
2016,England,,5 to 9,,"Newly recorded cases per 1,000,000 population",,E92000001,441.831586235
2016,England,,10 to 14,,"Newly recorded cases per 1,000,000 population",,E92000001,115.500192612
2016,England,,15 to 17,,"Newly recorded cases per 1,000,000 population",,E92000001,23.213577068499998
2016,England,,18 and over,,"Newly recorded cases per 1,000,000 population",,E92000001,3.8702684224699997
2016,England,,Not recorded,,"Newly recorded cases per 1,000,000 population",,E92000001,93.0734908355
2016,England,,Not stated or unknown,,"Newly recorded cases per 1,000,000 population",,E92000001,39.8682067928
2017,,,,,"Newly recorded cases per 1,000,000 population",,E92000001,220.161951771
2017,England,,Under 1,,"Newly recorded cases per 1,000,000 population",,E92000001,1193.34740227
2017,England,,1 to 4,,"Newly recorded cases per 1,000,000 population",,E92000001,349.36689459400003
2017,England,,5 to 9,,"Newly recorded cases per 1,000,000 population",,E92000001,492.110415517
2017,England,,10 to 14,,"Newly recorded cases per 1,000,000 population",,E92000001,129.56355221799998
2017,England,,15 to 17,,"Newly recorded cases per 1,000,000 population",,E92000001,22.585446390100003
2017,England,,18 and over,,"Newly recorded cases per 1,000,000 population",,E92000001,12.526360159200001
2017,England,,Not recorded,,"Newly recorded cases per 1,000,000 population",,E92000001,98.6197604787
2017,England,,Not stated or unknown,,"Newly recorded cases per 1,000,000 population",,E92000001,43.7125424825
2015,England,London,Under 1,,Number of newly recorded cases,,E12000007,115.0
2015,England,Midlands and East of England,Under 1,,Number of newly recorded cases,,E92000001,65.0
2015,England,North of England,Under 1,,Number of newly recorded cases,,E92000001,45.0
2015,England,South of England,Under 1,,Number of newly recorded cases,,E92000001,10.0
2015,England,London,1 to 4,,Number of newly recorded cases,,E12000007,220.0
2015,England,Midlands and East of England,1 to 4,,Number of newly recorded cases,,E92000001,60.0
2015,England,North of England,1 to 4,,Number of newly recorded cases,,E92000001,45.0
2015,England,South of England,1 to 4,,Number of newly recorded cases,,E92000001,15.0
2015,England,London,5 to 9,,Number of newly recorded cases,,E12000007,390.0
2015,England,Midlands and East of England,5 to 9,,Number of newly recorded cases,,E92000001,85.0
2015,England,North of England,5 to 9,,Number of newly recorded cases,,E92000001,80.0
2015,England,South of England,5 to 9,,Number of newly recorded cases,,E92000001,30.0
2015,England,London,10 to 14,,Number of newly recorded cases,,E12000007,85.0
2015,England,Midlands and East of England,10 to 14,,Number of newly recorded cases,,E92000001,20.0
2015,England,North of England,10 to 14,,Number of newly recorded cases,,E92000001,20.0
2015,England,South of England,10 to 14,,Number of newly recorded cases,,E92000001,5.0
2015,England,London,15 to 17,,Number of newly recorded cases,,E12000007,5.0
2015,England,Midlands and East of England,15 to 17,,Number of newly recorded cases,,E92000001,0.0
2015,England,North of England,15 to 17,,Number of newly recorded cases,,E92000001,0.0
2015,England,South of England,15 to 17,,Number of newly recorded cases,,E92000001,0.0
2015,England,London,18 and over,,Number of newly recorded cases,,E12000007,30.0
2015,England,Midlands and East of England,18 and over,,Number of newly recorded cases,,E92000001,5.0
2015,England,North of England,18 and over,,Number of newly recorded cases,,E92000001,10.0
2015,England,South of England,18 and over,,Number of newly recorded cases,,E92000001,0.0
2015,England,London,Not stated or unknown,,Number of newly recorded cases,,E12000007,370.0
2015,England,Midlands and East of England,Not stated or unknown,,Number of newly recorded cases,,E92000001,260.0
2015,England,North of England,Not stated or unknown,,Number of newly recorded cases,,E92000001,310.0
2015,England,South of England,Not stated or unknown,,Number of newly recorded cases,,E92000001,65.0
2015,England,London,Not recorded,,Number of newly recorded cases,,E12000007,1725.0
