Year,Units,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
1990,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,28.0701754386
1991,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,24.561403508771896
1992,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,26.315789473684102
1993,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,31.5789473684211
1994,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
1995,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,33.3333333333333
1996,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,36.8421052631579
1997,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
1998,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,42.105263157894704
1999,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807
2000,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,38.5964912280702
2001,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,42.105263157894704
2002,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,47.3684210526316
2003,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,50.8771929824561
2004,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,50.8771929824561
2005,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,49.1228070175439
2006,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,47.3684210526316
2007,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2008,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,50.8771929824561
2009,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,54.385964912280706
2010,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,54.385964912280706
2011,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,54.385964912280706
2012,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,59.6491228070175
2013,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,63.157894736842096
2014,B) State,B) Percentage of fish stocks above MSY Btrigger,Percentage (%),Units,Undefined,59.6491228070175
