Year,Country,Sustainably managed status,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2004,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.11
2005,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.33
2006,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.32
2007,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.39
2008,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.27
2009,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.45
2010,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.44
2011,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.44
2012,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.67
2013,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.72
2014,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.81
2015,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.82
2016,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.81
2017,Wales,Certified,Undefined,Units,Percentage (%),W92000004,7.0
2018,Wales,Certified,Undefined,Units,Percentage (%),W92000004,6.98
2004,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,8.6
2005,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.22
2006,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.3
2007,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.81
2008,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,9.88
2009,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.02
2010,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.17
2011,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.16
2012,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.37
2013,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.32
2014,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.55
2015,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.44
2016,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.35
2017,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.79
2018,Scotland,Certified,Undefined,Units,Percentage (%),S92000003,10.7
2004,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.79
2005,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.67
2006,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.67
2007,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.72
2008,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.74
2009,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.79
2010,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.72
2011,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.67
2012,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.75
2013,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.76
2014,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.77
2015,Northern Ireland,Certified,Undefined,Units,Percentage (%),N92000002,4.79
