Year,Flow of offical development assistance (ODA),Aid sub-category description (DAC 5 code),Aid description (CRS code),Value
2009,Bilateral,,,51782.29
2010,Bilateral,,,79882.84080399998
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),537.1520413834517
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),37322.43368455616
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),180.2783074698719
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",,38039.86403340949
2010,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),469.919589819037
2010,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",12272.87730225402
2010,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2010,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),38.78448436538374
2010,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2010,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),122.9081179349424
2010,Multilateral,"Energy generation, non-renewable sources (233)",,12904.48949437338
2010,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),831.1672143646592
2010,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",7020.225455899454
2010,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),875.5286122774073
2010,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),9794.495753797471
2010,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2010,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),2607.303013730876
2010,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),3224.439654516597
2010,Multilateral,"Energy generation, renewable sources (232)",,24353.15970458646
2010,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2010,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),43980.6225542372
2010,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),712.8480544433041
2010,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2010,Multilateral,"Heating, cooling and energy distribution (236)",,44693.4706086805
2010,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2010,Multilateral,Hybrid energy electric power plants (234),,0.0
2010,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),4805.836757838364
2010,Multilateral,Nuclear energy electric power plants (235),,4805.836757838364
2010,Multilateral,,,124796.8205988882
2010,,,,204679.6614028882
2011,Bilateral,,,147552.134252
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),729.2669062740912
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),28197.15436025345
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),65.77979845916654
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",,28992.20106498671
2011,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),690.4083342954127
2011,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",10028.77855795298
2011,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2011,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),20947.57899941356
2011,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2011,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),71.73662794125237
2011,Multilateral,"Energy generation, non-renewable sources (233)",,31738.5025196032
2011,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1477.290211413839
2011,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",43181.30052459315
2011,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),1891.482119038881
2011,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19894.20669216491
2011,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2011,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),5404.380570821527
2011,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),1227.264415863037
2011,Multilateral,"Energy generation, renewable sources (232)",,73075.92453389535
2011,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2011,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),66440.47332096455
2011,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),1572.931985084819
2011,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2011,Multilateral,"Heating, cooling and energy distribution (236)",,68013.40530604938
2011,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2011,Multilateral,Hybrid energy electric power plants (234),,0.0
2011,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2483.237184118061
2011,Multilateral,Nuclear energy electric power plants (235),,2483.237184118061
2011,Multilateral,,,204303.2706086527
2011,,,,351855.4048606528
2012,Bilateral,,,284465.041998
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),270.6359933089377
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),35435.49294034489
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),139.9065396411557
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",,35846.03547329499
2012,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),376.792794264938
2012,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",67047.27693706697
2012,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2012,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),2123.960598130971
2012,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2012,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.0
2012,Multilateral,"Energy generation, non-renewable sources (233)",,69548.03032946288
2012,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1168.284574505609
2012,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",6900.90824201004
2012,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),1466.331752602838
2012,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),8918.915421864212
2012,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2012,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),1687.691675539438
2012,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),263.9127157682075
2012,Multilateral,"Energy generation, renewable sources (232)",,20406.04438229035
2012,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2012,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),58785.0288511726
2012,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),1803.714474713208
2012,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2012,Multilateral,"Heating, cooling and energy distribution (236)",,60588.74332588581
2012,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2012,Multilateral,Hybrid energy electric power plants (234),,0.0
2012,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2016.829209852809
2012,Multilateral,Nuclear energy electric power plants (235),,2016.829209852809
2012,Multilateral,,,188405.6827207868
2012,,,,472870.7247187868
2013,Bilateral,,,137754.39949
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),582.555107914648
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),59800.30801708752
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),25.25703735029007
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",,60408.12016235245
2013,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),103.4118967677132
2013,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",43604.48415781883
2013,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2013,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),1028.486438673815
2013,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2013,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),34.30722446726232
2013,Multilateral,"Energy generation, non-renewable sources (233)",,44770.68971772762
2013,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1226.279140956165
2013,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",17570.59362210313
2013,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),7802.67716706571
2013,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),18978.36674090875
2013,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2013,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),146538.0868413612
2013,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),7791.820511491977
2013,Multilateral,"Energy generation, renewable sources (232)",,199907.8240238869
2013,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2013,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),99100.62592581235
2013,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),650.3978886730622
2013,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2013,Multilateral,"Heating, cooling and energy distribution (236)",,99751.02381448541
2013,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2013,Multilateral,Hybrid energy electric power plants (234),,0.0
2013,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),4222.301716391244
2013,Multilateral,Nuclear energy electric power plants (235),,4222.301716391244
2013,Multilateral,,,409059.9594348436
2013,,,,546814.3589248436
2014,Bilateral,,,108587.987041
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education/training (23181),2888.158786779143
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),148934.3962310107
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),36.97017129776632
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",,151859.5251890876
2014,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),76.90100240630645
2014,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources, unspecified (23310)",32214.89578647586
2014,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0.0
2014,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7210.611536293402
2014,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0.0
2014,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),833.3842840326673
2014,Multilateral,"Energy generation, non-renewable sources (233)",,40335.79260920823
2014,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),707.9552015566696
2014,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources - multiple technologies (23210)",12943.23324963703
2014,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),8209.604771028859
2014,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),20647.10116390762
2014,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0.0
2014,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),116131.4144137128
2014,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),1862.08363789688
2014,Multilateral,"Energy generation, renewable sources (232)",,160501.3924377398
2014,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0.0
2014,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),102150.58337526
2014,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),2980.08344762828
2014,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0.0
2014,Multilateral,"Heating, cooling and energy distribution (236)",,105130.6668228883
2014,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0.0
2014,Multilateral,Hybrid energy electric power plants (234),,0.0
2014,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2815.263660783612
2014,Multilateral,Nuclear energy electric power plants (235),,2815.263660783612
2014,Multilateral,,,460642.6407197076
2014,,,,569230.6277607075
2015,Bilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0.0
