Year,Cause of death,Region of Origin,Age,Sex,Observation status,Unit multiplier,Units,Value
2014,,,,,Normal value,Units,Number,17.0
2015,,,,,Normal value,Units,Number,31.0
2016,,,,,Normal value,Units,Number,22.0
2017,,,,,Normal value,Units,Number,8.0
2018,,,,,Normal value,Units,Number,11.0
2019,,,,,Normal value,Units,Number,50.0
2020,,,,,Normal value,Units,Number,13.0
2021,,,,,Normal value,Units,Number,45.0
2014,,,,Female,Normal value,Units,Number,1.0
2015,,,,Female,Normal value,Units,Number,4.0
2016,,,,Female,Normal value,Units,Number,1.0
2017,,,,Female,Normal value,Units,Number,0.0
2018,,,,Female,Normal value,Units,Number,0.0
2019,,,,Female,Normal value,Units,Number,9.0
2020,,,,Female,Normal value,Units,Number,2.0
2021,,,,Female,Normal value,Units,Number,6.0
2014,,,,Male,Normal value,Units,Number,14.0
2015,,,,Male,Normal value,Units,Number,26.0
2016,,,,Male,Normal value,Units,Number,20.0
2017,,,,Male,Normal value,Units,Number,8.0
2018,,,,Male,Normal value,Units,Number,11.0
2019,,,,Male,Normal value,Units,Number,40.0
2020,,,,Male,Normal value,Units,Number,10.0
2021,,,,Male,Normal value,Units,Number,27.0
2014,,,Under 18,,Normal value,Units,Number,4.0
2015,,,Under 18,,Normal value,Units,Number,5.0
2016,,,Under 18,,Normal value,Units,Number,6.0
2017,,,Under 18,,Normal value,Units,Number,4.0
2018,,,Under 18,,Normal value,Units,Number,1.0
2019,,,Under 18,,Normal value,Units,Number,5.0
2020,,,Under 18,,Normal value,Units,Number,4.0
2021,,,Under 18,,Normal value,Units,Number,4.0
2014,Drowning,,,,Normal value,Units,Number,2.0
2015,Drowning,,,,Normal value,Units,Number,2.0
2016,Drowning,,,,Normal value,Units,Number,1.0
2017,Drowning,,,,Normal value,Units,Number,0.0
2018,Drowning,,,,Normal value,Units,Number,1.0
2019,Drowning,,,,Normal value,Units,Number,5.0
2020,Drowning,,,,Normal value,Units,Number,9.0
2021,Drowning,,,,Normal value,Units,Number,37.0
2014,Drowning,,,Female,Normal value,Units,Number,0.0
2015,Drowning,,,Female,Normal value,Units,Number,0.0
2016,Drowning,,,Female,Normal value,Units,Number,0.0
2017,Drowning,,,Female,Normal value,Units,Number,0.0
2018,Drowning,,,Female,Normal value,Units,Number,0.0
2019,Drowning,,,Female,Normal value,Units,Number,1.0
2020,Drowning,,,Female,Normal value,Units,Number,2.0
2021,Drowning,,,Female,Normal value,Units,Number,6.0
2014,Drowning,,,Male,Normal value,Units,Number,2.0
2015,Drowning,,,Male,Normal value,Units,Number,2.0
2016,Drowning,,,Male,Normal value,Units,Number,1.0
2017,Drowning,,,Male,Normal value,Units,Number,0.0
2018,Drowning,,,Male,Normal value,Units,Number,1.0
2019,Drowning,,,Male,Normal value,Units,Number,4.0
2020,Drowning,,,Male,Normal value,Units,Number,7.0
2021,Drowning,,,Male,Normal value,Units,Number,20.0
2014,Drowning,,Under 18,,Normal value,Units,Number,0.0
2015,Drowning,,Under 18,,Normal value,Units,Number,1.0
2016,Drowning,,Under 18,,Normal value,Units,Number,0.0
2017,Drowning,,Under 18,,Normal value,Units,Number,0.0
2018,Drowning,,Under 18,,Normal value,Units,Number,0.0
2019,Drowning,,Under 18,,Normal value,Units,Number,1.0
2020,Drowning,,Under 18,,Normal value,Units,Number,3.0
2021,Drowning,,Under 18,,Normal value,Units,Number,2.0
2014,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,0.0
2015,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,1.0
2016,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,1.0
2017,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,0.0
2018,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,0.0
2019,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,0.0
2020,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,1.0
2021,Sickness/lack of acess to adequate healthcare,,,,Normal value,Units,Number,1.0
2014,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2015,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2016,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2017,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2018,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2019,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2020,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2021,Sickness/lack of acess to adequate healthcare,,,Female,Normal value,Units,Number,0.0
2014,Sickness/lack of acess to adequate healthcare,,,Male,Normal value,Units,Number,0.0
