Year,Material category,Observation status,Unit multiplier,Unit measure,Value
2000,,Undefined,Units,1000 metric tonnes,738848.5
2001,,Undefined,Units,1000 metric tonnes,743278.9
2002,,Undefined,Units,1000 metric tonnes,721972.0
2003,,Undefined,Units,1000 metric tonnes,723025.1
2004,,Undefined,Units,1000 metric tonnes,751963.4
2005,,Undefined,Units,1000 metric tonnes,732665.5
2006,,Undefined,Units,1000 metric tonnes,724263.2
2007,,Undefined,Units,1000 metric tonnes,718922.7
2008,,Undefined,Units,1000 metric tonnes,674929.5
2009,,Undefined,Units,1000 metric tonnes,591620.1
2010,,Undefined,Units,1000 metric tonnes,575348.7
2011,,Undefined,Units,1000 metric tonnes,581152.2
2012,,Undefined,Units,1000 metric tonnes,562255.9
2013,,Undefined,Units,1000 metric tonnes,569438.3
2014,,Undefined,Units,1000 metric tonnes,589965.3
2015,,Undefined,Units,1000 metric tonnes,563219.3
2016,,Undefined,Units,1000 metric tonnes,557248.8
2017,,Undefined,Units,1000 metric tonnes,563596.6
2000,Biomass,Undefined,Units,1000 metric tonnes,175263.0
2001,Biomass,Undefined,Units,1000 metric tonnes,168885.8
2002,Biomass,Undefined,Units,1000 metric tonnes,175272.4
2003,Biomass,Undefined,Units,1000 metric tonnes,170633.4
2004,Biomass,Undefined,Units,1000 metric tonnes,173859.9
2005,Biomass,Undefined,Units,1000 metric tonnes,172350.3
2006,Biomass,Undefined,Units,1000 metric tonnes,167647.7
2007,Biomass,Undefined,Units,1000 metric tonnes,161950.6
2008,Biomass,Undefined,Units,1000 metric tonnes,169174.8
2009,Biomass,Undefined,Units,1000 metric tonnes,163601.2
2010,Biomass,Undefined,Units,1000 metric tonnes,160568.2
2011,Biomass,Undefined,Units,1000 metric tonnes,165010.8
2012,Biomass,Undefined,Units,1000 metric tonnes,159181.0
2013,Biomass,Undefined,Units,1000 metric tonnes,169774.2
2014,Biomass,Undefined,Units,1000 metric tonnes,181060.3
2015,Biomass,Undefined,Units,1000 metric tonnes,174629.9
2016,Biomass,Undefined,Units,1000 metric tonnes,168076.6
2017,Biomass,Undefined,Units,1000 metric tonnes,177473.1
2000,Metal ores,Undefined,Units,1000 metric tonnes,16965.5
