Year,Series,Units,Unit multiplier,Observation status,Value,COMMENT_TS
2000,Labour share of GDP,Percentage (%),Units,Normal value,48.7,My Labour Comment
2001,Labour share of GDP,Percentage (%),Units,Normal value,49.7,My Labour Comment
2002,Labour share of GDP,Percentage (%),Units,Normal value,49.1,My Labour Comment
2003,Labour share of GDP,Percentage (%),Units,Normal value,48.8,My Labour Comment
2004,Labour share of GDP,Percentage (%),Units,Normal value,49.5,My Labour Comment
2005,Labour share of GDP,Percentage (%),Units,Normal value,49.4,My Labour Comment
2006,Labour share of GDP,Percentage (%),Units,Normal value,50,My Labour Comment
2007,Labour share of GDP,Percentage (%),Units,Normal value,50.6,My Labour Comment
2008,Labour share of GDP,Percentage (%),Units,Normal value,49.8,My Labour Comment
2009,Labour share of GDP,Percentage (%),Units,Normal value,50.6,My Labour Comment
2010,Labour share of GDP,Percentage (%),Units,Normal value,50.2,My Labour Comment
2011,Labour share of GDP,Percentage (%),Units,Normal value,49.4,My Labour Comment
2012,Labour share of GDP,Percentage (%),Units,Normal value,48.8,My Labour Comment
2013,Labour share of GDP,Percentage (%),Units,Normal value,49,My Labour Comment
2014,Labour share of GDP,Percentage (%),Units,Normal value,48,My Labour Comment
2015,Labour share of GDP,Percentage (%),Units,Normal value,48,My Labour Comment
2016,Labour share of GDP,Percentage (%),Units,Normal value,47.9,My Labour Comment
2017,Labour share of GDP,Percentage (%),Units,Normal value,48,My Labour Comment
2018,Labour share of GDP,Percentage (%),Units,Normal value,48.2,My Labour Comment
2019,Labour share of GDP,Percentage (%),Units,Normal value,48.7,My Labour Comment
2020,Labour share of GDP,Percentage (%),Units,Normal value,52.5,My Labour Comment
