Year,Offence,Unit measure,Unit multiplier,Observation status,Value
2002,,Percentage (%),Units,Undefined,39.4197669153153
2002,Wounding,Percentage (%),Units,Undefined,51.38989338359679
2002,Minor or no injury,Percentage (%),Units,Undefined,34.4285052259796
2002,Domestic violence,Percentage (%),Units,Undefined,47.0663934390319
2002,Acquaintance,Percentage (%),Units,Undefined,33.549636186754796
2002,Stranger,Percentage (%),Units,Undefined,39.677838355672996
2003,,Percentage (%),Units,Undefined,39.977998940774704
2003,Wounding,Percentage (%),Units,Undefined,57.0863881031299
2003,Minor or no injury,Percentage (%),Units,Undefined,33.1639143533191
2003,Domestic violence,Percentage (%),Units,Undefined,40.2533405880012
2003,Acquaintance,Percentage (%),Units,Undefined,39.971905404611704
2003,Stranger,Percentage (%),Units,Undefined,39.930118821494005
2004,,Percentage (%),Units,Undefined,44.8443181516347
2004,Wounding,Percentage (%),Units,Undefined,59.5233030473019
2004,Minor or no injury,Percentage (%),Units,Undefined,39.1437572399265
2004,Domestic violence,Percentage (%),Units,Undefined,39.6366640831293
2004,Acquaintance,Percentage (%),Units,Undefined,43.83864157781179
2004,Stranger,Percentage (%),Units,Undefined,48.3500375051145
2005,,Percentage (%),Units,Undefined,44.6299934175509
2005,Wounding,Percentage (%),Units,Undefined,60.5326502873544
2005,Minor or no injury,Percentage (%),Units,Undefined,38.7465761628195
2005,Domestic violence,Percentage (%),Units,Undefined,41.7765018700846
2005,Acquaintance,Percentage (%),Units,Undefined,45.9677821875286
2005,Stranger,Percentage (%),Units,Undefined,44.5313341647941
2006,,Percentage (%),Units,Undefined,42.559626112427395
2006,Wounding,Percentage (%),Units,Undefined,58.199228074092396
2006,Minor or no injury,Percentage (%),Units,Undefined,36.807387521044795
2006,Domestic violence,Percentage (%),Units,Undefined,44.2817544349082
2006,Acquaintance,Percentage (%),Units,Undefined,47.407224933699894
2006,Stranger,Percentage (%),Units,Undefined,36.7884187333585
2007,,Percentage (%),Units,Undefined,42.474455271160394
2007,Wounding,Percentage (%),Units,Undefined,59.3502982175645
2007,Minor or no injury,Percentage (%),Units,Undefined,36.7494928859212
2007,Domestic violence,Percentage (%),Units,Undefined,39.7930786066224
2007,Acquaintance,Percentage (%),Units,Undefined,47.8374872893301
2007,Stranger,Percentage (%),Units,Undefined,38.246274135606704
2008,,Percentage (%),Units,Undefined,42.33833700497821
2008,Wounding,Percentage (%),Units,Undefined,62.242914552402404
2008,Minor or no injury,Percentage (%),Units,Undefined,35.600797184476
2008,Domestic violence,Percentage (%),Units,Undefined,47.5056443346828
2008,Acquaintance,Percentage (%),Units,Undefined,39.041487646715396
2008,Stranger,Percentage (%),Units,Undefined,43.2874595274501
2009,,Percentage (%),Units,Undefined,45.1086560267161
2009,Wounding,Percentage (%),Units,Undefined,58.108500445641006
2009,Minor or no injury,Percentage (%),Units,Undefined,39.883316739695104
2009,Domestic violence,Percentage (%),Units,Undefined,41.165435732431504
2009,Acquaintance,Percentage (%),Units,Undefined,44.8140887273361
2009,Stranger,Percentage (%),Units,Undefined,46.8125519477557
2010,,Percentage (%),Units,Undefined,40.3765276232528
2010,Wounding,Percentage (%),Units,Undefined,56.580105406589205
2010,Minor or no injury,Percentage (%),Units,Undefined,34.5383350325452
2010,Domestic violence,Percentage (%),Units,Undefined,38.632625822264295
2010,Acquaintance,Percentage (%),Units,Undefined,40.641456972603
2010,Stranger,Percentage (%),Units,Undefined,40.954363137397706
2011,,Percentage (%),Units,Undefined,42.170467810815
2011,Wounding,Percentage (%),Units,Undefined,64.8199309054345
2011,Minor or no injury,Percentage (%),Units,Undefined,33.5428168448533
2011,Domestic violence,Percentage (%),Units,Undefined,38.565340029901
2011,Acquaintance,Percentage (%),Units,Undefined,46.2043511645251
2011,Stranger,Percentage (%),Units,Undefined,39.3956876818355
2012,,Percentage (%),Units,Undefined,44.0664718309132
2012,Wounding,Percentage (%),Units,Undefined,55.7520424826973
2012,Minor or no injury,Percentage (%),Units,Undefined,39.4908535727171
2012,Domestic violence,Percentage (%),Units,Undefined,50.8054574118326
2012,Acquaintance,Percentage (%),Units,Undefined,44.9778864067296
2012,Stranger,Percentage (%),Units,Undefined,38.659868861835704
2013,,Percentage (%),Units,Undefined,49.5891213962917
2013,Wounding,Percentage (%),Units,Undefined,58.6932322902423
2013,Minor or no injury,Percentage (%),Units,Undefined,46.8079176999455
2013,Domestic violence,Percentage (%),Units,Undefined,51.6772646768069
2013,Acquaintance,Percentage (%),Units,Undefined,50.5232014433266
2013,Stranger,Percentage (%),Units,Undefined,48.0152722109834
2014,,Percentage (%),Units,Undefined,49.4098179711448
2014,Wounding,Percentage (%),Units,Undefined,64.9190690310681
2014,Minor or no injury,Percentage (%),Units,Undefined,44.3988644377383
2014,Domestic violence,Percentage (%),Units,Undefined,46.8473773838405
2014,Acquaintance,Percentage (%),Units,Undefined,47.2090144380033
2014,Stranger,Percentage (%),Units,Undefined,51.6790453585979
2015,,Percentage (%),Units,Undefined,52.0224450052281
2015,Wounding,Percentage (%),Units,Undefined,65.2902664195868
2015,Minor or no injury,Percentage (%),Units,Undefined,47.7556639753763
2015,Domestic violence,Percentage (%),Units,Undefined,50.3387019009914
2015,Acquaintance,Percentage (%),Units,Undefined,48.2947205086244
2015,Stranger,Percentage (%),Units,Undefined,57.3125602403385
2016,,Percentage (%),Units,Undefined,43.0075111681535
2016,Wounding,Percentage (%),Units,Undefined,51.416464197545004
2016,Minor or no injury,Percentage (%),Units,Undefined,40.3311675941318
2016,Domestic violence,Percentage (%),Units,Undefined,41.9964773737745
2016,Acquaintance,Percentage (%),Units,Undefined,43.659031360647106
2016,Stranger,Percentage (%),Units,Undefined,42.725332733670996
