Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),8510.87
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),9102.38467
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),17771.05881
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),5009.0
2013,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),16159.44993
2014,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),3915.01708
2015,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),9854.07558
2016,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),7802.40412
2017,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),9272.1309335
2018,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),14436.5820765
2019,Value of all resources made available to strengthen statistical capacity in developing countries,LDCs,Normal value,Thousands,GBP (£ thousands),5026.7495275
2009,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),294.22
2010,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),148.93903
2011,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),2872.303855
2012,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),2707.471005
2013,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),3180.70377
2014,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),349.85536
2015,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),2413.224
2017,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),1801.957964
2018,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),104.7352
2019,Value of all resources made available to strengthen statistical capacity in developing countries,LMICs,Normal value,Thousands,GBP (£ thousands),372.629814
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),2261.54
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),2409.03758
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),477.38185
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),2565.0
2013,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),1650.0
2014,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),2600.0
2015,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),2000.0
2019,Value of all resources made available to strengthen statistical capacity in developing countries,Other LICs,Normal value,Thousands,GBP (£ thousands),27.0572832
2011,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (£ thousands),176.47173
2012,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (£ thousands),41.05676
2014,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (£ thousands),38.514
2015,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (£ thousands),3.655
2016,Value of all resources made available to strengthen statistical capacity in developing countries,UMICs,Normal value,Thousands,GBP (£ thousands),4.61055
2009,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),11910.69
2010,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),22496.99587
2011,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),27506.20983
2012,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),13736.0
2013,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),25023.732
2014,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),5990.6
2015,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),13537.35
2016,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),17016.01378
2017,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),13592.67012
2018,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),12101.454922
2019,Value of all resources made available to strengthen statistical capacity in developing countries,Unspecified,Normal value,Thousands,GBP (£ thousands),12962.215837
2009,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),22977.32
2010,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),34157.35715
2011,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),48803.426075
2012,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),24058.527765
2013,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),46013.8857
2014,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),12893.98644
2015,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),27808.30458
2016,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),24823.02845
2017,Value of all resources made available to strengthen statistical capacity in developing countries,,Normal value,Thousands,GBP (£ thousands),24666.7590175
