Year,Death classification,Country of Birth,Age,IMD quintile,Ethnicity,GeoCode,Value
2003-05,,,,,,,13.95
2004-06,,,,,,,12.56
2005-07,,,,,,,11.66
2006-08,,,,,,,11.39
2007-09,,,,,,,10.89
2008-10,,,,,,,11.03
2009-11,,,,,,,10.63
2010-12,,,,,,,10.12
2011-13,,,,,,,9.02
2012-14,,,,,,,8.54
2013-15,,,,,,,8.76
2014-16,,,,,,,9.78
2003-05,Direct,,,,,,6.76
2004-06,Direct,,,,,,5.73
2005-07,Direct,,,,,,5.4
2006-08,Direct,,,,,,5.24
2007-09,Direct,,,,,,4.8
2008-10,Direct,,,,,,4.18
2009-11,Direct,,,,,,3.78
2010-12,Direct,,,,,,3.71
2011-13,Direct,,,,,,3.5
2012-14,Direct,,,,,,3.46
2013-15,Direct,,,,,,3.82
2014-16,Direct,,,,,,4.26
2003-05,Indirect,,,,,,7.19
2004-06,Indirect,,,,,,6.83
2005-07,Indirect,,,,,,6.26
2006-08,Indirect,,,,,,6.15
2007-09,Indirect,,,,,,6.09
2008-10,Indirect,,,,,,6.85
2009-11,Indirect,,,,,,6.85
2010-12,Indirect,,,,,,6.41
2011-13,Indirect,,,,,,5.52
2012-14,Indirect,,,,,,5.08
2013-15,Indirect,,,,,,4.94
2014-16,Indirect,,,,,,5.52
2009-11,,,Under 20,,,E92000001,10.36
2009-11,,,20 to 24,,,E92000001,7.98
2009-11,,,25 to 29,,,E92000001,8.05
2009-11,,,30 to 34,,,E92000001,10.09
2009-11,,,35 to 39,,,E92000001,15.53
2009-11,,,Over 40,,,E92000001,26.3
2010-12,,,Under 20,,,E92000001,8.03
2010-12,,,20 to 24,,,E92000001,6.72
2010-12,,,25 to 29,,,E92000001,9.01
2010-12,,,30 to 34,,,E92000001,9.99
2010-12,,,35 to 39,,,E92000001,13.16
2010-12,,,Over 40,,,E92000001,25.48
2011-13,,,Under 20,,,E92000001,7.2
2011-13,,,20 to 24,,,E92000001,5.4
2011-13,,,25 to 29,,,E92000001,7.6
2011-13,,,30 to 34,,,E92000001,9.0
2011-13,,,35 to 39,,,E92000001,13.6
2011-13,,,Over 40,,,E92000001,19.9
2012-14,,,Under 20,,,E92000001,5.0
2012-14,,,20 to 24,,,E92000001,5.95
2012-14,,,25 to 29,,,E92000001,7.14
2012-14,,,30 to 34,,,E92000001,7.88
2012-14,,,35 to 39,,,E92000001,13.62
2012-14,,,Over 40,,,E92000001,17.88
2013-15,,,Under 20,,,E92000001,9.0
2013-15,,,20 to 24,,,E92000001,6.37
2013-15,,,25 to 29,,,E92000001,6.9
2013-15,,,30 to 34,,,E92000001,7.72
2013-15,,,35 to 39,,,E92000001,13.39
2013-15,,,Over 40,,,E92000001,20.17
2014-16,,,Under 20,,,E92000001,11.1
2014-16,,,20 to 24,,,E92000001,7.26
2014-16,,,25 to 29,,,E92000001,8.14
2014-16,,,30 to 34,,,E92000001,8.32
2014-16,,,35 to 39,,,E92000001,14.16
2014-16,,,Over 40,,,E92000001,22.17
2009-11,,,,I (Least deprived  highest 20),,E92000001,7.52
2009-11,,,,II,,E92000001,9.29
2009-11,,,,III,,E92000001,10.23
2009-11,,,,IV,,E92000001,12.64
2009-11,,,,V (Most deprived  lowest 20),,E92000001,13.07
2010-12,,,,I (Least deprived  highest 20),,E92000001,9.14
2010-12,,,,II,,E92000001,8.25
2010-12,,,,III,,E92000001,8.76
2010-12,,,,IV,,E92000001,10.28
2010-12,,,,V (Most deprived  lowest 20),,E92000001,12.22
2011-13,,,,I (Least deprived  highest 20),,E92000001,7.6
2011-13,,,,II,,E92000001,6.8
2011-13,,,,III,,E92000001,5.8
2011-13,,,,IV,,E92000001,10.2
2011-13,,,,V (Most deprived  lowest 20),,E92000001,10.9
2012-14,,,,I (Least deprived  highest 20),,E92000001,5.93
2012-14,,,,II,,E92000001,5.88
2012-14,,,,III,,E92000001,5.9
2012-14,,,,IV,,E92000001,9.22
2012-14,,,,V (Most deprived  lowest 20),,E92000001,9.59
2013-15,,,,I (Least deprived  highest 20),,E92000001,3.92
2013-15,,,,II,,E92000001,4.26
2013-15,,,,III,,E92000001,7.37
2013-15,,,,IV,,E92000001,10.51
2013-15,,,,V (Most deprived  lowest 20),,E92000001,9.23
2014-16,,,,I (Least deprived  highest 20),,E92000001,3.26
2014-16,,,,II,,E92000001,5.54
2014-16,,,,III,,E92000001,10.03
2014-16,,,,IV,,E92000001,11.84
2014-16,,,,V (Most deprived  lowest 20),,E92000001,10.58
2012-14,,,,,White (inc. not known),E92000001,7.42
2012-14,,,,,Asian,E92000001,10.1
2012-14,,,,,Black,E92000001,31.13
2012-14,,,,,Chinese or other,E92000001,4.11
2012-14,,,,,Mixed,E92000001,3.32
2013-15,,,,,White (inc. not known),E92000001,6.58
2013-15,,,,,Asian,E92000001,10.79
2013-15,,,,,Black,E92000001,28.17
2013-15,,,,,Chinese or other,E92000001,4.07
2013-15,,,,,Mixed,E92000001,9.92
2014-16,,,,,White (inc. not known),E92000001,8.04
2014-16,,,,,Asian,E92000001,14.52
2014-16,,,,,Black,E92000001,39.66
2014-16,,,,,Chinese or other,E92000001,5.32
2014-16,,,,,Mixed,E92000001,16.32
2009-11,,UK,,,,,8.96
2009-11,,Outside UK,,,,,12.11
2010-12,,UK,,,,,8.41
2010-12,,Outside UK,,,,,11.46
2011-13,,UK,,,,,7.9
2011-13,,Outside UK,,,,,9.3
2012-14,,UK,,,,,7.87
