Year,Area Type,Observation status,Unit multiplier,Unit measure,Value
2000,,Undefined,Units,Percentage (%),97.43275
2001,,Undefined,Units,Percentage (%),97.43991
2002,,Undefined,Units,Percentage (%),97.46110999999999
2003,,Undefined,Units,Percentage (%),97.48203000000001
2004,,Undefined,Units,Percentage (%),97.5028
2005,,Undefined,Units,Percentage (%),97.52329
2006,,Undefined,Units,Percentage (%),97.54363000000001
2007,,Undefined,Units,Percentage (%),97.56369000000001
2008,,Undefined,Units,Percentage (%),97.5836
2009,,Undefined,Units,Percentage (%),97.60323000000001
2010,,Undefined,Units,Percentage (%),97.62264
2011,,Undefined,Units,Percentage (%),97.64184
2012,,Undefined,Units,Percentage (%),97.66096
2013,,Undefined,Units,Percentage (%),97.67994
2014,,Undefined,Units,Percentage (%),97.69878
2015,,Undefined,Units,Percentage (%),97.71748000000001
2016,,Undefined,Units,Percentage (%),97.7361
2017,,Undefined,Units,Percentage (%),97.75451
2000,Rural,Undefined,Units,Percentage (%),91.79889
2001,Rural,Undefined,Units,Percentage (%),91.79889
2002,Rural,Undefined,Units,Percentage (%),91.79889
2003,Rural,Undefined,Units,Percentage (%),91.79889
2004,Rural,Undefined,Units,Percentage (%),91.79889
2005,Rural,Undefined,Units,Percentage (%),91.79889
2006,Rural,Undefined,Units,Percentage (%),91.79889
2007,Rural,Undefined,Units,Percentage (%),91.79889
2008,Rural,Undefined,Units,Percentage (%),91.79889
2009,Rural,Undefined,Units,Percentage (%),91.79889
2010,Rural,Undefined,Units,Percentage (%),91.79889
2011,Rural,Undefined,Units,Percentage (%),91.79889
2012,Rural,Undefined,Units,Percentage (%),91.79889
2013,Rural,Undefined,Units,Percentage (%),91.79889
2014,Rural,Undefined,Units,Percentage (%),91.79889
2015,Rural,Undefined,Units,Percentage (%),91.79889
2016,Rural,Undefined,Units,Percentage (%),91.79889
2017,Rural,Undefined,Units,Percentage (%),91.79889
2000,Urban,Undefined,Units,Percentage (%),98.962
2001,Urban,Undefined,Units,Percentage (%),98.962
2002,Urban,Undefined,Units,Percentage (%),98.962
2003,Urban,Undefined,Units,Percentage (%),98.962
2004,Urban,Undefined,Units,Percentage (%),98.962
2005,Urban,Undefined,Units,Percentage (%),98.962
2006,Urban,Undefined,Units,Percentage (%),98.962
2007,Urban,Undefined,Units,Percentage (%),98.962
2008,Urban,Undefined,Units,Percentage (%),98.962
2009,Urban,Undefined,Units,Percentage (%),98.962
2010,Urban,Undefined,Units,Percentage (%),98.962
2011,Urban,Undefined,Units,Percentage (%),98.962
2012,Urban,Undefined,Units,Percentage (%),98.962
2013,Urban,Undefined,Units,Percentage (%),98.962
2014,Urban,Undefined,Units,Percentage (%),98.962
2015,Urban,Undefined,Units,Percentage (%),98.962
2016,Urban,Undefined,Units,Percentage (%),98.962
2017,Urban,Undefined,Units,Percentage (%),98.962
