Year,Urbanisation,Observation status,Unit multiplier,Unit measure,Value
2000,,Undefined,Units,Percentage (%),100.0
2001,,Undefined,Units,Percentage (%),100.0
2002,,Undefined,Units,Percentage (%),100.0
2003,,Undefined,Units,Percentage (%),100.0
2004,,Undefined,Units,Percentage (%),100.0
2005,,Undefined,Units,Percentage (%),100.0
2006,,Undefined,Units,Percentage (%),100.0
2007,,Undefined,Units,Percentage (%),100.0
2008,,Undefined,Units,Percentage (%),100.0
2009,,Undefined,Units,Percentage (%),100.0
2010,,Undefined,Units,Percentage (%),100.0
2011,,Undefined,Units,Percentage (%),100.0
2012,,Undefined,Units,Percentage (%),100.0
2013,,Undefined,Units,Percentage (%),100.0
2014,,Undefined,Units,Percentage (%),100.0
2015,,Undefined,Units,Percentage (%),100.0
2016,,Undefined,Units,Percentage (%),100.0
2017,,Undefined,Units,Percentage (%),100.0
2000,Urban,Undefined,Units,Percentage (%),100.0
2001,Urban,Undefined,Units,Percentage (%),100.0
2002,Urban,Undefined,Units,Percentage (%),100.0
2003,Urban,Undefined,Units,Percentage (%),100.0
2004,Urban,Undefined,Units,Percentage (%),100.0
2005,Urban,Undefined,Units,Percentage (%),100.0
2006,Urban,Undefined,Units,Percentage (%),100.0
2007,Urban,Undefined,Units,Percentage (%),100.0
2008,Urban,Undefined,Units,Percentage (%),100.0
2009,Urban,Undefined,Units,Percentage (%),100.0
2010,Urban,Undefined,Units,Percentage (%),100.0
2011,Urban,Undefined,Units,Percentage (%),100.0
2012,Urban,Undefined,Units,Percentage (%),100.0
2013,Urban,Undefined,Units,Percentage (%),100.0
2014,Urban,Undefined,Units,Percentage (%),100.0
2015,Urban,Undefined,Units,Percentage (%),100.0
2016,Urban,Undefined,Units,Percentage (%),100.0
2017,Urban,Undefined,Units,Percentage (%),100.0
2000,Rural,Undefined,Units,Percentage (%),100.0
2001,Rural,Undefined,Units,Percentage (%),100.0
2002,Rural,Undefined,Units,Percentage (%),100.0
2003,Rural,Undefined,Units,Percentage (%),100.0
2004,Rural,Undefined,Units,Percentage (%),100.0
2005,Rural,Undefined,Units,Percentage (%),100.0
2006,Rural,Undefined,Units,Percentage (%),100.0
2007,Rural,Undefined,Units,Percentage (%),100.0
2008,Rural,Undefined,Units,Percentage (%),100.0
2009,Rural,Undefined,Units,Percentage (%),100.0
2010,Rural,Undefined,Units,Percentage (%),100.0
2011,Rural,Undefined,Units,Percentage (%),100.0
2012,Rural,Undefined,Units,Percentage (%),100.0
2013,Rural,Undefined,Units,Percentage (%),100.0
2014,Rural,Undefined,Units,Percentage (%),100.0
2015,Rural,Undefined,Units,Percentage (%),100.0
2016,Rural,Undefined,Units,Percentage (%),100.0
2017,Rural,Undefined,Units,Percentage (%),100.0
