Year,Units,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013-2016,1. Ratio of land consumption rate to population growth rate - UN indicator,,Ratio,Units,Undefined,,1.90629759459
2013-2016,1. Ratio of land consumption rate to population growth rate - UN indicator,Wales,Ratio,Units,Undefined,W92000004,8.284126630632166
2013-2016,1. Ratio of land consumption rate to population growth rate - UN indicator,England,Ratio,Units,Undefined,E92000001,1.48617262670331
2013-2016,1. Ratio of land consumption rate to population growth rate - UN indicator,Scotland,Ratio,Units,Undefined,S92000003,4.966633530983618
2013-2016,2. Land comsumption rate,,Ratio,Units,Undefined,,0.015223343462808804
2013-2016,2. Land comsumption rate,Wales,Ratio,Units,Undefined,W92000004,0.027400212566724005
2013-2016,2. Land comsumption rate,England,Ratio,Units,Undefined,E92000001,0.012731152998348464
2013-2016,2. Land comsumption rate,Scotland,Ratio,Units,Undefined,S92000003,0.023755938021517473
2013-2016,3. Population growth rate,,Ratio,Units,Undefined,,0.007985816855664176
2013-2016,3. Population growth rate,Wales,Ratio,Units,Undefined,W92000004,0.003307555978853148
2013-2016,3. Population growth rate,England,Ratio,Units,Undefined,E92000001,0.008566402562930573
2013-2016,3. Population growth rate,Scotland,Ratio,Units,Undefined,S92000003,0.004783106680474716
