Year,Sex,Abuse category,Abuse sub-category,Unit measure,Unit multiplier,Observation status,Value
2015/16,,,,Percentage (%),Units,Undefined,15.97586453
2015/16,,Sexual,,Percentage (%),Units,Undefined,3.88584624
2015/16,,Sexual,Sexual assault by rape or penetration (including attempts),Percentage (%),Units,Undefined,1.4367751
2015/16,,Sexual,Other sexual assault,Percentage (%),Units,Undefined,3.69012789
2015/16,Male,,,Percentage (%),Units,Undefined,11.75785728
2015/16,Male,Sexual,,Percentage (%),Units,Undefined,1.23445173
2015/16,Male,Sexual,Sexual assault by rape or penetration (including attempts),Percentage (%),Units,Undefined,0.48569104
2015/16,Male,Sexual,Other sexual assault,Percentage (%),Units,Undefined,1.12624728
2015/16,Female,,,Percentage (%),Units,Undefined,20.37083573
2015/16,Female,Sexual,,Percentage (%),Units,Undefined,6.64054995
2015/16,Female,Sexual,Sexual assault by rape or penetration (including attempts),Percentage (%),Units,Undefined,2.42058424
2015/16,Female,Sexual,Other sexual assault,Percentage (%),Units,Undefined,6.35016776
