Year,Series,Sex,Age,Employment status,Number of hours per week providing care,Net weekly income (£),Units,Unit multiplier,Observation status,Value
2004/05,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2005/06,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,9.0
2006/07,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,9.0
2007/08,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2008/09,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2009/10,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2010/11,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2011/12,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2012/13,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,9.0
2013/14,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2014/15,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2015/16,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2016/17,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,8.0
2017/18,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,7.0
2018/19,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,7.0
2019/20,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,7.0
2020/21,Percentage of people providing informal care,,,,,,Percentage (%),Units,Normal value,6.0
2004/05,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2005/06,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2006/07,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2007/08,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,9.0
2008/09,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,9.0
2009/10,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,9.0
2010/11,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,9.0
2011/12,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2012/13,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2013/14,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2014/15,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,9.0
2015/16,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,9.0
2016/17,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,10.0
2017/18,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,8.0
2018/19,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,8.0
2019/20,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,8.0
2020/21,Percentage of people providing informal care,Female,,,,,Percentage (%),Units,Normal value,7.0
2004/05,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2005/06,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2006/07,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2007/08,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2008/09,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2009/10,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2010/11,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2011/12,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2012/13,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2013/14,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2014/15,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2015/16,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2016/17,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,7.0
2017/18,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2018/19,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2019/20,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of people providing informal care,Male,,,,,Percentage (%),Units,Normal value,5.0
2020/21,Percentage of people providing informal care,,0-15,,,,Percentage (%),Units,Missing value,
2020/21,Percentage of people providing informal care,,16-24,,,,Percentage (%),Units,Normal value,2.0
2020/21,Percentage of people providing informal care,,25-34,,,,Percentage (%),Units,Normal value,5.0
2020/21,Percentage of people providing informal care,,35-44,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of people providing informal care,,45-54,,,,Percentage (%),Units,Normal value,13.0
2020/21,Percentage of people providing informal care,,55-64,,,,Percentage (%),Units,Normal value,13.0
2020/21,Percentage of people providing informal care,,65-74,,,,Percentage (%),Units,Normal value,8.0
2020/21,Percentage of people providing informal care,,75-84,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of people providing informal care,,85+,,,,Percentage (%),Units,Normal value,5.0
2020/21,Percentage of people providing informal care,Female,0-15,,,,Percentage (%),Units,Normal value,
2020/21,Percentage of people providing informal care,Female,16-24,,,,Percentage (%),Units,Normal value,2.0
2020/21,Percentage of people providing informal care,Female,25-34,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of people providing informal care,Female,35-44,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of people providing informal care,Female,45-54,,,,Percentage (%),Units,Normal value,16.0
2020/21,Percentage of people providing informal care,Female,55-64,,,,Percentage (%),Units,Normal value,16.0
2020/21,Percentage of people providing informal care,Female,65-74,,,,Percentage (%),Units,Normal value,8.0
2020/21,Percentage of people providing informal care,Female,75-84,,,,Percentage (%),Units,Normal value,7.0
2020/21,Percentage of people providing informal care,Female,85+,,,,Percentage (%),Units,Normal value,4.0
2020/21,Percentage of people providing informal care,Male,0-15,,,,Percentage (%),Units,Missing value,
2020/21,Percentage of people providing informal care,Male,16-24,,,,Percentage (%),Units,Normal value,1.0
2020/21,Percentage of people providing informal care,Male,25-34,,,,Percentage (%),Units,Normal value,4.0
2020/21,Percentage of people providing informal care,Male,35-44,,,,Percentage (%),Units,Normal value,5.0
2020/21,Percentage of people providing informal care,Male,45-54,,,,Percentage (%),Units,Normal value,10.0
2020/21,Percentage of people providing informal care,Male,55-64,,,,Percentage (%),Units,Normal value,11.0
2020/21,Percentage of people providing informal care,Male,65-74,,,,Percentage (%),Units,Normal value,8.0
2020/21,Percentage of people providing informal care,Male,75-84,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of people providing informal care,Male,85+,,,,Percentage (%),Units,Normal value,6.0
2020/21,Percentage of adult informal carers,,,Employed,,,Percentage (%),Units,Normal value,53.0
2020/21,Percentage of adult informal carers,,,Unemployed,,,Percentage (%),Units,Normal value,2.0
2020/21,Percentage of adult informal carers,,,Retired,,,Percentage (%),Units,Normal value,20.0
2020/21,Percentage of adult informal carers,,,Other economically inactive,,,Percentage (%),Units,Normal value,25.0
2020/21,Percentage of adult informal carers,Female,,Employed,,,Percentage (%),Units,Normal value,52.0
2020/21,Percentage of adult informal carers,Female,,Unemployed,,,Percentage (%),Units,Normal value,1.0
2020/21,Percentage of adult informal carers,Female,,Retired,,,Percentage (%),Units,Normal value,24.0
2020/21,Percentage of adult informal carers,Female,,Other economically inactive,,,Percentage (%),Units,Normal value,28.0
2020/21,Percentage of adult informal carers,Male,,Employed,,,Percentage (%),Units,Normal value,53.0
2020/21,Percentage of adult informal carers,Male,,Unemployed,,,Percentage (%),Units,Normal value,4.0
2020/21,Percentage of adult informal carers,Male,,Retired,,,Percentage (%),Units,Normal value,18.0
2020/21,Percentage of adult informal carers,Male,,Other economically inactive,,,Percentage (%),Units,Normal value,20.0
2020/21,Percentage of adult informal carers,,,,0-4 hours,,Percentage (%),Units,Normal value,19.0
2020/21,Percentage of adult informal carers,,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
2020/21,Percentage of adult informal carers,,,,20-34 hours,,Percentage (%),Units,Normal value,9.0
2020/21,Percentage of adult informal carers,,,,"Varies, less than 35 hours",,Percentage (%),Units,Normal value,5.0
2020/21,Percentage of adult informal carers,,,,35-49 hours,,Percentage (%),Units,Normal value,7.0
2020/21,Percentage of adult informal carers,,,,50 or more hours,,Percentage (%),Units,Normal value,16.0
2020/21,Percentage of adult informal carers,,,,"Varies, 35 or more hours",,Percentage (%),Units,Normal value,13.0
2020/21,Percentage of adult informal carers,Female,,,0-4 hours,,Percentage (%),Units,Normal value,18.0
2020/21,Percentage of adult informal carers,Female,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2020/21,Percentage of adult informal carers,Female,,,20-34 hours,,Percentage (%),Units,Normal value,10.0
