Year,Age,Main method of contraception,Types of contraception,Observation status,Unit multiplier,Unit measure,Value
2014/15,15 and under,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,7.05
2014/15,16 to 17,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,16.216
2014/15,18 to 19,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,18.762
2014/15,20 to 24,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,39.755
2014/15,25 to 34,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,39.52
2014/15,35 to 44,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,14.36
2014/15,45 and over,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,3.267
2014/15,,Long acting reversible contraceptives,Implant,Undefined,Thousands,Number,138.937
2014/15,15 and under,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,2.31
2014/15,16 to 17,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,8.785
2014/15,18 to 19,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,12.489
2014/15,20 to 24,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,26.494
2014/15,25 to 34,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,22.803
2014/15,35 to 44,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,10.283
2014/15,45 and over,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,2.088
2014/15,,Long acting reversible contraceptives,Injectable contraceptive,Undefined,Thousands,Number,85.255
2014/15,15 and under,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.11
2014/15,16 to 17,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,0.655
2014/15,18 to 19,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,1.719
2014/15,20 to 24,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,9.251
2014/15,25 to 34,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,24.388
2014/15,35 to 44,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,14.383
2014/15,45 and over,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,3.706
2014/15,,Long acting reversible contraceptives,IU device,Undefined,Thousands,Number,54.216
2014/15,15 and under,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.041
2014/15,16 to 17,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,0.511
2014/15,18 to 19,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,1.531
2014/15,20 to 24,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,7.718
2014/15,25 to 34,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,19.398
2014/15,35 to 44,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,23.018
2014/15,45 and over,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,15.446
2014/15,,Long acting reversible contraceptives,IU system,Undefined,Thousands,Number,67.666
2014/15,15 and under,Long acting reversible contraceptives,,Undefined,Thousands,Number,9.511
2014/15,16 to 17,Long acting reversible contraceptives,,Undefined,Thousands,Number,26.167
2014/15,18 to 19,Long acting reversible contraceptives,,Undefined,Thousands,Number,34.501000000000005
2014/15,20 to 24,Long acting reversible contraceptives,,Undefined,Thousands,Number,83.218
2014/15,25 to 34,Long acting reversible contraceptives,,Undefined,Thousands,Number,106.10900000000001
2014/15,35 to 44,Long acting reversible contraceptives,,Undefined,Thousands,Number,62.044
2014/15,45 and over,Long acting reversible contraceptives,,Undefined,Thousands,Number,24.507
2014/15,,Long acting reversible contraceptives,,Undefined,Thousands,Number,346.074
2014/15,15 and under,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.48
2014/15,16 to 17,User dependent,Contraceptive patch,Undefined,Thousands,Number,1.606
2014/15,18 to 19,User dependent,Contraceptive patch,Undefined,Thousands,Number,2.229
2014/15,20 to 24,User dependent,Contraceptive patch,Undefined,Thousands,Number,4.823
2014/15,25 to 34,User dependent,Contraceptive patch,Undefined,Thousands,Number,3.923
2014/15,35 to 44,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.669
2014/15,45 and over,User dependent,Contraceptive patch,Undefined,Thousands,Number,0.056
2014/15,,User dependent,Contraceptive patch,Undefined,Thousands,Number,13.786
2014/15,15 and under,User dependent,Female condom,Undefined,Thousands,Number,0.048
