Year,Type of hate crime,Age,Sex,Disability status,Ethnicity,Household income,Urban or rural,GeoCode,Observation status,Unit multiplier,Unit measure,Value
2007/08 to 2008/09,Disability,,,,,,,,Normal Value,Units,Percentage (%),0.050195412582026123
2007/08 to 2008/09,Race,,,,,,,,Normal Value,Units,Percentage (%),0.1625374552930453
2007/08 to 2008/09,Religion,,,,,,,,Normal Value,Units,Percentage (%),0.028651953214628382
2007/08 to 2008/09,Sexual orientation,,,,,,,,Normal Value,Units,Percentage (%),0.0691941737152112
2007/08 to 2008/09,,,,,,,,,Normal Value,Units,Percentage (%),0.2871760101585322
2009/10 to 2011/12,Disability,,,,,,,,Normal Value,Units,Percentage (%),0.04518994382185085
2009/10 to 2011/12,Race,,,,,,,,Normal Value,Units,Percentage (%),0.14947526529116495
2009/10 to 2011/12,Religion,,,,,,,,Normal Value,Units,Percentage (%),0.03811517627252059
2009/10 to 2011/12,Sexual orientation,,,,,,,,Normal Value,Units,Percentage (%),0.03559162243971714
2009/10 to 2011/12,,,,,,,,,Normal Value,Units,Percentage (%),0.26548725411789453
2012/13 to 2014/15,Disability,,,,,,,,Normal Value,Units,Percentage (%),0.0640559444379131
2012/13 to 2014/15,Race,,,,,,,,Normal Value,Units,Percentage (%),0.10882200320261919
2012/13 to 2014/15,Religion,,,,,,,,Normal Value,Units,Percentage (%),0.03056589391106636
2012/13 to 2014/15,Sexual orientation,,,,,,,,Normal Value,Units,Percentage (%),0.026221922327764158
2012/13 to 2014/15,,,,,,,,,Normal Value,Units,Percentage (%),0.20815248327309177
2015/16 to 2017/18,,,,,,,Rural,,Normal Value,Units,Percentage (%),0.05567737274378033
2015/16 to 2017/18,,,,,,,Urban,,Normal Value,Units,Percentage (%),0.18641085446884278
2015/16 to 2017/18,,,,Disabled (GSS harmonised),,,,,Normal Value,Units,Percentage (%),0.3638352657792506
2015/16 to 2017/18,,,,Long-term health condition,,,,,Normal Value,Units,Percentage (%),0.3089117283086101
2015/16 to 2017/18,,,,Long-term health condition - Does not limit activities,,,,,Normal Value,Units,Percentage (%),0.11513896397556507
