Year,Sex,Age,Ethnicity,Disability status,Region,Urbanisation,Citizenship,Household income,GeoCode,Value
2013/14,,,,,,,,,,26.0
2013/14,Male,,,,,,,,,28.0
2013/14,Female,,,,,,,,,24.0
2013/14,,16 to 24,,,,,,,,24.0
2013/14,,25 to 34,,,,,,,,25.0
2013/14,,35 to 49,,,,,,,,28.0
2013/14,,50 to 64,,,,,,,,26.0
2013/14,,65 to 74,,,,,,,,25.0
2013/14,,75 and over,,,,,,,,26.0
2013/14,,,White,,,,,,,24.0
2013/14,,,Asian,,,,,,,39.0
2013/14,,,Black,,,,,,,50.0
2013/14,,,Mixed,,,,,,,32.0
2013/14,,,Other,,,,,,,32.0
2013/14,,,,Limiting long-term illness/disability,,,,,,25.0
2013/14,,,,No limiting long-term illness/disability,,,,,,26.0
2013/14,,,,,North East,,,,E12000001,22.0
2013/14,,,,,North West,,,,E12000002,26.0
2013/14,,,,,Yorkshire and The Humber,,,,E12000003,22.0
2013/14,,,,,East Midlands,,,,E12000004,25.0
2013/14,,,,,West Midlands,,,,E12000005,25.0
2013/14,,,,,East of England,,,,E12000006,27.0
2013/14,,,,,London,,,,E12000007,32.0
2013/14,,,,,South East,,,,E12000008,24.0
2013/14,,,,,South West,,,,E12000009,28.0
2013/14,,,,,,Urban,,,,25.0
2013/14,,,,,,Rural,,,,29.0
2014/15,,,,,,,,,,25.0
2014/15,Male,,,,,,,,,27.0
2014/15,Female,,,,,,,,,24.0
2014/15,,16 to 24,,,,,,,,23.0
2014/15,,25 to 34,,,,,,,,22.0
2014/15,,35 to 49,,,,,,,,28.0
2014/15,,50 to 64,,,,,,,,26.0
2014/15,,65 to 74,,,,,,,,27.0
2014/15,,75 and over,,,,,,,,25.0
2014/15,,,White,,,,,,,24.0
2014/15,,,Asian,,,,,,,44.0
2014/15,,,Mixed,,,,,,,18.0
2014/15,,,,Limiting long-term illness/disability,,,,,,23.0
2014/15,,,,No limiting long-term illness/disability,,,,,,27.0
2014/15,,,,,North East,,,,E12000001,16.0
2014/15,,,,,North West,,,,E12000002,21.0
2014/15,,,,,Yorkshire and The Humber,,,,E12000003,23.0
2014/15,,,,,East Midlands,,,,E12000004,30.0
2014/15,,,,,West Midlands,,,,E12000005,22.0
2014/15,,,,,East of England,,,,E12000006,27.0
2014/15,,,,,London,,,,E12000007,32.0
2014/15,,,,,South East,,,,E12000008,26.0
2014/15,,,,,South West,,,,E12000009,26.0
2014/15,,,,,,Urban,,,,24.0
2014/15,,,,,,Rural,,,,32.0
2015/16,,,,,,,,,,28.0
2015/16,Male,,,,,,,,,29.0
2015/16,Female,,,,,,,,,27.0
2015/16,,16 to 24,,,,,,,,25.0
2015/16,,25 to 34,,,,,,,,23.0
2015/16,,35 to 49,,,,,,,,33.0
2015/16,,50 to 64,,,,,,,,30.0
2015/16,,65 to 74,,,,,,,,26.0
2015/16,,75 and over,,,,,,,,23.0
2015/16,,,White,,,,,,,25.0
2015/16,,,Asian,,,,,,,45.0
2015/16,,,Black,,,,,,,60.0
2015/16,,,Mixed,,,,,,,34.0
2015/16,,,Other,,,,,,,28.0
2015/16,,,,Limiting long-term illness/disability,,,,,,23.0
2015/16,,,,No limiting long-term illness/disability,,,,,,30.0
2015/16,,,,,North East,,,,E12000001,23.0
2015/16,,,,,North West,,,,E12000002,24.0
2015/16,,,,,Yorkshire and The Humber,,,,E12000003,27.0
2015/16,,,,,East Midlands,,,,E12000004,32.0
2015/16,,,,,West Midlands,,,,E12000005,25.0
2015/16,,,,,East of England,,,,E12000006,24.0
2015/16,,,,,London,,,,E12000007,36.0
2015/16,,,,,South East,,,,E12000008,28.0
2015/16,,,,,South West,,,,E12000009,27.0
2015/16,,,,,,Urban,,,,28.0
2015/16,,,,,,Rural,,,,29.0
2016/17,,,,,,,,,,27.0
2016/17,Male,,,,,,,,,27.0
2016/17,Female,,,,,,,,,26.0
2016/17,,16 to 24,,,,,,,,22.0
2016/17,,25 to 34,,,,,,,,25.0
2016/17,,35 to 49,,,,,,,,32.0
2016/17,,50 to 64,,,,,,,,25.0
2016/17,,65 to 74,,,,,,,,26.0
2016/17,,75 and over,,,,,,,,27.0
2016/17,,,White,,,,,,,25.0
2016/17,,,Asian,,,,,,,37.0
2016/17,,,Black,,,,,,,44.0
2016/17,,,Mixed,,,,,,,37.0
2016/17,,,Other,,,,,,,34.0
2016/17,,,,Limiting long-term illness/disability,,,,,,26.0
2016/17,,,,No limiting long-term illness/disability,,,,,,27.0
2016/17,,,,,North East,,,,E12000001,19.0
2016/17,,,,,North West,,,,E12000002,26.0
2016/17,,,,,Yorkshire and The Humber,,,,E12000003,26.0
2016/17,,,,,East Midlands,,,,E12000004,23.0
2016/17,,,,,West Midlands,,,,E12000005,27.0
2016/17,,,,,East of England,,,,E12000006,25.0
2016/17,,,,,London,,,,E12000007,32.0
2016/17,,,,,South East,,,,E12000008,26.0
2016/17,,,,,South West,,,,E12000009,27.0
2016/17,,,,,,Urban,,,,25.0
2016/17,,,,,,Rural,,,,32.0
2017/18,,,,,,,,,,26.0
2017/18,Male,,,,,,,,,26.0
2017/18,Female,,,,,,,,,26.0
2017/18,,16 to 24,,,,,,,,25.0
2017/18,,25 to 34,,,,,,,,25.0
2017/18,,35 to 49,,,,,,,,29.0
2017/18,,50 to 64,,,,,,,,25.0
2017/18,,65 to 74,,,,,,,,25.0
2017/18,,75 and over,,,,,,,,27.0
2017/18,,,White,,,,,,,24.0
2017/18,,,Asian,,,,,,,34.0
2017/18,,,Black,,,,,,,43.0
2017/18,,,Mixed,,,,,,,34.0
2017/18,,,Other,,,,,,,40.0
2017/18,,,,Limiting long-term illness/disability,,,,,,22.0
2017/18,,,,No limiting long-term illness/disability,,,,,,27.0
2017/18,,,,,North East,,,,E12000001,27.0
2017/18,,,,,North West,,,,E12000002,25.0
2017/18,,,,,Yorkshire and The Humber,,,,E12000003,23.0
2017/18,,,,,East Midlands,,,,E12000004,21.0
