Year,Units,Educational measure,Education indicator,Value
2003,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,1.10016
2006,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,1.11675
2009,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,1.1059299999999999
2012,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,1.07285
2015,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,1.07089
2003,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,1.02227
2006,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,1.0937700000000001
2009,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,1.00601
2012,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,0.9998799999999999
2015,Location Parity Index (LPI),Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,1.11341
2003,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,0.7388
2006,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,0.77255
2009,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,0.76258
2012,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,0.79525
2015,Social Economic Status (SES) Parity Index,Proportion of students,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,0.80884
2003,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.94521
2006,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,0.9281200000000001
