Year,Fatality,Employment status,Industry,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2000,,,,,,"Rate per 100,000 workers",Units,Undefined,1.1
2001,,,,,,"Rate per 100,000 workers",Units,Undefined,0.9
2002,,,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2003,,,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2004,,,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2005,,,,,,"Rate per 100,000 workers",Units,Undefined,0.7
2006,,,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2007,,,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2008,,,,,,"Rate per 100,000 workers",Units,Undefined,0.6
2009,,,,,,"Rate per 100,000 workers",Units,Undefined,0.6
2010,,,,,,"Rate per 100,000 workers",Units,Undefined,0.6
2011,,,,,,"Rate per 100,000 workers",Units,Undefined,0.58
2012,,,,,,"Rate per 100,000 workers",Units,Undefined,704.5
2013,,,,,,"Rate per 100,000 workers",Units,Undefined,182.45
2014,,,,,,"Rate per 100,000 workers",Units,Undefined,345.46
2015,,,,,,"Rate per 100,000 workers",Units,Undefined,488.47
2016,,,,,,"Rate per 100,000 workers",Units,Undefined,263.43
2000,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,10.2
2000,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2000,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,6.0
2000,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.9
2000,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,4.7
2000,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2000,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,6.5
2000,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,2.4
2000,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,19.0
2000,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.8
2000,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,5.0
2001,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,9.2
2001,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2001,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,4.3
2001,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.8
2001,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,8.0
2001,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.3
2001,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,5.2
2001,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.3
2001,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,11.0
2001,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.4
2001,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.9
2002,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,9.3
2002,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2002,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.8
2002,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.7
2002,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,6.8
2002,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,1.2
2002,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,5.0
2002,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,1.3
2002,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,12.9
2002,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.5
2002,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,2.0
2003,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,10.5
2003,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,0.8
2003,,,Construction,,,"Rate per 100,000 workers",Units,Undefined,3.8
2003,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,0.7
