Year,Sex,Age,Region,County,Local Authority,Disability status,Ethnicity,Ethnic group,Economic activity,GeoCode,Value
2011,Female,16 to 24,,,,,,,,,97.3
2011,Female,25 to 34,,,,,,,,,96.1
2011,Female,35 to 44,,,,,,,,,92.9
2011,Female,45 to 54,,,,,,,,,86.2
2011,Female,55 to 64,,,,,,,,,73.3
2011,Female,65 to 74,,,,,,,,,47.1
2011,Female,75 and over,,,,,,,,,13.1
2011,Female,,,,,,,,,,76.8
2011,Male,16 to 24,,,,,,,,,97.7
2011,Male,25 to 34,,,,,,,,,96.0
2011,Male,35 to 44,,,,,,,,,93.4
2011,Male,45 to 54,,,,,,,,,86.6
2011,Male,55 to 64,,,,,,,,,76.2
2011,Male,65 to 74,,,,,,,,,57.4
2011,Male,75 and over,,,,,,,,,29.3
2011,Male,,,,,,,,,,82.1
2011,,16 to 24,,,,,,,,,97.5
2011,,25 to 34,,,,,,,,,96.0
2011,,35 to 44,,,,,,,,,93.2
2011,,45 to 54,,,,,,,,,86.4
2011,,55 to 64,,,,,,,,,74.7
2011,,65 to 74,,,,,,,,,52.0
2011,,75 and over,,,,,,,,,19.9
2011,,,East Midlands,,,,,,,E12000004,78.2
2011,,,East of England,,,,,,,E12000006,81.7
2011,,,London,,,,,,,E12000007,83.2
2011,,,North East,,,,,,,E12000001,74.3
2011,,,North West,,,,,,,E12000002,76.7
2011,,,Northern Ireland,,,,,,,,68.7
2011,,,Scotland,,,,,,,,78.5
2011,,,South East,,,,,,,E12000008,83.5
2011,,,South West,,,,,,,E12000009,81.1
2011,,,Wales,,,,,,,,77.4
2011,,,West Midlands,,,,,,,E12000005,76.5
2011,,,Yorkshire and the Humber,,,,,,,,78.4
2011,,,,,,,Asian/Asian British,Bangladeshi,,,67.9
2011,,,,,,,Black/African/Caribbean/Black British,,,,81.7
2011,,,,,,,Asian/Asian British,Chinese,,,92.2
2011,,,,,,,Asian/Asian British,Indian,,,82.4
2011,,,,,,,Mixed/multiple ethnic groups,,,,93.1
2011,,,,,,,Asian/Asian British,Any other Asian background,,,87.1
2011,,,,,,,Other ethnic group,,,,85.7
2011,,,,,,,Asian/Asian British,Pakistani,,,72.6
2011,,,,,,,White,,,,79.0
2011,,,,,,,,,Employee,,93.2
2011,,,,,,,,,Government employment  training programmes,,90.8
2011,,,,,,,,,Inactive,,69.9
2011,,,,,,,,,Retired,,39.8
2011,,,,,,,,,Self-employed,,89.8
2011,,,,,,,,,Student,,98.7
2011,,,,,,,,,Unemployed,,89.8
2011,,,,,,,,,Unpaid family worker,,83.9
2011,,,,,,,,,,,79.4
2012,Female,16 to 24,,,,,,,,,97.6
2012,Female,25 to 34,,,,,,,,,96.5
2012,Female,35 to 44,,,,,,,,,94.0
2012,Female,45 to 54,,,,,,,,,87.4
2012,Female,55 to 64,,,,,,,,,76.3
2012,Female,65 to 74,,,,,,,,,51.2
2012,Female,75 and over,,,,,,,,,17.6
2012,Female,,,,,,,,,,78.4
2012,Male,16 to 24,,,,,,,,,97.7
2012,Male,25 to 34,,,,,,,,,96.8
2012,Male,35 to 44,,,,,,,,,94.4
2012,Male,45 to 54,,,,,,,,,88.3
2012,Male,55 to 64,,,,,,,,,79.6
2012,Male,65 to 74,,,,,,,,,61.7
2012,Male,75 and over,,,,,,,,,30.2
2012,Male,,,,,,,,,,83.5
2012,,16 to 24,,,,,,,,,97.6
2012,,25 to 34,,,,,,,,,96.7
2012,,35 to 44,,,,,,,,,94.2
2012,,45 to 54,,,,,,,,,87.8
2012,,55 to 64,,,,,,,,,77.9
2012,,65 to 74,,,,,,,,,56.2
2012,,75 and over,,,,,,,,,22.9
