Year,Country,Cause of death,Sex,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013,,,,,"Rate per 100,000 population",Units,Undefined,,270.1537182
2013,England,,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,19.63593403
2013,England,Malignant neoplasms (C00-C97),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,11.51540253
2013,England,Diabetes mellitus (E10-E14),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.543179365
2013,England,IX diseases of the circulatory system (I00-I99),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,6.681106185
2013,England,Other diseases of upper respiratory tract (J30-J39),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.054317936
2013,England,Chronic lower respiratory diseases (J40-J47),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.46170246
2013,England,Lung diseases due to external agents (J60-J70),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.10863587300000001
2013,England,Other respiratory diseases principally affecting the interstitium (J80-J84),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.081476905
2013,England,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.027158968
2013,England,Other diseases of pleura (J90-J94),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.027158968
2013,England,"Postprocedural respiratory disorders, not elsewhere classified (J95)",,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.0
2013,England,"Respiratory failure, not elsewhere classified (J96)",,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.0
2013,England,Other respiratory disorders (J98),,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.135794841
2013,England,,Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,20.85429454
2013,England,Malignant neoplasms (C00-C97),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,9.881223327999999
2013,England,Diabetes mellitus (E10-E14),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.709701123
2013,England,IX diseases of the circulatory system (I00-I99),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,9.226114599
2013,England,Other diseases of upper respiratory tract (J30-J39),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.054592394
2013,England,Chronic lower respiratory diseases (J40-J47),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.655108729
2013,England,Lung diseases due to external agents (J60-J70),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.109184788
2013,England,Other respiratory diseases principally affecting the interstitium (J80-J84),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.0
2013,England,Suppurative and necrotic conditions of lower respiratory tract (J85-J86),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.0
2013,England,Other diseases of pleura (J90-J94),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.054592394
2013,England,"Postprocedural respiratory disorders, not elsewhere classified (J95)",Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.0
2013,England,"Respiratory failure, not elsewhere classified (J96)",Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.0
2013,England,Other respiratory disorders (J98),Male,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.163777182
2013,England,,Female,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,18.42976261
2013,England,Malignant neoplasms (C00-C97),Female,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,13.13323259
2013,England,Diabetes mellitus (E10-E14),Female,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.37832357299999997
