Year,Series,Country,Country of birth,Sex,Age,Ethnic Group,Fatality,Malaria species,Region,Region of travel,Observation status,Unit multiplier,Units,GeoCode,Value,Foo
2014,"Rate per 100,000 population",England,,,,,,,East,,Normal value,Units,"Rate per 100,000 population",E12000006,1.877934272,Bar
2015,"Rate per 100,000 population",England,,,,,,,East,,Normal value,Units,"Rate per 100,000 population",E12000006,1.892701906,Bar
2016,"Rate per 100,000 population",England,,,,,,,East,,Normal value,Units,"Rate per 100,000 population",E12000006,1.990535168,Bar
2017,"Rate per 100,000 population",England,,,,,,,East,,Normal value,Units,"Rate per 100,000 population",E12000006,1.848119587,Bar
2018,"Rate per 100,000 population",England,,,,,,,East,,Normal value,Units,"Rate per 100,000 population",E12000006,2.160867211,Bar
2019,"Rate per 100,000 population",England,,,,,,,East,,Normal value,Units,"Rate per 100,000 population",E12000006,1.796002355,Bar
2014,Number of cases,England,,,,,,,East,,Normal value,Units,Number,E12000006,113,Bar
2015,Number of cases,England,,,,,,,East,,Normal value,Units,Number,E12000006,115,Bar
2016,Number of cases,England,,,,,,,East,,Normal value,Units,Number,E12000006,122,Bar
2017,Number of cases,England,,,,,,,East,,Normal value,Units,Number,E12000006,114,Bar
2018,Number of cases,England,,,,,,,East,,Normal value,Units,Number,E12000006,134,Bar
2019,Number of cases,England,,,,,,,East,,Normal value,Units,Number,E12000006,112,Bar
2014,"Rate per 100,000 population",England,,,,,,,East Midlands,,Normal value,Units,"Rate per 100,000 population",E12000004,1.03506967,Bar
2015,"Rate per 100,000 population",England,,,,,,,East Midlands,,Normal value,Units,"Rate per 100,000 population",E12000004,0.833792097,Bar
2016,"Rate per 100,000 population",England,,,,,,,East Midlands,,Normal value,Units,"Rate per 100,000 population",E12000004,0.909977801,Bar
2017,"Rate per 100,000 population",England,,,,,,,East Midlands,,Normal value,Units,"Rate per 100,000 population",E12000004,1.04785205,Bar
2018,"Rate per 100,000 population",England,,,,,,,East Midlands,,Normal value,Units,"Rate per 100,000 population",E12000004,1.144843759,Bar
2019,"Rate per 100,000 population",England,,,,,,,East Midlands,,Normal value,Units,"Rate per 100,000 population",E12000004,1.261391816,Bar
2014,Number of cases,England,,,,,,,East Midlands,,Normal value,Units,Number,E12000004,48,Bar
2015,Number of cases,England,,,,,,,East Midlands,,Normal value,Units,Number,E12000004,39,Bar
2016,Number of cases,England,,,,,,,East Midlands,,Normal value,Units,Number,E12000004,43,Bar
2017,Number of cases,England,,,,,,,East Midlands,,Normal value,Units,Number,E12000004,50,Bar
2018,Number of cases,England,,,,,,,East Midlands,,Normal value,Units,Number,E12000004,55,Bar
2019,Number of cases,England,,,,,,,East Midlands,,Normal value,Units,Number,E12000004,61,Bar
2014,"Rate per 100,000 population",England,,,,,,,London,,Normal value,Units,"Rate per 100,000 population",E12000007,9.122422916,Bar
2015,"Rate per 100,000 population",England,,,,,,,London,,Normal value,Units,"Rate per 100,000 population",E12000007,7.857453562,Bar
2016,"Rate per 100,000 population",England,,,,,,,London,,Normal value,Units,"Rate per 100,000 population",E12000007,9.612688475,Bar
2017,"Rate per 100,000 population",England,,,,,,,London,,Normal value,Units,"Rate per 100,000 population",E12000007,10.44759088,Bar
2018,"Rate per 100,000 population",England,,,,,,,London,,Normal value,Units,"Rate per 100,000 population",E12000007,9.16022205,Bar
2019,"Rate per 100,000 population",England,,,,,,,London,,Normal value,Units,"Rate per 100,000 population",E12000007,9.81924883,Bar
2014,Number of cases,England,,,,,,,London,,Normal value,Units,Number,E12000007,779,Bar
2015,Number of cases,England,,,,,,,London,,Normal value,Units,Number,E12000007,681,Bar
2016,Number of cases,England,,,,,,,London,,Normal value,Units,Number,E12000007,843,Bar
2017,Number of cases,England,,,,,,,London,,Normal value,Units,Number,E12000007,922,Bar
2018,Number of cases,England,,,,,,,London,,Normal value,Units,Number,E12000007,816,Bar
2019,Number of cases,England,,,,,,,London,,Normal value,Units,Number,E12000007,880,Bar
2014,"Rate per 100,000 population",England,,,,,,,North East,,Normal value,Units,"Rate per 100,000 population",E12000001,0.381863617,Bar
2015,"Rate per 100,000 population",England,,,,,,,North East,,Normal value,Units,"Rate per 100,000 population",E12000001,0.304810791,Bar
2016,"Rate per 100,000 population",England,,,,,,,North East,,Normal value,Units,"Rate per 100,000 population",E12000001,0.834411431,Bar
2017,"Rate per 100,000 population",England,,,,,,,North East,,Normal value,Units,"Rate per 100,000 population",E12000001,0.983088236,Bar
2018,"Rate per 100,000 population",England,,,,,,,North East,,Normal value,Units,"Rate per 100,000 population",E12000001,1.241577496,Bar
2019,"Rate per 100,000 population",England,,,,,,,North East,,Normal value,Units,"Rate per 100,000 population",E12000001,0.936350279,Bar
2014,Number of cases,England,,,,,,,North East,,Normal value,Units,Number,E12000001,10,Bar
2015,Number of cases,England,,,,,,,North East,,Normal value,Units,Number,E12000001,8,Bar
2016,Number of cases,England,,,,,,,North East,,Normal value,Units,Number,E12000001,22,Bar
2017,Number of cases,England,,,,,,,North East,,Normal value,Units,Number,E12000001,26,Bar
2018,Number of cases,England,,,,,,,North East,,Normal value,Units,Number,E12000001,33,Bar
2019,Number of cases,England,,,,,,,North East,,Normal value,Units,Number,E12000001,25,Bar
2014,"Rate per 100,000 population",England,,,,,,,North West,,Normal value,Units,"Rate per 100,000 population",E12000002,1.696334767,Bar
2015,"Rate per 100,000 population",England,,,,,,,North West,,Normal value,Units,"Rate per 100,000 population",E12000002,1.588810758,Bar
2016,"Rate per 100,000 population",England,,,,,,,North West,,Normal value,Units,"Rate per 100,000 population",E12000002,1.481181861,Bar
2017,"Rate per 100,000 population",England,,,,,,,North West,,Normal value,Units,"Rate per 100,000 population",E12000002,1.763418895,Bar
2018,"Rate per 100,000 population",England,,,,,,,North West,,Normal value,Units,"Rate per 100,000 population",E12000002,1.878747295,Bar
2019,"Rate per 100,000 population",England,,,,,,,North West,,Normal value,Units,"Rate per 100,000 population",E12000002,2.356564244,Bar
2014,Number of cases,England,,,,,,,North West,,Normal value,Units,Number,E12000002,121,Bar
2015,Number of cases,England,,,,,,,North West,,Normal value,Units,Number,E12000002,114,Bar
2016,Number of cases,England,,,,,,,North West,,Normal value,Units,Number,E12000002,107,Bar
2017,Number of cases,England,,,,,,,North West,,Normal value,Units,Number,E12000002,128,Bar
2018,Number of cases,England,,,,,,,North West,,Normal value,Units,Number,E12000002,137,Bar
2019,Number of cases,England,,,,,,,North West,,Normal value,Units,Number,E12000002,173,Bar
2014,"Rate per 100,000 population",England,,,,,,,South East,,Normal value,Units,"Rate per 100,000 population",E12000008,1.498759579,Bar
2015,"Rate per 100,000 population",England,,,,,,,South East,,Normal value,Units,"Rate per 100,000 population",E12000008,1.340873212,Bar
2016,"Rate per 100,000 population",England,,,,,,,South East,,Normal value,Units,"Rate per 100,000 population",E12000008,1.561401793,Bar
2017,"Rate per 100,000 population",England,,,,,,,South East,,Normal value,Units,"Rate per 100,000 population",E12000008,1.706893371,Bar
2018,"Rate per 100,000 population",England,,,,,,,South East,,Normal value,Units,"Rate per 100,000 population",E12000008,1.762717431,Bar
