Year,Units,Observation status,Unit multiplier,Value
2019,Percentage,undefined,Units,10.9
2018,Percentage,undefined,Units,10.5
2017,Percentage,undefined,Units,10.2
2016,Percentage,undefined,Units,9.9
2015,Percentage,undefined,Units,9.7
2014,Percentage,undefined,Units,9.5
2013,Percentage,undefined,Units,9.3
2012,Percentage,undefined,Units,9.2
2011,Percentage,undefined,Units,9.1
2010,Percentage,undefined,Units,9.0
2009,Percentage,undefined,Units,8.9
2008,Percentage,undefined,Units,8.9
2007,Percentage,undefined,Units,8.8
2006,Percentage,undefined,Units,8.8
2005,Percentage,undefined,Units,8.8
2004,Percentage,undefined,Units,8.8
2003,Percentage,undefined,Units,8.8
2002,Percentage,undefined,Units,8.9
2001,Percentage,undefined,Units,9.0
2000,Percentage,undefined,Units,9.2
