Year,Units,Water resources management category,Water resources management sub-category,Value
2016,Integrated Water Resources Management score,,,77.0
2016,Integrated Water Resources Management score,Enabling environment,National water resources policy,100.0
2016,Integrated Water Resources Management score,Enabling environment,National water resources law,90.0
2016,Integrated Water Resources Management score,Enabling environment,National integrated water resources management (IWRM) plans,70.0
2016,Integrated Water Resources Management score,Enabling environment,Sub-national water resources policies,90.0
2016,Integrated Water Resources Management score,Enabling environment,Basin and aquifer management plans,70.0
2016,Integrated Water Resources Management score,Enabling environment,Arrangements for transboundary water management in most important basins and aquifers,60.0
2016,Integrated Water Resources Management score,Enabling environment,Provincial and state water resources laws,100.0
2016,Integrated Water Resources Management score,Enabling environment,,83.0
2016,Integrated Water Resources Management score,Institutions and participation,National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,100.0
2016,Integrated Water Resources Management score,Institutions and participation,"Coordination between national government authorities representing different sectors on water resources, policy, planning and management",80.0
2016,Integrated Water Resources Management score,Institutions and participation,"Public participation in water resources, policy, planning and management at national level",80.0
2016,Integrated Water Resources Management score,Institutions and participation,"Business participation in water resources development, management and use at national level",80.0
2016,Integrated Water Resources Management score,Institutions and participation,Developing integrated water resources management (IWRM) capacity at the national level,80.0
2016,Integrated Water Resources Management score,Institutions and participation,Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,80.0
2016,Integrated Water Resources Management score,Institutions and participation,"Public participation in water resources, policy, planning and management at the local level",80.0
2016,Integrated Water Resources Management score,Institutions and participation,Organizational framework for transboundary water management for most important basins and aquifers,60.0
2016,Integrated Water Resources Management score,Institutions and participation,,82.0
2016,Integrated Water Resources Management score,Management instruments,National monitoring of water availability,90.0
2016,Integrated Water Resources Management score,Management instruments,Sustainable and efficient water use management from the national level,80.0
2016,Integrated Water Resources Management score,Management instruments,Pollution control from the national level,60.0
2016,Integrated Water Resources Management score,Management instruments,Management of water-related ecosystems from the national level,80.0
2016,Integrated Water Resources Management score,Management instruments,Management instruments to reduce impacts of water-related disasters from the national level,90.0
2016,Integrated Water Resources Management score,Management instruments,Basin management instruments,80.0
2016,Integrated Water Resources Management score,Management instruments,Aquifer management instruments,80.0
2016,Integrated Water Resources Management score,Management instruments,Data and information sharing within countries at all levels,80.0
2016,Integrated Water Resources Management score,Management instruments,Transboundary data and information sharing between countries,40.0
2016,Integrated Water Resources Management score,Management instruments,,76.0
2016,Integrated Water Resources Management score,Financing,National budget for investment including water resources infrastructure,80.0
2016,Integrated Water Resources Management score,Financing,National budget for the recurrent costs of the integrated water resources management (IWRM) elements,80.0
2016,Integrated Water Resources Management score,Financing,Sub-national or basin budgets for investment including water resources infrastructure,80.0
2016,Integrated Water Resources Management score,Financing,"Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",80.0
2016,Integrated Water Resources Management score,Financing,Financing for transboundary cooperation,10.0
2016,Integrated Water Resources Management score,Financing,,66.0
