Year,Series,Manufacturing industry,Observation status,Unit multiplier,Units,Value
1990,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.40908039467
1990,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.219488071213777
1990,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),3.805565969258748
1990,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),2.490248785584953
1990,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.7574599781445173
1990,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.669854589252527
1990,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),7.134140018664901
1990,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.07178808158316649
1990,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6516762517049669
1990,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),40.20930214008248
1991,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.297783677515836
1991,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.821820442592376
1991,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.12178851679465
1991,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),2.519617562549359
1991,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.739737536336599
1991,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.124897081309966
1991,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),7.011073210895098
1991,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.07057281602338986
1991,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6267538184934385
1991,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),40.334044662510706
1992,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.188435031097664
1992,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.069423432509666
1992,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.247772734913431
1992,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),2.5634560430324425
1992,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.7508825012607163
1992,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.772903008909061
1992,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.88687174315011
1992,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.0680786686838124
1992,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5984199025046226
1992,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),40.14624306606152
1993,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),5.995460118633397
1993,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.134506412168207
1993,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.2797494780793315
1993,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),2.663452298107831
1993,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.824999171554495
1993,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.644000397653842
1993,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.678927660138516
1993,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.06627564038837526
1993,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.584054080922557
1993,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),39.87142525764655
1994,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),5.893566196826602
1994,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.166041795200355
1994,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.299748469460396
1994,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),2.852261401926819
1994,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.984354484046003
1994,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.722889279103981
1994,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.557986490120703
1994,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.06565105278977426
1994,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5726670146963441
1994,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),40.115166184170974
1995,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),5.802973166703026
1995,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.448904540779754
1995,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.451958737183283
1995,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.0074484993922774
1995,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.104839966341509
1995,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.646804001620593
1995,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.459002088073051
1995,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.06466793405428989
1995,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5796740112818275
1995,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),40.56627294542962
1996,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.13646381922372
1996,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.43870109582473
1996,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.444392888352706
1996,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.1343525972670117
1996,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.1931265418493684
1996,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.44720785096165
1996,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.827831009442498
1996,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.06882738247144436
1996,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5753659838062316
1996,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),41.26626916919936
1997,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),6.201044875686777
1997,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.329023408513413
1997,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.539287775554106
1997,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),3.3460007645431853
1997,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.1968398881668207
